route_ID,route_departure,origin_stop,destination_stop
193,21:15:00,Trudering Bf.,Wasserburger Landstraße
193,21:15:00,Trudering Bf.,Phantasiestraße
193,21:15:00,Trudering Bf.,Drosselweg
193,21:15:00,Jagdhornstraße,"Haar, Am Jagdfeldzentrum"
193,21:17:00,Kulturzentrum Trudering,Trudering Bf.
193,21:17:00,Drosselweg,Trudering Bf.
193,21:17:00,"Haar, Ludwig-Moser-Straße",Trudering Bf.
193,21:17:00,"Haar, Ludwig-Moser-Straße",Friedenspromenade
193,21:35:00,Bahnstraße,"Haar, Am Jagdfeldzentrum"
193,21:35:00,Trudering Bf.,Phantasiestraße
193,21:35:00,Trudering Bf.,Phantasiestraße
193,21:35:00,Trudering Bf.,Friedenspromenade
193,21:37:00,"Haar, Am Jagdfeldzentrum",Phantasiestraße
193,21:37:00,"Haar, Ludwig-Moser-Straße",Wasserburger Landstraße
193,21:37:00,"Haar, Hans-Stießberger-Straße",Trudering Bf.
193,21:37:00,"Haar, Hans-Stießberger-Straße",Trudering Bf.
193,22:37:00,Trudering Bf.,Jagdhornstraße
193,23:37:00,Bahnstraße,"Haar, Am Jagdfeldzentrum"
193,00:37:00,Trudering Bf.,Phantasiestraße
193,01:37:00,Bahnstraße,"Haar, Hans-Stießberger-Straße"
