,request_id,orig_id,rq_time,start,end
0,0,39,70.0,111376,36654
1,1,71,154.0,36240,111364
2,2,116,266.0,124842,81674
3,3,183,412.0,113530,105022
4,4,190,427.0,77054,71784
5,5,271,600.0,79786,133580
6,6,398,817.0,120252,118618
7,7,410,832.0,89454,118230
8,8,481,980.0,66622,22920
9,9,491,1016.0,70800,115126
10,10,509,1074.0,45496,90692
11,11,526,1135.0,15446,121056
12,12,544,1213.0,77518,31048
13,13,547,1222.0,32198,114596
14,14,624,1491.0,97736,32848
15,15,675,1701.0,40230,59584
16,16,721,1910.0,117442,18092
17,17,739,2004.0,108520,28964
18,18,831,2425.0,55928,49336
19,19,875,2639.0,85928,92482
20,20,1090,3591.0,135262,62886
21,21,1092,3603.0,110778,133898
22,22,1120,3718.0,114382,119580
23,23,1274,4502.0,137170,40962
24,24,1352,4838.0,72712,127048
25,25,1465,5261.0,72996,2642
26,26,1466,5267.0,85974,121442
27,27,1526,5504.0,93226,58752
28,28,1535,5548.0,127934,101328
29,29,1563,5628.0,20448,120190
30,30,1589,5703.0,38256,74838
31,31,1727,6236.0,41538,120776
32,32,1916,6887.0,50976,127410
33,33,1929,6918.0,95190,4820
34,34,1972,7020.0,38196,67510
35,35,1981,7054.0,19990,42496
36,36,2033,7227.0,9182,93900
37,37,2055,7271.0,24310,49596
38,38,2067,7295.0,36938,71040
39,39,2104,7400.0,106350,137324
40,40,2119,7436.0,97462,52802
41,41,2168,7543.0,78252,121752
42,42,2200,7612.0,124030,80462
43,43,2220,7651.0,134806,100574
44,44,2229,7662.0,138406,127738
45,45,2263,7740.0,37398,103444
46,46,2314,7832.0,27936,58636
47,47,2324,7845.0,104034,8528
48,48,2326,7855.0,16274,50196
49,49,2363,7936.0,49198,53606
50,50,2449,8112.0,83430,106692
51,51,2542,8300.0,100568,134804
52,52,2560,8355.0,138132,11920
53,53,2643,8594.0,113592,86980
54,54,2715,8838.0,63536,120396
55,55,2762,8993.0,129406,113112
56,56,2865,9233.0,69538,68822
57,57,2907,9340.0,122986,94676
58,58,2976,9458.0,9536,125218
59,59,2984,9474.0,85710,83398
60,60,3081,9629.0,20800,106190
61,61,3084,9642.0,3734,125708
62,62,3192,9839.0,81698,53120
63,63,3200,9846.0,49956,103928
64,64,3211,9858.0,73322,137066
65,65,3259,9928.0,35660,101046
66,66,3299,9985.0,82820,24004
67,67,3317,10016.0,33754,84930
68,68,3331,10027.0,70312,82888
69,69,3362,10077.0,9134,55126
70,70,3378,10106.0,114162,32198
71,71,3385,10121.0,31480,3594
