rq_time,start,end,request_id
72,2973;7354;0.648,2968;98;0.040,0
87,2969;7192;0.711,2986;3155;0.348,1
89,2988;3447;0.214,2976;7557;0.628,2
122,2979;2786;0.358,2972;6079;0.584,3
158,2984;3012;0.325,2992;2526;0.828,4
183,2981;6320;0.637,2986;3155;0.996,5
190,2970;671;0.316,2974;6479;0.819,6
234,2991;3010;0.048,2992;2526;0.060,7
279,2972;6079;0.054,2982;2809;0.258,8
283,2974;6479;0.753,2984;3012;0.786,9
300,2979;2786;0.020,2982;2809;0.781,10
315,2984;3012;0.998,2979;2786;0.009,11
371,2990;2552;0.469,2980;914;0.556,12
382,2971;3807;0.270,2966;2743;0.389,13
388,2973;7354;0.900,2979;2786;0.429,14
468,2969;7192;0.611,2975;1166;0.941,15
542,2980;914;0.697,2993;4483;0.959,16
583,2980;914;0.865,2990;2552;0.332,17
594,2985;1140;0.321,2981;6320;0.749,18
622,2981;6320;0.747,2974;6479;0.756,19
623,2989;3808;0.206,2975;1166;0.720,20
638,2989;3808;0.393,2983;7527;0.514,21
667,2983;7527;0.566,2976;7557;0.923,22
682,2969;7192;0.251,2983;7527;0.721,23
694,2989;3808;0.550,2979;2786;0.088,24
702,2975;1166;0.804,2971;3807;0.396,25
713,2979;2786;0.348,2969;7192;0.577,26
801,2973;7354;0.671,2977;6202;0.190,27
864,2985;1140;0.204,2972;6079;0.700,28
901,2975;1166;0.940,2976;7557;0.928,29
975,2981;6320;0.953,2973;7354;0.177,30
1072,2986;3155;0.807,2983;7527;0.623,31
1090,2968;98;0.268,2979;2786;0.437,32
1108,2967;3896;0.486,2985;1140;0.616,33
1111,2967;3896;0.513,2984;3012;0.418,34
1153,2975;1166;0.874,2991;3010;0.704,35
1200,2991;3010;0.981,2975;1166;0.048,36
1222,2979;2786;0.254,2990;2552;0.487,37
1273,2968;98;0.842,2980;914;0.690,38
1323,2992;2526;0.656,2972;6079;0.581,39
1332,2970;671;0.827,2988;3447;0.790,40
1367,2968;98;0.031,2969;7192;0.790,41
1368,2977;6202;0.746,2984;3012;0.750,42
1431,2971;3807;0.413,2988;3447;0.969,43
1434,2985;1140;0.624,2973;7354;0.582,44
1473,2976;7557;0.485,2969;7192;0.066,45
1482,2991;3010;0.369,2976;7557;0.041,46
1498,2979;2786;0.186,2975;1166;0.143,47
1522,2970;671;0.953,2984;3012;0.524,48
1533,2985;1140;0.433,2971;3807;0.743,49
1562,2968;98;0.991,2985;1140;0.336,50
1576,2984;3012;0.423,2990;2552;0.900,51
1612,2976;7557;0.715,2980;914;0.012,52
1634,2970;671;0.073,2975;1166;0.197,53
1653,2966;2743;0.772,2978;4103;0.364,54
1674,2981;6320;0.558,2993;4483;0.563,55
1714,2977;6202;0.408,2980;914;0.010,56
1720,2986;3155;0.610,2966;2743;0.313,57
1761,2987;4613;0.712,2970;671;0.927,58
1768,2990;2552;0.536,2977;6202;0.047,59
1842,2993;4483;0.887,2975;1166;0.239,60
1846,2990;2552;0.535,2972;6079;0.689,61
1856,2979;2786;0.481,2989;3808;0.387,62
1870,2978;4103;0.658,2971;3807;0.070,63
1923,2980;914;0.212,2973;7354;0.947,64
1946,2966;2743;0.712,2992;2526;0.077,65
1968,2984;3012;0.059,2989;3808;0.965,66
2028,2992;2526;0.415,2968;98;0.451,67
2080,2991;3010;0.017,2983;7527;0.952,68
2092,2984;3012;0.817,2976;7557;0.675,69
2167,2987;4613;0.933,2989;3808;0.904,70
2232,2975;1166;0.592,2966;2743;0.214,71
2287,2972;6079;0.652,2981;6320;0.676,72
2305,2972;6079;0.204,2981;6320;0.008,73
2326,2980;914;0.656,2972;6079;0.313,74
2343,2979;2786;0.597,2985;1140;0.613,75
2363,2967;3896;0.489,2968;98;0.296,76
2372,2969;7192;0.401,2977;6202;0.785,77
2404,2991;3010;0.824,2989;3808;0.322,78
2421,2993;4483;0.465,2989;3808;0.635,79
2524,2969;7192;0.497,2980;914;0.440,80
2525,2973;7354;0.817,2976;7557;0.383,81
2527,2982;2809;0.446,2968;98;0.455,82
2557,2975;1166;0.650,2993;4483;0.045,83
2570,2986;3155;0.730,2971;3807;0.740,84
2659,2976;7557;0.563,2993;4483;0.987,85
2669,2984;3012;0.924,2985;1140;0.356,86
2711,2970;671;0.381,2972;6079;0.590,87
2722,2966;2743;0.887,2978;4103;0.852,88
2810,2974;6479;0.254,2969;7192;0.926,89
2812,2984;3012;0.854,2973;7354;0.679,90
2818,2981;6320;0.592,2985;1140;0.202,91
2818,2992;2526;0.222,2985;1140;0.901,92
2956,2977;6202;0.957,2969;7192;0.871,93
2965,2989;3808;0.095,2990;2552;0.516,94
3006,2976;7557;0.860,2992;2526;0.644,95
3063,2968;98;0.674,2984;3012;0.455,96
3082,2977;6202;0.367,2987;4613;0.601,97
3087,2985;1140;0.898,2972;6079;0.100,98
3120,2979;2786;0.512,2969;7192;0.178,99
3121,2970;671;0.895,2973;7354;0.626,100
3185,2967;3896;0.995,2993;4483;0.871,101
3206,2990;2552;0.771,2976;7557;0.322,102
3271,2980;914;0.797,2988;3447;0.753,103
