,node_index,probability
0,7083,0.007
1,9802,0.007
2,10844,0.007
3,10411,0.007
4,17200,0.007
5,22193,0.007
6,27846,0.007
7,1727,0.007
8,15824,0.007
9,5221,0.007
10,14953,0.007
11,19245,0.007
12,24807,0.007
13,4451,0.007
14,29369,0.007
15,33770,0.007
16,20213,0.007
17,40280,0.007
18,4336,0.007
19,21881,0.007
20,16430,0.007
21,26327,0.007
22,7168,0.007
23,26788,0.007
24,11578,0.007
25,38443,0.007
26,34127,0.007
27,36280,0.007
28,36754,0.007
29,15184,0.007
30,37765,0.007
31,32764,0.007
32,40407,0.007
33,32785,0.007
34,29465,0.007
35,777,0.007
36,17659,0.007
37,1446,0.007
38,13838,0.007
39,393,0.007
40,19270,0.007
41,7834,0.007
42,15969,0.007
43,20277,0.007
44,2337,0.007
45,9211,0.007
46,41623,0.007
47,10647,0.007
48,39739,0.007
49,33175,0.007
50,3230,0.007
51,30735,0.007
52,13469,0.007
53,28584,0.007
54,30169,0.007
55,9977,0.007
56,8059,0.007
57,11353,0.007
58,12465,0.007
59,3952,0.007
60,10998,0.007
61,21791,0.007
62,28285,0.007
63,36044,0.007
64,4762,0.007
65,18716,0.007
66,38362,0.007
67,32500,0.007
68,17404,0.007
69,11969,0.007
70,39075,0.007
71,39719,0.007
72,9115,0.007
73,7648,0.007
74,25164,0.007
75,13210,0.007
76,20830,0.007
77,7482,0.007
78,36777,0.007
79,695,0.007
80,28378,0.007
81,17361,0.007
82,38905,0.007
83,38751,0.007
84,27416,0.007
85,29165,0.007
86,29750,0.007
87,1244,0.007
88,30772,0.007
89,2005,0.007
90,41473,0.007
91,35501,0.007
92,13979,0.007
93,3607,0.007
94,12883,0.007
95,12908,0.007
96,28685,0.007
97,26844,0.007
98,32673,0.007
99,6269,0.007
100,24945,0.007
101,21912,0.007
102,4872,0.007
103,25448,0.007
104,22958,0.007
105,28554,0.007
106,27612,0.007
107,11737,0.007
108,9884,0.007
109,34850,0.007
110,21431,0.007
111,14784,0.007
112,21047,0.007
113,18761,0.007
114,40522,0.007
115,362,0.007
116,19770,0.007
117,21936,0.007
118,18759,0.007
119,36271,0.007
120,40785,0.007
121,12592,0.007
122,36093,0.007
123,353,0.007
124,34473,0.007
125,7458,0.007
126,23333,0.007
127,38571,0.007
128,19458,0.007
129,10726,0.007
130,27111,0.007
131,15215,0.007
132,24041,0.007
133,34566,0.007
134,37712,0.007
135,41074,0.007
136,26929,0.007
137,27732,0.007
138,6175,0.007
139,4825,0.007
140,22590,0.007
141,829,0.007
142,19985,0.007
143,5648,0.007
144,32584,0.007
145,16971,0.007
146,20478,0.007
147,38989,0.007
148,15880,0.007
149,17447,0.007
