from_node,to_node,distance,travel_time,source_edge_id
0,761,11.237,5.0,
0,1,51.557,5.0,
1,1909,14.383,5.0,
1,3196,55.908,5.0,
2,488,78.85,7.0,
2,1680,216.592,16.0,
3,4,21.471,5.0,
3,482,79.602,6.0,
4,1283,78.478,6.0,
4,2921,146.031,11.0,
5,4404,57.548,5.0,
5,1033,15.532,5.0,
5,1401,57.782,5.0,
6,3336,154.35,12.0,
6,485,78.884,6.0,
7,1420,77.973,6.0,
7,4410,113.383,9.0,
8,36,78.492,7.0,
9,2986,12.248,5.0,
9,2990,101.688,9.0,
9,8,73.279,7.0,
10,3731,74.22,7.0,
10,9,27.051,5.0,
11,1130,165.686,15.0,
12,1584,17.077,5.0,
12,4244,79.147,5.0,
13,3140,101.541,9.0,
13,14,42.073,5.0,
14,399,6.791,5.0,
14,401,97.672,9.0,
15,4103,47.167,5.0,
16,7,349.947,26.0,
17,2346,267.293,20.0,
17,3077,239.095,18.0,
18,16,91.28,7.0,
19,1577,9.629,5.0,
20,2439,107.924,10.0,
20,3039,78.262,7.0,
21,1338,77.986,7.0,
21,23,273.573,25.0,
22,64,21.574,5.0,
22,184,41.93,5.0,
23,227,76.925,7.0,
24,3315,274.286,25.0,
24,1036,76.982,7.0,
25,1039,80.673,5.0,
26,627,49.518,5.0,
27,26,58.46,5.0,
27,2295,227.398,20.0,
28,1048,79.032,7.0,
28,3113,80.845,7.0,
29,28,38.554,5.0,
29,35,74.912,7.0,
30,1337,70.966,6.0,
30,2607,70.451,8.0,
31,29,21.387,5.0,
31,2830,75.081,7.0,
32,1854,12.413,5.0,
32,33,73.256,7.0,
33,439,145.232,13.0,
33,30,68.708,6.0,
34,818,105.755,10.0,
34,3056,307.07,28.0,
35,2829,48.838,5.0,
35,3112,46.17,5.0,
36,367,84.0,8.0,
36,665,12.075,5.0,
37,359,72.723,7.0,
38,1244,25.156,5.0,
38,516,79.535,6.0,
39,3254,80.732,7.0,
39,38,144.009,11.0,
40,39,154.27,12.0,
40,522,78.999,6.0,
41,1737,79.64,6.0,
42,41,154.415,12.0,
42,514,80.098,6.0,
43,44,229.272,17.0,
43,526,80.421,7.0,
44,3257,79.014,7.0,
45,56,252.188,23.0,
45,34,106.698,10.0,
46,890,14.13,5.0,
47,1466,56.912,5.0,
47,628,75.403,6.0,
47,1748,236.142,18.0,
47,1440,37.743,5.0,
48,778,85.796,8.0,
48,3183,309.705,23.0,
49,2236,192.303,14.0,
49,1088,81.497,6.0,
50,48,154.223,12.0,
50,2895,78.44,7.0,
51,1192,18.464,5.0,
51,1799,78.664,7.0,
52,51,147.173,11.0,
52,2721,84.62,8.0,
53,371,47.716,5.0,
53,1026,56.556,5.0,
54,52,157.087,12.0,
54,4155,78.417,7.0,
55,54,78.828,6.0,
55,58,134.969,12.0,
55,2728,84.603,8.0,
56,45,252.188,23.0,
56,562,59.302,5.0,
57,650,135.057,12.0,
58,55,134.969,12.0,
58,4405,84.424,8.0,
59,58,62.045,7.0,
59,890,77.349,9.0,
60,59,166.083,19.0,
60,1227,79.098,7.0,
61,515,77.783,7.0,
61,1145,43.656,5.0,
62,958,67.989,5.0,
62,4228,68.249,5.0,
63,65,140.579,11.0,
63,1963,76.742,6.0,
63,1313,14.956,5.0,
64,61,184.033,12.0,
65,4024,135.051,10.0,
65,1073,76.312,6.0,
65,934,80.761,6.0,
66,3722,15.14,5.0,
66,3649,80.346,7.0,
66,872,146.741,13.0,
67,4125,80.241,6.0,
68,2942,16.92,5.0,
68,3461,69.779,6.0,
69,2846,88.641,8.0,
69,1523,50.199,5.0,
70,1592,74.721,6.0,
71,3740,97.556,9.0,
71,2384,79.387,7.0,
72,2989,16.794,5.0,
72,68,77.503,7.0,
73,817,122.457,11.0,
74,77,73.65,7.0,
74,3698,99.438,9.0,
75,2993,17.162,5.0,
75,74,68.758,6.0,
76,1121,277.359,18.0,
77,2997,17.397,5.0,
77,79,71.695,6.0,
77,3696,99.265,9.0,
78,1837,8.44,5.0,
78,747,186.611,14.0,
79,3000,17.529,5.0,
79,80,76.611,7.0,
80,3693,94.797,9.0,
80,3694,77.125,7.0,
81,3727,16.387,5.0,
81,596,79.166,6.0,
82,3171,81.533,7.0,
83,1181,38.223,5.0,
83,3749,304.732,23.0,
84,1313,65.893,5.0,
84,1962,74.245,6.0,
84,1181,55.993,5.0,
85,587,304.122,23.0,
85,1208,79.684,6.0,
86,3695,112.442,10.0,
86,3484,77.422,7.0,
86,250,70.388,6.0,
87,85,155.627,12.0,
87,2246,80.156,6.0,
88,1029,72.477,7.0,
89,1530,26.689,5.0,
89,2247,80.544,6.0,
90,1212,79.737,6.0,
90,89,143.071,11.0,
91,90,154.417,14.0,
91,2249,81.286,6.0,
92,91,216.169,19.0,
92,1214,79.775,7.0,
93,92,228.555,21.0,
93,2250,82.396,7.0,
94,1683,190.634,14.0,
94,2251,82.932,6.0,
94,93,216.397,19.0,
94,1218,79.924,6.0,
95,3193,140.45,11.0,
95,96,79.011,6.0,
96,3151,186.699,14.0,
96,97,79.758,6.0,
96,95,79.011,6.0,
97,98,79.62,6.0,
97,96,79.758,6.0,
98,97,79.62,6.0,
98,1430,133.644,10.0,
98,100,80.74,6.0,
99,733,26.044,5.0,
99,735,116.506,10.0,
99,3402,14.072,5.0,
100,3275,275.464,21.0,
100,98,80.74,6.0,
100,1615,77.963,6.0,
101,102,79.44,6.0,
101,1615,79.323,6.0,
102,101,79.44,6.0,
102,2100,274.766,21.0,
102,105,80.634,6.0,
103,990,109.305,10.0,
103,99,147.787,10.0,
103,992,24.895,5.0,
104,2922,29.204,5.0,
104,2925,80.669,7.0,
104,3607,168.735,11.0,
105,107,78.359,6.0,
105,102,80.634,6.0,
106,4154,60.456,5.0,
106,709,59.057,5.0,
107,108,86.922,7.0,
107,105,78.359,6.0,
107,730,276.012,21.0,
108,107,86.922,7.0,
108,2102,274.486,21.0,
108,3808,86.627,6.0,
109,3702,109.498,10.0,
109,2938,220.818,20.0,
109,2940,79.208,7.0,
109,246,66.837,6.0,
110,111,347.623,22.0,
111,3584,27.806,5.0,
111,3585,76.687,7.0,
