,from_node,to_node,edge_tt,edge_var,distance
0,0,1,4.333,0.267,43.86
1,2,3,4.0,0.0,25.49
2,4,5,1.286,0.571,1.56
3,8,9,5.0,0.0,20.95
4,12,13,27.0,1.0,126.31
5,14,15,9.992,563.733,50.99
6,16,17,8.878,20.745,101.05
7,18,19,9.571,0.952,41.6
8,26,27,4.8,0.7,22.81
9,34,35,2.0,0.0,8.85
10,38,39,1.286,0.238,9.08
11,40,41,82.0,0.0,41.93
12,42,43,5.818,0.522,42.99
13,44,45,3.175,0.712,18.6
14,50,51,5.0,2.0,23.07
15,54,55,20.0,0.0,94.21
16,66,67,17.0,0.0,94.31
17,78,79,1.25,0.25,6.15
18,80,81,2.0,0.0,5.22
19,94,95,10.882,326.223,13.91
20,98,99,8.215,1.323,128.51
21,104,105,1.116,0.103,22.63
22,108,109,21.341,293.275,30.71
23,110,111,11.821,47.58,100.46
24,112,113,4.921,0.502,62.66
25,114,115,24.986,532.349,40.52
26,116,117,1.223,1.928,9.82
27,118,119,1.968,5.958,19.0
28,120,121,3.489,4.422,21.47
29,122,123,7.034,16.458,58.42
30,124,125,2.691,0.64,31.48
31,126,127,4.564,0.553,54.49
32,128,129,13.0,0.0,66.07
33,130,131,43.667,17.333,183.52
34,134,135,23.0,0.8,112.05
35,136,137,6.0,0.0,28.17
36,138,139,10.25,3.583,68.83
37,142,143,8.3,17.8,36.62
38,144,145,11.0,0.0,144.65
39,146,147,9.0,0.0,115.78
40,150,151,3.0,0.0,28.86
41,154,155,3.6,0.568,17.94
42,160,161,4.577,0.669,80.97
43,162,163,13.75,1.765,250.33
44,174,175,8.333,0.333,85.57
45,176,177,10.111,1.861,71.63
46,178,179,2.429,0.286,5.18
47,180,181,8.278,2.212,19.08
48,182,183,8.618,1.152,19.19
49,192,193,1.467,0.267,7.88
50,194,195,5.727,0.618,38.67
51,196,197,1.333,0.25,9.98
52,198,199,13.333,2.333,60.83
53,200,201,7.701,1.156,159.67
54,202,203,10.146,1.829,77.67
55,206,207,13.995,85.91,56.26
56,208,209,29.524,7.662,146.58
57,210,211,35.5,40.5,87.48
58,212,213,4.0,0.0,23.59
59,214,215,4.0,0.0,96.05
60,216,217,6.0,0.0,29.17
61,224,225,6.833,19.101,36.69
62,226,227,20.5,5.667,90.42
63,228,229,4.654,0.475,21.62
64,230,231,1.389,0.252,6.4
65,232,233,5.355,0.637,30.91
66,236,237,3.0,0.0,15.07
67,238,239,3.75,18.25,0.55
68,246,247,7.0,0.0,34.85
69,248,249,6.0,0.0,24.97
70,252,253,13.0,2.0,68.87
71,254,255,3.0,0.0,11.68
72,258,259,10.0,0.0,34.09
73,260,261,19.37,191.705,28.02
74,264,265,12.401,325.116,6.31
75,266,267,2.038,0.278,4.23
76,270,271,13.0,1.0,26.52
77,272,273,14.0,1.0,27.63
78,276,277,20.667,20.333,41.42
79,280,281,9.5,3.1,19.73
80,286,287,9.7,0.9,72.84
81,288,289,2.5,0.5,21.26
82,290,291,13.0,0.0,108.36
83,292,293,3.0,0.0,26.21
84,294,295,8.333,0.333,68.01
85,296,297,10.667,0.471,123.9
86,298,299,2.0,0.0,11.25
87,300,301,15.0,1.0,102.96
88,302,303,2.444,0.261,19.16
89,304,305,2.722,0.212,20.18
90,306,307,4.889,0.34,36.83
91,310,311,1.222,0.194,9.19
92,312,313,6.0,0.0,46.08
93,314,315,27.0,0.0,125.77
94,318,319,3.0,0.0,19.18
95,322,323,16.333,2.333,112.56
96,328,329,14.5,0.5,113.24
97,332,333,12.809,16.264,133.91
98,344,345,42.0,8.0,82.16
99,346,347,4.5,0.3,35.57
100,348,349,3.667,22.267,8.82
101,354,355,1.25,0.25,9.63
102,360,361,3.031,0.354,41.81
103,362,363,1.531,0.257,21.87
104,364,365,2.2,0.2,13.51
105,366,367,2.0,0.0,5.16
106,368,369,7.0,0.667,31.8
107,370,371,12.6,2.3,57.72
108,374,375,19.333,3.467,88.29
109,376,377,3.0,0.0,12.72
110,378,379,3.0,0.0,12.65
111,380,381,2.0,0.0,13.05
112,386,387,3.0,0.0,12.97
113,388,389,2.0,0.0,12.61
114,390,391,2.667,0.333,12.42
115,392,393,3.0,0.0,12.57
116,398,399,2.0,0.0,12.15
117,402,403,12.375,5.984,170.52
118,404,405,20.935,4.729,281.09
119,406,407,30.719,16.08,416.58
120,408,409,14.484,3.791,182.01
121,410,411,8.667,1.333,116.33
122,412,413,5.0,0.0,23.27
123,416,417,66.0,0.0,299.99
124,420,421,5.0,0.0,20.5
125,422,423,4.333,0.333,18.85
126,424,425,20.875,4.125,98.71
127,426,427,4.0,0.0,19.27
128,432,433,9.205,1.422,124.22
129,434,435,1.031,0.031,8.9
130,436,437,1.071,0.069,10.15
131,458,459,1.048,0.048,8.78
132,462,463,23.0,32.0,106.27
133,466,467,97.0,107.0,460.6
134,468,469,23.75,10.786,115.47
135,470,471,22.3,6.011,111.76
136,474,475,138.333,158.333,760.01
137,478,479,3.8,0.7,17.51
138,480,481,62.778,561.194,327.89
139,486,487,7.222,1.194,33.14
140,494,495,3.844,1.404,54.03
141,496,497,2.25,0.191,48.35
142,498,499,6.214,0.862,126.35
143,500,501,1.298,0.463,20.69
144,502,503,5.277,0.204,60.86
145,506,507,240.455,598.355,1088.11
146,510,511,3.667,0.333,14.0
147,520,521,20.4,8.3,96.21
148,522,523,2.2,0.2,11.45
149,526,527,4.0,0.0,18.77
150,538,539,3.667,0.333,19.91
151,542,543,12.75,0.917,61.67
152,548,549,26.0,2.0,146.71
153,552,553,18.5,1.667,91.05
154,558,559,7.75,0.786,36.12
155,566,567,5.5,0.286,40.12
156,568,569,14.714,1.604,111.17
157,570,571,20.0,1.895,95.94
158,572,573,19.4,1.3,92.3
159,576,577,12.5,0.5,59.39
160,578,579,10.5,0.5,47.49
161,588,589,7.0,0.0,56.97
162,590,591,3.333,0.333,19.26
163,592,593,7.525,0.803,157.69
164,594,595,1.391,2.559,14.03
165,596,597,3.727,2.694,43.68
166,598,599,5.667,0.667,44.29
167,600,601,15.0,0.0,27.29
168,602,603,9.0,0.0,22.99
169,616,617,57.667,26.333,272.0
170,622,623,11.714,0.571,56.67
171,628,629,8.344,9.807,85.11
172,630,631,1.624,0.235,10.81
173,632,633,1.075,0.07,3.75
174,634,635,39.684,10.006,196.59
175,636,637,66.938,38.996,327.35
176,638,639,157.484,1572.126,689.29
177,640,641,24.684,6.339,117.06
178,642,643,20.222,12.889,100.7
179,644,645,28.571,61.187,114.83
180,646,647,14.5,0.5,73.46
181,648,649,36.273,16.642,180.04
182,650,651,24.0,37.0,115.13
183,654,655,19.125,5.983,94.66
184,656,657,21.857,6.634,102.28
185,658,659,23.4,17.256,105.41
186,660,661,4.195,3.863,17.58
187,664,665,10.0,1.375,50.36
188,666,667,7.082,0.946,110.74
189,668,669,2.25,0.25,10.52
190,674,675,5.286,2.905,21.77
191,676,677,5.714,0.238,29.18
192,678,679,31.333,0.333,153.99
193,682,683,11.8,0.2,55.99
194,686,687,43.5,5.1,207.14
195,688,689,14.667,0.667,68.83
196,690,691,99.0,0.0,520.75
197,700,701,7.0,0.0,39.19
198,706,707,33.0,1.0,160.5
199,710,711,3.0,0.0,16.38
200,720,721,3.0,0.0,12.01
201,722,723,180.231,401.192,866.53
202,726,727,51.35,122.808,252.87
203,728,729,18.037,4.906,85.98
204,730,731,5.0,54.857,0.2
205,732,733,144.077,1322.554,764.24
206,734,735,25.0,0.0,120.42
207,736,737,32.824,11.529,156.67
208,738,739,6.988,0.908,99.76
209,740,741,1.982,0.232,25.29
210,742,743,14.154,108.683,39.07
211,748,749,23.628,146.002,186.97
212,750,751,5.288,0.628,62.58
213,788,789,2.0,0.0,9.07
214,790,791,2.333,0.333,9.04
215,792,793,6.0,1.5,28.86
216,796,797,6.0,0.667,30.47
217,800,801,7.0,0.0,30.46
218,804,805,6.333,2.333,30.46
219,806,807,6.0,0.0,30.61
220,810,811,6.0,0.0,28.87
221,812,813,6.0,0.667,28.88
222,814,815,7.6,0.8,34.95
223,816,817,7.8,0.7,34.94
224,818,819,6.0,0.0,28.87
225,820,821,6.0,0.0,28.87
226,822,823,7.0,0.0,34.94
227,824,825,7.2,0.7,34.94
228,826,827,5.706,0.471,28.87
229,828,829,6.667,0.333,30.4
230,834,835,9.0,0.0,30.6
231,840,841,6.0,0.0,28.86
232,848,849,6.0,0.0,28.87
233,852,853,6.0,0.0,30.46
234,854,855,6.333,0.5,30.61
235,858,859,6.0,0.0,30.61
236,860,861,7.333,0.333,34.94
237,862,863,6.333,0.333,28.87
238,866,867,5.667,0.333,28.86
239,868,869,1.091,0.084,8.57
240,870,871,8.697,0.676,67.04
241,872,873,2.842,0.207,22.1
242,874,875,1.228,0.179,9.37
243,876,877,8.957,0.737,69.18
244,878,879,5.0,0.0,67.59
245,880,881,5.114,9.77,47.81
246,882,883,10.25,2.25,76.51
247,884,885,5.0,0.0,32.4
248,886,887,6.0,0.0,37.32
249,890,891,6.5,0.5,48.33
250,894,895,6.0,2.0,46.02
251,898,899,27.75,12.25,133.84
252,900,901,14.0,0.0,62.7
253,926,927,35.0,0.0,156.47
254,948,949,2.0,0.0,5.43
255,962,963,9.667,0.333,49.67
256,966,967,17.0,0.0,71.94
257,968,969,4.5,0.5,16.8
258,972,973,9.5,0.3,47.51
259,978,979,16.667,7.067,84.67
260,980,981,9.0,0.0,40.68
261,982,983,16.667,1.333,81.42
262,984,985,13.333,1.333,67.56
263,988,989,1.833,1.449,6.85
264,990,991,9.75,2.214,45.22
265,1042,1043,1.278,1.389,3.68
266,1044,1045,1.5,0.263,7.49
267,1046,1047,1.667,0.233,8.13
268,1048,1049,1.322,0.219,17.09
269,1050,1051,1.37,0.234,17.3
270,1052,1053,2.921,0.415,35.82
271,1054,1055,3.315,11.889,29.69
272,1056,1057,7.711,60.727,22.2
273,1058,1059,1.45,1.313,5.71
274,1078,1079,14.6,1.8,80.58
275,1080,1081,18.0,3.0,80.24
276,1082,1083,20.0,0.0,80.44
277,1086,1087,15.5,0.5,72.83
278,1092,1093,19.0,0.0,80.43
279,1102,1103,2.5,0.333,12.71
280,1104,1105,1.267,0.791,3.45
281,1162,1163,2.0,0.0,13.96
282,1164,1165,4.0,18.0,0.4
283,1166,1167,9.167,1.971,45.02
284,1180,1181,3.5,0.5,18.39
285,1190,1191,9.429,2.286,64.47
286,1192,1193,4.333,0.333,32.42
287,1194,1195,2.667,0.333,19.56
288,1196,1197,17.5,0.5,134.96
289,1200,1201,20.667,0.333,108.87
290,1210,1211,9.667,10.333,45.15
291,1214,1215,9.0,0.0,69.67
292,1216,1217,6.284,26.255,50.47
293,1218,1219,12.105,123.128,29.15
294,1220,1221,2.736,1.905,31.44
295,1222,1223,5.243,0.55,65.62
296,1224,1225,3.491,0.264,39.29
297,1226,1227,1.872,2.115,4.29
298,1228,1229,78.289,246.074,142.94
299,1230,1231,67.5,40.7,143.4
300,1232,1233,1.188,0.162,2.95
301,1234,1235,14.714,1.571,72.74
302,1236,1237,15.6,0.8,71.93
303,1238,1239,53.81,120.462,83.74
304,1240,1241,77.077,477.91,162.24
305,1246,1247,15.0,0.0,31.59
306,1254,1255,24.947,7.83,118.28
307,1256,1257,9.75,0.25,48.11
308,1258,1259,6.0,0.0,33.89
309,1260,1261,9.0,1.0,48.11
310,1262,1263,5.25,0.25,28.79
311,1276,1277,2.333,10.667,4.0
312,1278,1279,3.0,0.5,12.72
313,1280,1281,18.0,1.0,82.31
314,1286,1287,2.333,0.333,12.46
315,1288,1289,3.167,0.167,16.78
316,1294,1295,13.333,44.81,33.71
317,1298,1299,10.0,70.0,13.52
318,1300,1301,6.333,0.333,25.92
319,1302,1303,2.0,0.0,7.24
320,1304,1305,2.0,0.0,8.53
321,1306,1307,5.25,1.583,25.78
322,1308,1309,4.0,0.0,21.45
323,1310,1311,3.25,0.25,18.38
324,1312,1313,3.0,0.0,11.86
325,1316,1317,4.5,0.5,19.07
326,1318,1319,2.75,0.25,12.65
327,1322,1323,4.25,0.2,21.62
328,1324,1325,3.0,0.0,15.98
329,1332,1333,5.25,0.75,24.86
330,1334,1335,11.333,0.267,56.25
331,1336,1337,4.333,0.267,21.33
332,1338,1339,2.0,0.0,8.75
333,1340,1341,18.4,0.933,94.12
334,1342,1343,16.714,2.238,79.54
335,1344,1345,14.857,2.81,71.76
336,1352,1353,20.5,13.364,260.94
337,1356,1357,4.2,0.2,30.44
338,1358,1359,1.4,0.3,11.65
339,1360,1361,12.778,102.944,34.75
340,1362,1363,7.818,0.564,37.47
341,1370,1371,7.4,47.3,0.39
342,1372,1373,3.0,0.0,15.15
343,1378,1379,8.5,1.714,37.64
344,1380,1381,4.333,0.333,21.45
345,1382,1383,12.0,2.0,62.93
346,1384,1385,3.0,0.0,16.75
347,1386,1387,2.0,0.0,10.51
348,1388,1389,3.0,0.0,15.89
349,1394,1395,9.167,0.567,45.98
350,1396,1397,18.0,0.0,94.41
351,1400,1401,3.0,0.0,12.29
352,1402,1403,10.5,4.5,51.34
353,1408,1409,3.889,1.634,13.65
354,1410,1411,3.0,0.0,14.16
355,1416,1417,4.714,0.905,32.93
356,1420,1421,13.444,4.278,96.84
357,1422,1423,7.429,1.286,56.78
358,1424,1425,3.5,0.423,25.73
359,1426,1427,44.0,0.0,217.33
360,1428,1429,17.748,5.904,216.65
361,1430,1431,13.861,3.6,139.44
362,1432,1433,5.878,0.523,70.26
363,1434,1435,5.133,0.416,61.02
364,1436,1437,5.657,1.633,61.49
365,1438,1439,4.671,0.545,51.93
366,1440,1441,4.016,0.384,45.48
367,1444,1445,1.475,0.256,16.04
368,1458,1459,18.0,4.909,39.29
369,1460,1461,32.1,27.878,66.63
370,1462,1463,129.667,677.333,262.11
371,1470,1471,3.364,0.255,28.5
372,1472,1473,7.636,105.855,18.08
373,1500,1501,8.966,17.92,154.58
374,1502,1503,2.213,0.191,50.04
375,1504,1505,70.0,0.0,369.84
376,1524,1525,3.0,0.0,13.91
377,1526,1527,2.036,0.157,25.81
378,1528,1529,1.41,0.271,15.45
379,1530,1531,1.5,0.5,1.18
380,1550,1551,5.0,0.5,23.65
381,1552,1553,1.667,0.333,7.68
382,1554,1555,3.0,0.0,16.76
383,1556,1557,6.0,2.0,27.75
384,1560,1561,15.4,97.3,51.18
385,1562,1563,12.9,3.878,64.87
386,1564,1565,19.5,0.5,90.67
387,1568,1569,1.667,0.333,7.75
388,1570,1571,3.0,0.0,11.38
389,1574,1575,1.571,2.286,3.44
390,1576,1577,11.667,23.467,66.29
391,1578,1579,3.667,2.267,12.57
392,1580,1581,8.111,1.861,40.29
393,1582,1583,11.25,1.583,54.23
394,1586,1587,2.32,0.475,14.24
395,1588,1589,4.03,0.469,44.45
396,1590,1591,3.59,0.827,43.15
397,1592,1593,7.275,1.128,87.25
398,1594,1595,13.75,51.295,76.85
399,1596,1597,7.364,0.255,54.44
400,1598,1599,1.104,0.191,2.88
401,1600,1601,5.102,22.168,54.16
402,1602,1603,8.373,1.414,104.49
403,1604,1605,2.537,7.711,7.84
404,1606,1607,8.364,1.18,96.18
405,1608,1609,9.087,9.706,90.09
406,1610,1611,6.492,0.728,76.59
407,1612,1613,12.25,0.917,63.48
408,1616,1617,6.963,0.794,89.18
409,1620,1621,1.794,0.203,21.93
410,1622,1623,6.0,0.0,30.04
411,1626,1627,6.286,1.238,28.4
412,1634,1635,5.0,0.0,29.79
413,1636,1637,2.0,0.0,5.76
414,1638,1639,198.375,5972.839,1016.73
415,1642,1643,43.067,15.924,201.51
416,1644,1645,53.929,81.302,268.29
417,1646,1647,1.908,0.767,18.51
418,1648,1649,11.437,1.804,145.56
419,1650,1651,6.609,1.815,81.08
420,1652,1653,6.25,0.25,29.65
421,1656,1657,1.5,0.269,17.18
422,1658,1659,2.214,0.181,24.53
423,1662,1663,9.286,1.143,121.31
424,1664,1665,7.914,0.61,85.38
425,1666,1667,5.327,70.039,7.52
426,1668,1669,6.5,35.878,34.72
427,1670,1671,6.8,0.523,50.69
428,1672,1673,14.667,100.333,194.98
429,1674,1675,10.5,0.5,116.85
430,1676,1677,7.0,0.0,61.12
431,1678,1679,6.714,0.238,52.26
432,1682,1683,9.6,2.3,66.87
433,1690,1691,1.522,9.38,9.23
434,1694,1695,2.789,0.566,54.28
435,1702,1703,15.25,2.917,72.84
436,1704,1705,18.476,417.751,16.48
437,1706,1707,4.116,91.146,14.72
438,1708,1709,21.4,9.3,97.69
439,1710,1711,8.667,2.333,44.26
440,1718,1719,1.25,0.25,5.48
441,1732,1733,2.333,0.267,9.27
442,1734,1735,1.25,0.25,6.99
443,1738,1739,7.941,0.434,40.48
444,1746,1747,1.143,0.143,3.52
445,1762,1763,1.077,0.077,4.82
446,1782,1783,5.25,0.25,23.76
447,1796,1797,3.0,0.0,19.43
448,1800,1801,4.333,0.333,23.81
449,1804,1805,4.0,0.0,23.41
450,1806,1807,5.5,0.5,24.47
451,1810,1811,13.0,0.0,76.31
452,1818,1819,4.5,0.5,26.48
453,1826,1827,4.75,0.214,22.47
454,1828,1829,11.9,5.656,26.07
455,1834,1835,11.231,2.192,83.29
456,1836,1837,4.7,0.456,38.07
457,1838,1839,7.5,0.5,63.92
458,1840,1841,10.333,0.333,86.62
459,1848,1849,1.222,0.194,7.72
460,1850,1851,1.444,0.278,11.52
461,1852,1853,4.25,0.25,27.43
462,1854,1855,13.0,2.0,100.68
463,1856,1857,2.5,0.5,25.15
464,1864,1865,11.0,0.0,76.04
465,1866,1867,6.696,27.494,35.11
466,1868,1869,7.0,1.0,51.06
467,1870,1871,3.5,0.5,22.69
468,1872,1873,5.222,0.944,35.81
469,1874,1875,3.292,0.389,23.78
470,1876,1877,2.625,0.25,20.3
471,1878,1879,2.562,0.262,19.66
472,1880,1881,3.5,0.267,26.13
473,1882,1883,2.188,0.162,15.0
474,1884,1885,8.75,0.917,61.93
475,1890,1891,6.833,0.697,62.0
476,1896,1897,13.571,2.286,26.63
477,1898,1899,7.625,1.125,16.01
478,1900,1901,19.667,2.333,40.73
479,1904,1905,4.0,0.0,7.94
480,1906,1907,13.667,1.333,25.89
481,1908,1909,8.714,2.905,20.1
482,1912,1913,7.0,0.667,108.21
483,1918,1919,12.25,0.917,191.19
484,1920,1921,7.676,4.342,80.37
485,1922,1923,5.221,0.354,67.0
486,1924,1925,9.0,0.0,66.4
487,1926,1927,4.0,0.0,23.68
488,1928,1929,25.0,32.0,52.01
489,1930,1931,26.889,10.361,54.0
490,1932,1933,24.25,12.917,47.43
491,1936,1937,9.0,0.0,19.4
492,1938,1939,8.041,0.901,102.05
493,1940,1941,10.222,1.2,131.49
494,1942,1943,3.378,0.293,43.62
495,1944,1945,1.635,0.235,20.15
496,1946,1947,1.014,0.014,11.68
497,1950,1951,18.2,7.7,41.59
498,1956,1957,3.0,0.0,12.63
499,1968,1969,3.667,0.267,18.09
500,1972,1973,1.111,0.111,5.55
501,1978,1979,2.8,0.7,13.7
502,1982,1983,1.111,0.111,5.93
503,1984,1985,1.167,0.167,5.25
504,1986,1987,1.5,0.3,6.34
505,1988,1989,3.6,0.3,15.48
506,1990,1991,39.5,40.5,181.87
507,1992,1993,41.286,16.905,184.39
508,1994,1995,23.0,0.0,99.49
509,1996,1997,12.667,1.867,69.89
510,1998,1999,8.75,0.25,46.74
511,2000,2001,4.25,0.25,23.08
512,2002,2003,11.2,1.7,56.01
513,2004,2005,26.0,0.0,78.72
514,2006,2007,77.48,83.76,383.7
515,2008,2009,28.0,0.0,228.18
516,2010,2011,7.591,1.022,95.45
517,2012,2013,10.919,1.586,138.42
518,2016,2017,8.699,0.75,97.1
519,2018,2019,3.524,0.293,45.29
520,2020,2021,1.406,0.243,18.69
521,2022,2023,5.483,0.505,71.13
522,2024,2025,1.854,0.167,23.9
523,2028,2029,9.0,1.429,68.3
524,2030,2031,4.375,0.383,31.72
525,2032,2033,9.25,0.25,68.41
526,2038,2039,2.167,0.167,15.6
527,2040,2041,4.8,0.2,38.78
528,2042,2043,4.429,0.286,36.67
529,2044,2045,1.375,0.268,10.77
530,2046,2047,1.667,0.25,15.25
531,2048,2049,2.062,0.196,15.6
532,2050,2051,2.818,0.442,22.5
533,2052,2053,2.944,0.291,22.3
534,2054,2055,4.0,0.0,11.9
535,2056,2057,9.0,0.0,57.59
536,2060,2061,8.92,235.795,9.38
537,2062,2063,26.223,1062.195,31.6
538,2064,2065,13.147,43.208,26.51
539,2068,2069,3.0,0.0,20.08
540,2070,2071,4.0,0.0,28.16
541,2072,2073,2.8,0.2,18.89
542,2074,2075,4.0,0.0,27.67
543,2076,2077,2.0,0.0,17.72
544,2078,2079,3.8,0.2,25.65
545,2080,2081,21.738,1596.078,8.44
546,2082,2083,33.857,2331.566,22.47
547,2084,2085,13.781,1032.403,13.98
548,2086,2087,18.878,278.391,27.41
549,2088,2089,10.68,163.633,28.15
550,2090,2091,9.545,148.928,40.76
551,2092,2093,5.74,75.049,33.11
552,2094,2095,3.0,0.0,15.16
553,2096,2097,1.2,0.2,6.59
554,2100,2101,2.231,0.359,11.54
555,2104,2105,3.75,0.917,16.2
556,2116,2117,20.5,4.5,133.07
557,2118,2119,2.0,0.0,16.83
558,2120,2121,13.421,479.146,31.18
559,2122,2123,5.643,124.534,11.92
560,2124,2125,2.136,0.504,13.32
561,2126,2127,10.043,2.976,70.98
562,2128,2129,1.8,3.2,3.56
563,2130,2131,2.351,0.345,15.04
564,2134,2135,70.333,133.333,295.21
565,2142,2143,13.444,2.144,181.3
566,2144,2145,1.111,0.103,9.13
567,2148,2149,3.559,0.301,46.21
568,2150,2151,24.292,373.054,92.59
569,2158,2159,1.65,0.229,21.71
570,2162,2163,2.395,0.24,31.1
571,2164,2165,2.229,0.243,27.68
572,2168,2169,2.27,0.255,29.55
573,2170,2171,5.048,0.462,65.18
574,2172,2173,1.709,0.223,21.11
575,2174,2175,1.782,0.202,22.19
576,2176,2177,1.132,0.115,14.56
577,2178,2179,7.207,0.527,76.27
578,2180,2181,6.355,0.77,81.11
579,2182,2183,5.789,0.711,74.04
580,2184,2185,11.655,2.897,145.3
581,2188,2189,4.831,0.247,53.01
582,2190,2191,8.76,81.806,48.33
583,2192,2193,8.035,124.253,19.48
584,2194,2195,4.189,59.965,10.69
585,2196,2197,10.047,80.64,50.72
586,2198,2199,5.333,0.267,24.48
587,2200,2201,87.0,450.0,407.94
588,2202,2203,2.411,0.293,26.36
589,2204,2205,9.026,2.026,116.77
590,2206,2207,3.0,1.0,40.25
591,2208,2209,4.333,0.267,48.29
592,2210,2211,13.0,0.0,168.23
593,2212,2213,3.5,0.5,37.74
594,2218,2219,5.316,0.708,68.34
595,2220,2221,3.421,0.413,43.48
596,2222,2223,3.632,0.347,46.99
