,from_node,to_node,edge_tt,edge_var,distance
0,0,1,3.943,0.204,43.86
1,4,5,1.039,0.009,1.56
2,8,9,4.553,0.129,20.95
3,10,11,7.568,0.245,60.57
4,14,15,17.558,1448.671,50.99
5,16,17,11.374,121.039,101.05
6,18,19,8.463,1.79,41.6
7,20,21,1.026,0.011,3.7
8,24,25,1.026,0.013,3.21
9,34,35,2.183,0.33,8.85
10,38,39,1.807,0.452,9.08
11,40,41,10.174,27.065,41.93
12,42,43,5.673,0.891,42.99
13,44,45,3.177,0.745,18.6
14,46,47,44.153,0.0,160.59
15,50,51,4.849,0.847,23.07
16,58,59,1.01,0.0,2.46
17,66,67,15.811,0.0,94.31
18,80,81,1.036,0.016,5.22
19,82,83,4.484,0.0,48.69
20,88,89,1.112,0.004,0.2
21,92,93,1.04,0.005,0.2
22,94,95,25.866,4537.984,13.91
23,98,99,8.275,1.418,128.51
24,100,101,8.281,0.676,68.52
25,102,103,1.02,0.011,3.18
26,104,105,1.077,0.083,22.63
27,108,109,20.129,259.843,30.71
28,110,111,12.32,54.156,100.46
29,112,113,4.881,0.713,62.66
30,114,115,24.804,428.911,40.52
31,116,117,1.165,0.914,9.82
32,118,119,1.64,4.167,19.0
33,120,121,3.328,2.225,21.47
34,122,123,6.957,11.837,58.42
35,124,125,2.677,0.347,31.48
36,126,127,4.547,0.599,54.49
37,130,131,38.318,17.631,183.52
38,134,135,21.551,11.109,112.05
39,136,137,3.742,0.0,28.17
40,138,139,10.059,0.617,68.83
41,140,141,6.873,0.0,42.85
42,142,143,8.714,11.801,36.62
43,144,145,10.77,2.851,144.65
44,146,147,8.972,5.057,115.78
45,148,149,24.878,733.271,13.2
46,150,151,3.332,0.367,28.86
47,154,155,3.505,0.576,17.94
48,156,157,6.493,0.0,25.74
49,160,161,4.634,1.005,80.97
50,162,163,13.747,3.142,250.33
51,168,169,11.371,2.765,52.02
52,170,171,1.554,0.947,6.04
53,172,173,7.954,0.327,90.82
54,174,175,8.061,0.237,85.57
55,176,177,9.658,2.707,71.63
56,178,179,2.75,0.382,5.18
57,180,181,8.678,0.887,19.08
58,182,183,8.594,1.728,19.19
59,184,185,19.411,0.147,101.6
60,186,187,13.541,0.0,71.74
61,192,193,1.145,0.154,7.88
62,194,195,5.508,0.519,38.67
63,196,197,1.404,0.237,9.98
64,200,201,7.823,1.29,159.67
65,202,203,10.51,2.434,77.67
66,204,205,5.147,0.735,45.69
67,206,207,16.001,94.634,56.26
68,208,209,30.608,26.816,146.58
69,210,211,36.399,0.0,87.48
70,214,215,16.49,2.874,96.05
71,224,225,5.152,0.525,36.69
72,226,227,18.42,4.554,90.42
73,228,229,4.411,0.874,21.62
74,230,231,1.357,0.309,6.4
75,232,233,5.639,2.421,30.91
76,236,237,3.32,0.12,15.07
77,238,239,12.995,0.0,0.55
78,240,241,1.216,0.0,0.14
79,242,243,1.09,0.001,2.26
80,248,249,6.792,0.0,24.97
81,250,251,4.796,0.372,21.65
82,252,253,13.453,0.0,68.87
83,254,255,1.965,0.014,11.68
84,258,259,6.651,0.04,34.09
85,260,261,23.408,225.994,28.02
86,262,263,55.795,0.0,97.68
87,264,265,10.738,320.667,6.31
88,266,267,2.071,0.442,4.23
89,272,273,8.894,0.0,27.63
90,274,275,12.742,13.288,26.7
91,276,277,13.834,86.126,41.42
92,280,281,8.905,2.489,19.73
93,282,283,14.945,6.489,35.59
94,284,285,30.832,4.007,230.28
95,286,287,10.041,2.451,72.84
96,288,289,3.256,0.04,21.26
97,290,291,14.309,0.828,108.36
98,292,293,4.294,0.564,26.21
99,294,295,9.172,0.205,68.01
100,296,297,11.176,6.396,123.9
101,298,299,1.629,0.4,11.25
102,300,301,13.758,2.314,102.96
103,302,303,2.756,0.396,19.16
104,304,305,2.828,0.437,20.18
105,306,307,5.101,0.352,36.83
106,308,309,1.009,0.016,4.27
107,310,311,1.526,0.415,9.19
108,312,313,6.873,1.445,46.08
109,316,317,9.098,0.0,69.25
110,318,319,3.088,0.117,19.18
111,320,321,6.478,0.538,50.43
112,328,329,18.076,0.0,113.24
113,332,333,11.786,11.439,133.91
114,336,337,1.01,0.008,2.04
115,338,339,49.116,359.639,268.44
116,340,341,8.588,0.254,42.31
117,346,347,4.208,0.563,35.57
118,348,349,1.226,0.232,8.82
119,350,351,1.054,0.0,0.13
120,360,361,3.279,0.502,41.81
121,362,363,1.669,0.242,21.87
122,364,365,3.294,0.0,13.51
123,368,369,8.006,0.259,31.8
124,370,371,10.941,1.346,57.72
125,374,375,18.749,4.569,88.29
126,378,379,2.214,0.262,12.65
127,384,385,2.4,0.258,14.21
128,386,387,3.198,0.005,12.97
129,394,395,3.165,0.209,15.87
130,396,397,2.701,0.0,12.03
131,398,399,2.33,0.083,12.15
132,402,403,13.526,5.972,170.52
133,404,405,22.624,10.827,281.09
134,406,407,33.315,26.759,416.58
135,408,409,14.838,12.369,182.01
136,410,411,8.512,0.0,116.33
137,416,417,56.773,135.862,299.99
138,418,419,23.262,16.636,125.95
139,420,421,4.299,0.0,20.5
140,424,425,21.333,18.379,98.71
141,426,427,2.934,0.031,19.27
142,428,429,16.493,0.0,88.72
143,432,433,9.651,3.344,124.22
144,434,435,1.093,0.121,8.9
145,438,439,1.036,0.007,6.32
146,444,445,1.014,0.013,9.3
147,450,451,1.005,0.002,5.94
148,452,453,1.001,0.011,8.89
149,454,455,1.018,0.011,8.38
150,456,457,1.009,0.013,7.45
151,458,459,1.045,0.04,8.78
152,460,461,1.023,0.011,5.68
153,462,463,22.316,13.151,106.27
154,466,467,103.503,255.256,460.6
155,468,469,25.655,0.292,115.47
156,470,471,26.27,21.765,111.76
157,472,473,1.037,0.0,2.17
158,476,477,1.056,0.005,0.2
159,478,479,3.289,0.044,17.51
160,480,481,53.817,701.72,327.89
161,482,483,1.239,0.0,0.2
162,486,487,7.207,1.068,33.14
163,494,495,4.303,5.193,54.03
164,496,497,2.223,0.284,48.35
165,498,499,6.04,0.953,126.35
166,500,501,1.269,0.413,20.69
167,502,503,5.175,0.432,60.86
168,506,507,223.542,2012.824,1088.11
169,512,513,21.176,12.149,100.79
170,514,515,31.427,0.0,150.9
171,516,517,9.052,1.491,47.21
172,520,521,22.179,0.0,96.21
173,522,523,2.774,0.479,11.45
174,528,529,19.739,0.0,100.97
175,530,531,23.144,19.861,100.58
176,534,535,1.043,0.0,5.05
177,538,539,4.257,0.857,19.91
178,540,541,24.082,1.325,117.01
179,542,543,13.087,0.0,61.67
180,548,549,17.953,39.726,146.71
181,552,553,18.76,5.492,91.05
182,554,555,4.558,0.568,22.08
183,556,557,1.078,0.0,3.85
184,558,559,8.092,3.734,36.12
185,564,565,3.983,0.0,29.15
186,566,567,6.061,0.402,40.12
187,568,569,14.455,4.737,111.17
188,570,571,21.004,14.862,95.94
189,572,573,18.17,0.0,92.3
190,574,575,1.103,0.0,2.46
191,578,579,8.104,0.0,47.49
192,588,589,8.754,3.95,56.97
193,590,591,3.385,0.0,19.26
194,592,593,7.571,1.255,157.69
195,594,595,1.433,3.237,14.03
196,596,597,3.358,0.998,43.68
197,600,601,13.235,6.504,27.29
198,602,603,9.057,1.163,22.99
199,606,607,1.055,0.006,1.42
200,610,611,2.516,0.232,9.76
201,622,623,10.633,1.225,56.67
202,628,629,8.26,12.228,85.11
203,630,631,1.779,0.245,10.81
204,632,633,1.172,0.168,3.75
205,634,635,40.776,60.973,196.59
206,636,637,68.269,87.34,327.35
207,638,639,151.558,1187.172,689.29
208,640,641,24.346,13.658,117.06
209,642,643,21.978,14.245,100.7
210,644,645,25.38,18.556,114.83
211,646,647,16.81,7.288,73.46
212,648,649,35.797,27.948,180.04
213,650,651,21.141,17.182,115.13
214,652,653,5.105,0.0,26.2
215,654,655,18.025,1.181,94.66
216,656,657,22.906,19.251,102.28
217,658,659,22.863,14.726,105.41
218,660,661,4.934,13.016,17.58
219,664,665,10.602,1.556,50.36
220,666,667,7.148,1.227,110.74
221,668,669,1.937,0.0,10.52
222,672,673,2.108,0.032,15.16
223,674,675,5.964,13.023,21.77
224,676,677,5.807,0.083,29.18
225,680,681,13.476,4.687,69.2
226,682,683,7.708,0.0,55.99
227,686,687,39.765,14.908,207.14
228,688,689,12.346,1.956,68.83
229,690,691,90.399,3.88,520.75
230,692,693,86.417,0.0,303.08
231,700,701,6.713,0.0,39.19
232,706,707,33.231,24.377,160.5
233,710,711,2.115,0.372,16.38
234,712,713,1.035,0.005,0.3
235,716,717,43.222,58.228,227.01
236,720,721,3.412,0.269,12.01
237,722,723,174.832,1511.872,866.53
238,724,725,36.73,0.0,343.44
239,726,727,53.521,78.516,252.87
240,728,729,18.189,10.359,85.98
241,732,733,149.72,372.055,764.24
242,734,735,27.474,0.0,120.42
243,736,737,29.527,58.263,156.67
244,738,739,6.927,1.489,99.76
245,740,741,1.876,0.358,25.29
246,742,743,13.686,277.587,39.07
247,748,749,26.292,218.231,186.97
248,750,751,5.286,0.82,62.58
249,752,753,2.323,0.0,4.86
250,758,759,1.075,0.0,3.54
251,766,767,1.068,0.002,3.64
252,776,777,1.035,0.002,3.96
253,784,785,1.033,0.034,3.57
254,792,793,6.552,3.011,28.86
255,794,795,5.245,0.0,32.44
256,796,797,5.293,0.0,30.47
257,800,801,4.833,0.0,30.46
258,802,803,6.074,0.136,30.61
259,804,805,6.69,0.127,30.46
260,808,809,7.984,1.764,34.94
261,810,811,6.54,0.724,28.87
262,812,813,6.463,4.39,28.88
263,814,815,6.269,0.0,34.95
264,818,819,6.354,1.427,28.87
265,820,821,6.264,0.688,28.87
266,822,823,6.922,0.224,34.94
267,826,827,6.151,1.446,28.87
268,828,829,5.253,0.0,30.4
269,830,831,5.377,0.0,30.61
270,832,833,6.08,0.116,30.46
271,840,841,5.747,0.613,28.86
272,842,843,6.342,1.734,34.95
273,850,851,6.722,0.0,34.94
274,852,853,6.132,1.473,30.46
275,854,855,5.727,2.046,30.61
276,860,861,7.204,0.297,34.94
277,862,863,5.679,0.492,28.87
278,864,865,7.089,1.414,34.95
279,868,869,1.155,0.139,8.57
280,870,871,8.767,1.565,67.04
281,872,873,2.97,0.268,22.1
282,874,875,1.243,0.212,9.37
283,876,877,9.097,2.361,69.18
284,878,879,5.653,0.0,67.59
285,880,881,6.369,41.942,47.81
286,890,891,6.813,1.711,48.33
287,894,895,4.773,3.863,46.02
288,900,901,8.319,0.0,62.7
289,906,907,10.343,0.0,117.26
290,908,909,2.118,0.0,9.06
291,912,913,4.396,0.0,25.08
292,914,915,6.0,0.27,32.21
293,916,917,1.557,0.0,11.34
294,918,919,1.43,0.316,6.09
295,920,921,39.901,15.088,198.68
296,922,923,1.517,0.281,6.06
297,924,925,3.1,1.173,13.98
298,926,927,31.497,15.427,156.47
299,928,929,1.14,0.0,0.2
300,934,935,14.483,0.0,75.39
301,936,937,1.084,0.0,1.71
302,938,939,1.012,0.0,1.19
303,948,949,1.107,0.0,5.43
304,956,957,15.43,0.0,88.2
305,958,959,15.924,12.135,75.76
306,960,961,11.908,3.964,68.08
307,962,963,9.233,0.0,49.67
308,964,965,8.486,13.136,55.39
309,966,967,15.842,5.979,71.94
310,968,969,3.175,0.0,16.8
311,970,971,4.573,0.0,30.07
312,972,973,9.123,6.697,47.51
313,974,975,9.271,3.059,42.97
314,980,981,10.845,0.0,40.68
315,984,985,15.611,9.094,67.56
316,986,987,15.88,5.401,78.12
317,988,989,1.499,0.215,6.85
318,990,991,9.242,5.809,45.22
319,994,995,1.022,0.0,1.44
320,998,999,1.067,0.068,4.02
321,1000,1001,7.732,0.156,42.5
322,1004,1005,2.195,0.0,7.21
323,1006,1007,21.888,0.0,88.53
324,1014,1015,1.027,0.012,2.09
325,1016,1017,1.037,0.074,1.92
326,1018,1019,1.014,0.002,0.95
327,1036,1037,1.056,0.0,2.2
328,1040,1041,1.026,0.0,2.38
329,1044,1045,1.666,0.268,7.49
330,1046,1047,2.017,0.843,8.13
331,1048,1049,1.293,0.223,17.09
332,1050,1051,1.341,0.254,17.3
333,1052,1053,2.907,0.516,35.82
334,1054,1055,3.999,21.879,29.69
335,1056,1057,8.604,66.7,22.2
336,1058,1059,1.363,0.253,5.71
337,1060,1061,31.431,15.15,120.76
338,1076,1077,12.026,0.0,72.11
339,1080,1081,19.302,18.021,80.24
340,1086,1087,16.931,35.795,72.83
341,1090,1091,16.574,13.125,74.21
342,1094,1095,14.988,2.313,73.06
343,1096,1097,17.213,11.666,74.2
344,1098,1099,18.373,1.473,80.27
345,1100,1101,2.58,0.434,11.95
346,1102,1103,2.026,0.0,12.71
347,1104,1105,1.821,4.152,3.45
348,1108,1109,1.041,0.0,4.13
349,1110,1111,1.113,0.0,2.46
350,1114,1115,1.239,0.139,5.16
351,1118,1119,1.077,0.002,3.43
352,1120,1121,1.004,0.0,3.1
353,1122,1123,1.092,0.008,1.81
354,1124,1125,1.024,0.0,3.76
355,1126,1127,1.058,0.001,0.62
356,1134,1135,1.014,0.004,3.2
357,1136,1137,1.025,0.007,4.04
358,1138,1139,1.043,0.005,1.64
359,1140,1141,1.173,0.47,3.66
360,1142,1143,1.003,0.009,3.22
361,1150,1151,2.986,0.0,0.2
362,1156,1157,1.048,0.02,0.2
363,1162,1163,2.992,0.402,13.96
364,1166,1167,9.578,3.487,45.02
365,1168,1169,5.459,0.077,29.26
366,1170,1171,1.811,0.0,10.52
367,1178,1179,1.018,0.015,3.33
368,1180,1181,3.44,0.287,18.39
