,from_node,to_node,general_mean,general_var,distance,edge_tt,edge_var
0,0,1,10.664004757695476,3.5142850256283165,43.86,4.24,0.523
1,2,3,6.717176079600729,1.6671440347166504,25.49,3.935,0.532
2,4,5,0.7877979454394789,2.447804849203056,1.56,9.79,15.466
3,8,9,4.208992595232507,0.6244650821113553,20.95,5.153,0.873
4,12,13,4.644825069256038,0.14717756531192144,126.31,27.379,5.045
5,14,15,5.150791397729398,36.253221016157866,50.99,23.427,133.912
6,16,17,10.955229747346099,12.486784818781627,101.05,10.184,8.852
7,18,19,4.434835720059626,0.23482680330799174,41.6,9.492,1.051
8,20,21,4.486702667019543,0.5175149264918688,3.7,0.846,0.017
9,24,25,4.305451119841076,1.2266951943744722,3.21,0.795,0.037
10,26,27,4.654605776494353,0.31206359599478406,22.81,4.971,0.346
11,28,29,4.636447175833217,0.0,6.06,1.307,0.0
12,32,33,6.008321333333332,0.18580815066133366,0.2,0.033,0.0
13,34,35,3.7770337611781786,0.9516768714022449,8.85,2.499,0.366
14,38,39,5.964670590169558,1.990972074674594,9.08,1.607,0.13
15,40,41,0.5109942938465257,2.4495788698670364,41.93,851.838,63165.065
16,42,43,7.507116051922128,1.1259563088206073,42.99,5.841,0.655
17,44,45,6.2664089932889935,2.927952331626029,18.6,3.19,0.657
18,50,51,4.094620310940478,0.7607949183516627,23.07,5.89,1.44
19,54,55,4.585798853906017,0.3298773053942921,94.21,20.866,6.62
20,66,67,5.569173874564485,0.1548810473361964,94.31,17.019,1.432
21,68,69,5.68980736195749,0.0,2.34,0.411,0.0
22,70,71,4.3958574197156945,0.0,4.07,0.926,0.0
23,72,73,5.538872,0.0,1.96,0.354,0.0
24,74,75,2.008745693448161,3.213558624442964,3.02,2.701,1.8
25,78,79,4.82761019017328,1.1680447039876483,6.15,1.338,0.081
26,80,81,3.45647918044273,0.7203912392904139,5.22,1.601,0.138
27,92,93,2.468067302121711,0.0867605742201439,0.2,0.082,0.0
28,94,95,1.5175322549473342,10.058161156276764,13.91,49.2,366.962
29,98,99,15.581404167823075,3.294350880240322,128.51,8.36,0.923
30,102,103,7.291128786521625,0.2932220129020563,3.18,0.439,0.001
31,104,105,19.636809666848094,2.4212023899894395,22.63,1.16,0.008
32,106,107,16.347126590040727,2.007541848887315,11.41,0.703,0.004
33,108,109,1.5594811975307548,10.941153362295676,30.71,108.286,1744.625
34,110,111,8.692257787051728,32.665170921074335,100.46,16.554,57.749
35,112,113,12.573721263276001,2.5652387670230143,62.66,5.064,0.403
36,114,115,1.755276383267478,12.469244025511045,40.52,116.512,2156.736
37,116,117,10.38831389528373,19.305351184140324,9.82,1.114,0.16
38,118,119,8.227807294624965,20.999481163679633,19.0,3.026,1.654
39,120,121,6.975478671678679,11.637933497573478,21.47,3.814,2.266
40,122,123,8.522850136717127,19.017486552975605,58.42,8.649,12.301
41,124,125,11.75072291282696,4.467916775716776,31.48,2.766,0.232
42,126,127,11.899619976002864,2.5312820063039863,54.49,4.661,0.375
43,128,129,4.8182118876143685,0.12649323611604135,66.07,13.787,1.025
44,130,131,4.1688740058269875,1.0912174584394967,183.52,46.785,121.675
45,132,133,5.834605587581664,0.0,0.54,0.093,0.0
46,134,135,4.954867723613547,0.19551221833855395,112.05,22.794,4.073
47,136,137,4.142928142541241,0.1476943426473802,28.17,6.858,0.398
48,138,139,6.502517495272902,2.8678579751711477,68.83,11.303,7.6
49,142,143,4.273460204017619,3.759487909620145,36.62,10.333,15.116
50,144,145,13.496347995051297,0.15763685635387784,144.65,10.727,0.099
51,146,147,13.204371968589019,3.60572299544333,115.78,8.95,1.59
52,150,151,7.763609029371981,4.194034121169892,28.86,3.976,0.962
53,152,153,5.224189628343529,0.0,0.2,0.038,0.0
54,154,155,4.786561938110464,0.4728506650734379,17.94,3.825,0.29
55,160,161,18.258658703129697,14.760346931159534,80.97,4.631,0.871
56,162,163,17.62089984693185,19.97361981050093,250.33,15.12,12.983
57,166,167,5.190634987640954,0.0,3.79,0.73,0.0
58,174,175,11.159661021828667,8.500216528192214,85.57,8.191,4.013
59,176,177,7.091410015250425,0.663969241456962,71.63,10.234,1.347
60,178,179,2.087210858127455,0.14929372167810187,5.18,2.567,0.211
61,180,181,2.182400486648277,0.1886661163508234,19.08,9.089,3.028
62,182,183,2.1689834521382805,0.19108663921842264,19.19,9.207,3.179
63,190,191,6.669289392868063,1.7441538881873395,2.67,0.416,0.006
64,192,193,5.180144632139068,4.009472253162282,7.88,1.748,0.346
65,194,195,6.85965373355486,2.0341760124071913,38.67,5.881,1.374
66,196,197,7.046692382118362,0.5224225083986971,9.98,1.431,0.021
67,198,199,4.388480516047321,0.36346956951141723,60.83,14.123,3.626
68,200,201,20.76060068683629,6.702608236565072,159.67,7.811,0.92
69,202,203,7.575722946464024,1.0628580399778795,77.67,10.442,1.947
70,206,207,4.315912598470334,29.212344965514614,56.26,33.479,266.487
71,208,209,4.94811501882981,0.3763613082461587,146.58,30.079,13.489
72,210,211,2.492866685086543,0.28404053130173224,87.48,36.696,56.286
73,212,213,5.245011499539093,0.10324076482595045,23.59,4.514,0.076
74,214,215,5.3860154556820135,0.30692431234047973,96.05,18.022,3.365
75,216,217,5.067594073978035,0.7197749708519672,29.17,5.918,0.929
76,224,225,5.392017466680728,7.653034341670275,36.69,8.596,12.188
77,226,227,4.4598220605913275,0.3541120921827177,90.42,20.635,7.318
78,228,229,4.560079138695104,0.6552021567733285,21.62,4.891,0.708
79,230,231,2.8812322995999478,1.6199391223268702,6.4,2.655,0.963
80,232,233,5.574051223402967,3.765461763592268,30.91,6.217,3.727
81,236,237,4.589258004629161,1.7571966499110516,15.07,3.558,0.9
82,238,239,0.41479078827129323,1.0920164073886292,0.55,9.742,11.159
83,246,247,5.190802961155737,0.30031827109064346,34.85,6.789,0.502
84,248,249,4.188944097216544,0.2838777724557468,24.97,6.057,0.575
85,252,253,5.158464021500181,0.4346984207637792,68.87,13.569,2.912
86,254,255,4.650831386463797,0.9813157706712217,11.68,2.625,0.286
87,258,259,3.532238561656281,3.682176792937429,34.09,12.499,27.489
88,260,261,1.5828992813161669,13.4277336648628,28.02,112.568,1679.291
89,264,265,0.638316388766429,3.9969116561602758,6.31,106.857,958.604
90,266,267,1.934781567919413,0.49875206397894095,4.23,2.478,0.637
91,270,271,1.980887227694235,0.19670429590197894,26.52,14.059,8.985
92,272,273,1.9642628573660212,0.15175544086218687,27.63,14.62,7.782
93,276,277,2.0510531972323056,0.33741440874708345,41.42,21.814,32.71
94,280,281,2.1168663568868484,0.3023999758698214,19.73,9.949,5.862
95,286,287,7.496181151977853,1.227784859335748,72.84,9.929,2.063
96,288,289,8.535381842103686,0.25206221463729184,21.26,2.499,0.021
97,290,291,8.25696473960265,0.17807308327802487,108.36,13.158,0.45
98,292,293,8.30015391023718,0.1312080420047338,26.21,3.164,0.019
99,294,295,7.781402917530451,0.5197051927306867,68.01,8.815,0.656
100,296,297,11.82820069213291,6.13922452251535,123.9,10.935,4.815
101,298,299,6.977975979434438,0.25008960126605995,11.25,1.62,0.013
102,300,301,6.850163565942321,0.29762791013976464,102.96,15.126,1.433
103,302,303,7.630599280768322,0.6634410047873015,19.16,2.54,0.072
104,304,305,7.629724167193673,0.6690073563755997,20.18,2.675,0.08
105,306,307,7.66124116707337,0.6235031229896633,36.83,4.858,0.245
106,308,309,5.991010670746723,7.2672360798755555,4.27,0.857,0.103
107,310,311,7.425262499742893,1.981315049239121,9.19,1.282,0.055
108,312,313,7.096864561517973,1.1293121917850464,46.08,6.639,0.945
109,314,315,4.6209203070436375,0.23380778095247037,125.77,27.516,8.111
110,318,319,6.681245897409294,1.3322474943869476,19.18,2.956,0.246
111,322,323,6.909014921638336,0.7354477254153745,112.56,16.543,4.089
112,328,329,7.872522572081311,0.7008691863601103,113.24,14.547,2.34
113,332,333,10.552664615511546,19.321829360037412,133.91,14.891,27.94
114,334,335,12.715237751556161,2.7299497045014385,4.02,0.321,0.002
115,336,337,12.351378962636172,2.377514413845548,2.04,0.168,0.0
116,344,345,1.9509855197431587,0.13955876753408766,82.16,43.656,65.022
117,346,347,7.674162129218139,0.3924669441033811,35.57,4.666,0.143
118,348,349,2.8099203584459946,10.739152217237612,8.82,7.408,13.401
119,352,353,8.26211548033725,0.33167051026048333,2.5,0.304,0.0
120,354,355,6.471578107411581,4.2414412462712425,9.63,1.639,0.224
121,360,361,13.293657860461927,1.6782623407452244,41.81,3.175,0.094
122,362,363,13.413936114293984,2.3481317362168412,21.87,1.652,0.035
123,364,365,5.177920350205052,1.2038848696332114,13.51,2.726,0.306
124,366,367,3.9283841225222083,0.27255808707145185,5.16,1.337,0.03
125,368,369,4.465696804192385,0.2972329308571202,31.8,7.227,0.756
126,370,371,4.535456283415731,0.299820887688213,57.72,12.912,2.361
127,372,373,4.48163947466743,0.10978824675607002,2.56,0.574,0.002
128,374,375,4.5724962568940395,0.340399125680468,88.29,19.623,6.07
129,376,377,4.320824346432264,0.3427911702259975,12.72,2.998,0.159
130,378,379,3.336746557242602,1.086818449349287,12.65,4.161,1.403
131,380,381,4.885493857118259,0.03476892035587028,13.05,2.675,0.01
132,386,387,4.0775749622232444,0.6108987000571278,12.97,3.298,0.372
133,388,389,5.34832680851313,0.29624690073647897,12.61,2.382,0.058
134,390,391,4.06998207072259,0.8195590095066606,12.42,3.203,0.461
135,392,393,4.2811844751928945,1.7524409217728996,12.57,3.217,0.824
136,398,399,4.576731001446232,0.02843873936017617,12.15,2.658,0.01
137,402,403,13.31639112574708,2.043939304317015,170.52,12.953,1.89
138,404,405,13.358396776256793,1.9090044830105946,281.09,21.267,4.737
139,406,407,13.343830589666224,2.111537083466486,416.58,31.589,11.558
140,408,409,12.222876542395097,6.582988715625368,182.01,15.547,9.771
141,410,411,12.797407031838068,7.366262916833384,116.33,9.499,3.717
142,412,413,4.69195027666879,0.7054031226048713,23.27,5.118,0.788
143,416,417,4.508322668586015,0.1430925352695443,299.99,67.01,31.172
144,420,421,3.906741934461943,0.6927726213297571,20.5,5.486,1.25
145,422,423,4.606059620067978,0.8828790620751499,18.85,4.263,0.697
146,424,425,4.688896052334137,0.40240274446394614,98.71,21.437,8.111
147,426,427,4.678045848839853,0.37632539322102576,19.27,4.19,0.292
148,430,431,12.812912679018416,6.271225889041767,1.99,0.161,0.001
149,432,433,13.23144188216685,2.922052371595181,124.22,9.545,1.471
150,434,435,12.639746676603474,5.592072944958622,8.9,0.729,0.017
151,436,437,11.975364286039959,11.792770975596614,10.15,0.917,0.059
152,438,439,13.521131162450098,2.8112205281422944,6.32,0.475,0.003
153,440,441,13.242526602266283,1.9971394828425033,10.56,0.807,0.007
154,442,443,13.21619232897904,1.950114306369666,9.02,0.69,0.005
155,444,445,13.511524308577185,2.006362572115147,9.3,0.696,0.005
156,446,447,12.48247761603649,7.408566547210795,7.63,0.64,0.018
157,448,449,13.331203023269863,2.7444315295847512,6.8,0.518,0.004
158,450,451,13.359914421844785,2.296989019948085,5.94,0.45,0.003
159,452,453,13.136352846366874,3.126553390687453,8.89,0.689,0.008
160,454,455,12.571412708936121,6.115570411864682,8.38,0.692,0.017
161,456,457,12.634065163811995,7.440833256853498,7.45,0.617,0.016
162,458,459,12.176181935059025,7.350492976295481,8.78,0.757,0.026
163,460,461,13.53210535362194,1.1571456106647315,5.68,0.422,0.001
164,462,463,4.659497314074942,0.7287681948396726,106.27,23.573,17.46
165,464,465,4.931514743970089,0.0,0.2,0.041,0.0
166,466,467,4.744148698985595,0.33776441377724525,460.6,98.545,141.458
167,468,469,4.908183858358444,0.502321530874502,115.47,24.017,11.541
168,470,471,5.00070970043414,0.4635485411882323,111.76,22.763,9.259
169,472,473,4.834636335611849,0.0,2.17,0.449,0.0
170,474,475,5.496105984118989,0.31320898355230575,760.01,139.715,198.268
171,478,479,4.3529735699893815,1.0376270910150918,17.51,4.243,0.886
172,480,481,4.6630673606030575,0.41359204969526586,327.89,71.654,94.046
173,486,487,4.484422866862718,0.8119224237810989,33.14,7.688,2.205
174,494,495,15.145043743221214,27.830518515251438,54.03,4.0,1.544
175,496,497,20.84638193183352,4.585370798973917,48.35,2.344,0.057
176,498,499,20.018779412542173,8.020150795026655,126.35,6.438,0.797
177,500,501,14.383061309670671,28.650486412825558,20.69,1.638,0.287
178,502,503,10.732404623235274,9.253747324530748,60.86,6.126,2.583
179,506,507,4.521391182831765,0.37232989161199453,1088.11,245.041,1054.837
180,508,509,3.8239529253110485,0.1582286252485102,0.2,0.053,0.0
181,510,511,3.7530422523679694,0.7432288458558709,14.0,3.927,0.734
182,520,521,4.75223516753732,0.5121106358617954,96.21,20.704,9.294
183,522,523,4.747123337325471,0.9058508686776751,11.45,2.509,0.234
184,526,527,4.822830427933091,0.1977777984215344,18.77,3.925,0.129
185,534,535,5.445782231133825,0.11253529581912837,5.05,0.931,0.003
186,536,537,4.7459194752013545,1.288344511192497,0.2,0.045,0.0
187,538,539,5.243957697000834,0.2827335364898744,19.91,3.836,0.148
188,542,543,4.816672207513028,0.3020291491136091,61.67,12.97,2.134
189,544,545,5.219438274843252,1.1750887698063803,1.67,0.334,0.004
190,548,549,5.6132025346042465,0.19907054908855032,146.71,26.302,4.316
191,552,553,4.95051908912511,0.19694346121466652,91.05,18.54,2.718
192,558,559,4.724414131151611,0.661396917523022,36.12,7.872,1.732
193,566,567,7.278580706557488,0.8457713684653073,40.12,5.6,0.485
194,568,569,7.67915675164544,0.5955592628123674,111.17,14.623,2.117
195,570,571,4.808267150582037,0.27573229560333834,95.94,20.191,4.748
196,572,573,4.730037539431462,0.18568263191959614,92.3,19.676,3.16
197,574,575,2.855395,0.0,2.46,0.862,0.0
198,576,577,4.586906512960972,0.1789841054052597,59.39,13.058,1.426
199,578,579,4.542625772615229,0.2086667513446439,47.49,10.56,1.105
200,588,589,7.8667965639251305,0.335113983971197,56.97,7.281,0.284
201,590,591,4.927255625033205,2.5633306195456607,19.26,4.322,1.613
202,592,593,20.932958046597793,4.852909772509481,157.69,7.617,0.628
203,594,595,9.960343087287194,23.482598348990564,14.03,1.742,0.47
204,596,597,12.070448340106173,9.79891576567154,43.68,3.862,0.881
205,598,599,7.012041790203236,7.776125531097424,44.29,7.315,6.31
206,600,601,1.9069272799485697,0.12459705072783796,27.29,14.801,7.017
207,602,603,2.459634023375991,0.1583183377394617,22.99,9.592,2.286
208,606,607,1.7824769335963027,0.6903896680649523,1.42,0.97,0.138
209,614,615,5.556016556823742,0.0,3.02,0.544,0.0
210,616,617,4.693271062910742,0.29367290327199846,272.0,58.728,44.782
211,622,623,4.7254049389917485,0.18375974378335466,56.67,12.091,1.184
212,628,629,10.003876949286454,16.505613093628195,85.11,9.911,11.938
213,630,631,7.955415523551401,6.3245661852343344,10.81,1.495,0.185
214,632,633,8.917848426961983,17.91911950363419,3.75,0.515,0.04
215,634,635,4.943190795147944,0.5634914514379541,196.59,40.687,36.474
