,from_node,to_node,edge_tt,edge_var,distance
0,8,9,4.0,0.0,20.95
1,10,11,8.0,0.0,60.57
2,14,15,16.592,1196.455,50.99
3,16,17,10.0,66.042,101.05
4,42,43,5.6,0.568,42.99
5,44,45,2.941,0.059,18.6
6,94,95,19.571,1514.017,13.91
7,98,99,8.265,0.834,128.51
8,104,105,1.042,0.041,22.63
9,108,109,19.926,303.428,30.71
10,110,111,13.911,77.719,100.46
11,112,113,4.978,0.431,62.66
12,114,115,26.052,436.541,40.52
13,116,117,1.078,0.074,9.82
14,118,119,1.508,0.358,19.0
15,120,121,3.3,1.264,21.47
16,122,123,7.133,9.982,58.42
17,124,125,2.733,0.301,31.48
18,126,127,4.583,0.383,54.49
19,130,131,40.5,112.5,183.52
20,136,137,4.0,0.0,28.17
21,140,141,6.0,0.0,42.85
22,142,143,7.0,0.0,36.62
23,144,145,11.0,0.0,144.65
24,146,147,9.0,0.0,115.78
25,148,149,34.0,768.0,13.2
26,150,151,3.333,0.333,28.86
27,154,155,3.5,0.5,17.94
28,160,161,4.775,0.835,80.97
29,162,163,13.899,1.328,250.33
30,176,177,9.286,0.238,71.63
31,182,183,8.5,4.5,19.19
32,184,185,20.0,0.0,101.6
33,194,195,5.4,0.3,38.67
34,200,201,7.925,0.725,159.67
35,202,203,10.778,2.065,77.67
36,204,205,6.0,0.0,45.69
37,206,207,14.077,53.994,56.26
38,208,209,30.333,14.25,146.58
39,214,215,20.0,0.0,96.05
40,224,225,6.0,0.0,36.69
41,226,227,19.0,2.0,90.42
42,228,229,5.167,0.567,21.62
43,230,231,1.5,0.5,6.4
44,232,233,5.75,3.071,30.91
45,236,237,3.0,0.0,15.07
46,238,239,11.0,0.0,0.55
47,248,249,7.0,0.0,24.97
48,254,255,2.0,0.0,11.68
49,260,261,20.833,218.618,28.02
50,262,263,52.0,0.0,97.68
51,264,265,10.041,286.998,6.31
52,266,267,2.167,0.333,4.23
53,274,275,15.0,0.0,26.7
54,276,277,23.0,0.0,41.42
55,280,281,10.0,0.0,19.73
56,282,283,16.0,8.0,35.59
57,284,285,30.0,0.0,230.28
58,286,287,9.667,1.333,72.84
59,292,293,3.0,0.0,26.21
60,294,295,9.0,0.0,68.01
61,296,297,12.0,4.667,123.9
62,302,303,3.0,0.0,19.16
63,304,305,3.0,0.0,20.18
64,306,307,5.0,1.0,36.83
65,310,311,2.0,0.0,9.19
66,318,319,3.0,0.0,19.18
67,320,321,7.0,0.0,50.43
68,328,329,18.0,0.0,113.24
69,332,333,11.416,8.094,133.91
70,338,339,59.5,4.5,268.44
71,340,341,10.0,0.0,42.31
72,346,347,4.5,0.5,35.57
73,360,361,3.5,0.333,41.81
74,362,363,1.75,0.25,21.87
75,368,369,7.0,0.0,31.8
76,370,371,13.0,0.0,57.72
77,374,375,20.0,0.0,88.29
78,378,379,2.0,0.0,12.65
79,394,395,3.0,0.0,15.87
80,402,403,13.75,1.583,170.52
81,404,405,23.25,6.25,281.09
82,406,407,34.5,11.667,416.58
83,408,409,16.0,2.0,182.01
84,420,421,4.0,0.0,20.5
85,424,425,23.0,0.0,98.71
86,432,433,10.2,0.7,124.22
87,434,435,1.2,0.2,8.9
88,462,463,27.0,2.0,106.27
89,468,469,26.0,8.0,115.47
90,470,471,28.0,0.0,111.76
91,478,479,3.0,0.0,17.51
92,480,481,65.0,0.0,327.89
93,486,487,7.0,0.0,33.14
94,494,495,4.542,1.476,54.03
95,496,497,2.353,0.243,48.35
96,498,499,6.176,0.779,126.35
97,500,501,1.118,0.11,20.69
98,502,503,5.353,0.243,60.86
99,506,507,217.6,2028.489,1088.11
100,516,517,8.0,0.0,47.21
101,530,531,27.0,0.0,100.58
102,538,539,4.0,0.0,19.91
103,540,541,20.0,0.0,117.01
104,548,549,25.0,0.0,146.71
105,552,553,22.0,0.0,91.05
106,554,555,4.5,0.5,22.08
107,566,567,5.0,0.0,40.12
108,568,569,13.0,0.0,111.17
109,570,571,19.0,0.0,95.94
110,572,573,19.0,0.0,92.3
111,592,593,7.429,0.726,157.69
112,594,595,1.143,0.143,14.03
113,596,597,3.0,0.0,43.68
114,600,601,13.0,0.0,27.29
115,602,603,9.0,0.0,22.99
116,628,629,8.431,11.874,85.11
117,630,631,1.878,0.129,10.81
118,632,633,1.25,0.192,3.75
119,634,635,38.2,13.7,196.59
120,636,637,63.0,200.0,327.35
121,638,639,154.627,775.878,689.29
122,640,641,23.8,7.7,117.06
123,642,643,22.75,2.917,100.7
124,644,645,23.333,12.333,114.83
125,648,649,34.833,9.367,180.04
126,654,655,17.5,0.5,94.66
127,656,657,23.72,26.127,102.28
128,658,659,23.321,6.967,105.41
129,660,661,4.638,4.888,17.58
