,from_node,to_node,veh_spec_mean,veh_spec_var,distance,edge_tt,edge_var
0,14,15,13.178935298198395,3.435596650696786,50.99,3.946,0.296
1,16,17,12.901218048350373,2.9543577362810134,101.05,7.972,1.089
2,34,35,4.242608582002438,0.0,8.85,2.086,0.0
3,42,43,7.227421093508928,0.015911323251204236,42.99,5.95,0.011
4,44,45,6.016914581155767,0.10565489052313876,18.6,3.1,0.028
5,54,55,4.9510842113065126,0.0,94.21,19.028,0.0
6,56,57,4.869594550307904,0.0,11.5,2.362,0.0
7,68,69,5.709563999999999,0.0,2.34,0.41,0.0
8,82,83,9.643950742216596,2.234218330890408,48.69,5.17,0.612
9,90,91,2.210547695708246,0.04880252000719564,177.86,81.263,64.655
10,94,95,9.482185817659811,32.47975071060611,13.91,1.997,0.777
11,98,99,15.684715432344248,3.219490209898857,128.51,8.301,0.879
12,100,101,5.555214867583685,0.0,68.52,12.334,0.0
13,102,103,8.405415871460757,0.0,3.18,0.378,0.0
14,104,105,19.191256596860352,2.697472025189584,22.63,1.188,0.01
15,106,107,16.092298562346333,3.6462409046480264,11.41,0.719,0.007
16,108,109,7.3286818757482735,30.62745962611453,30.71,6.58,10.013
17,110,111,10.323045755048131,6.106517240728174,100.46,10.289,5.427
18,112,113,12.853794159667308,1.0139117592736284,62.66,4.905,0.146
19,114,115,9.074328346768116,23.766791585384222,40.52,5.754,5.755
20,116,117,13.414651319011881,1.4511527230140573,9.82,0.738,0.004
21,118,119,11.658901345390017,0.9726302746758057,19.0,1.641,0.019
22,120,121,8.910190886694075,1.6275877772038803,21.47,2.459,0.119
23,122,123,12.76021330570604,2.8832680234720356,58.42,4.659,0.371
24,124,125,13.15430291344896,1.2815315351301846,31.48,2.411,0.042
25,126,127,13.08033384033589,1.5939984112892924,54.49,4.205,0.162
26,148,149,12.603749380142615,0.0,13.2,1.047,0.0
27,150,151,9.075923595741514,0.0,28.86,3.18,0.0
28,160,161,18.07581160247223,11.467908512790384,80.97,4.637,0.704
29,162,163,17.702435632978393,0.7017588926348362,250.33,14.173,0.448
30,176,177,6.993499212668111,1.3154557388060297,71.63,10.518,2.822
31,184,185,3.683012599745402,0.0,101.6,27.586,0.0
32,192,193,7.9125734806301296,0.0,7.88,0.996,0.0
33,194,195,7.577335641161374,0.0,38.67,5.103,0.0
34,196,197,7.000385116718155,1.8658258650189814,9.98,1.48,0.077
35,200,201,20.881698512212683,6.570833312749744,159.67,7.762,0.881
36,202,203,7.159952988464158,0.5012817842304018,77.67,10.954,1.151
37,206,207,6.053625649726005,26.298963604323788,56.26,15.963,61.983
38,208,209,4.512433886805807,0.034064980861280895,146.58,32.538,1.765
39,218,219,5.209726532352782,0.0,9.27,1.779,0.0
40,222,223,4.887646888357996,0.0,36.97,7.564,0.0
41,242,243,3.2003155083898456,0.0,2.26,0.706,0.0
42,254,255,5.2757892047176425,0.0,11.68,2.214,0.0
43,260,261,1.5682658390059312,0.00572592686568881,28.02,17.908,0.743
44,264,265,3.170432801780255,39.771302863616,6.31,9.865,15.673
45,296,297,11.064390804825127,4.014147803329502,123.9,11.565,4.112
46,302,303,7.374624919841889,4.728449134041513,19.16,2.824,0.587
47,304,305,5.859431839550971,0.0,20.18,3.444,0.0
48,306,307,6.242628464437448,0.0,36.83,5.9,0.0
49,308,309,5.969205091669583,0.0,4.27,0.715,0.0
50,310,311,5.525627992847186,0.0,9.19,1.663,0.0
51,316,317,7.759185532507748,0.0,69.25,8.925,0.0
52,318,319,5.670353043775542,0.0,19.18,3.383,0.0
53,322,323,5.917294160775872,0.0,112.56,19.022,0.0
54,332,333,13.042807769772825,1.9678100710127306,133.91,10.386,1.219
55,334,335,13.261487830363334,2.3071513279044766,4.02,0.307,0.001
56,336,337,12.069567660528142,4.305623441286766,2.04,0.174,0.001
57,368,369,5.104782360048712,0.0,31.8,6.229,0.0
58,370,371,4.786407939119244,0.0,57.72,12.059,0.0
59,374,375,4.977739021155213,0.0,88.29,17.737,0.0
60,382,383,4.265566199017257,0.0,15.08,3.535,0.0
61,386,387,4.269261075452593,0.0,12.97,3.038,0.0
62,388,389,4.509226970191542,0.0,12.61,2.796,0.0
63,426,427,4.80264094647675,0.0,19.27,4.012,0.0
64,494,495,18.671156669165573,17.305495752831874,54.03,3.037,0.416
65,496,497,21.97392683299667,10.594054459603026,48.35,2.249,0.106
66,498,499,19.106668047819255,11.535152036013082,126.35,6.822,1.382
67,500,501,12.936074960545138,33.60058589862038,20.69,1.921,0.514
68,502,503,9.834487738477215,0.22314378513034436,60.86,6.203,0.088
69,506,507,4.379457322827413,0.0,1088.11,248.458,0.0
70,554,555,6.036264919895246,0.0,22.08,3.658,0.0
71,562,563,6.2276766796997425,0.0,92.59,14.868,0.0
72,568,569,7.242297161224916,0.08295758812736136,111.17,15.374,0.373
73,570,571,4.92699224518381,0.6913371296111562,95.94,20.027,10.798
74,592,593,22.04441431630721,3.0949412288353435,157.69,7.199,0.326
75,628,629,12.57845467404075,2.241394556171947,85.11,6.862,0.649
76,630,631,8.884030772276144,5.673354860887084,10.81,1.304,0.106
77,632,633,12.226892406608087,7.488399049796092,3.75,0.322,0.005
78,638,639,4.782479087725092,0.2838896289217861,689.29,145.917,257.835
79,642,643,5.670558791702607,0.0,100.7,17.758,0.0
80,648,649,5.3625623387187416,0.0,180.04,33.574,0.0
81,656,657,4.700577227649406,0.984435919974671,102.28,22.728,21.094
82,658,659,4.7782536356062835,1.1931652539135946,105.41,23.213,25.432
83,660,661,4.69543798428645,0.3984344528313007,17.58,3.812,0.253
84,664,665,5.506051878757441,0.43467767958599524,50.36,9.277,1.199
85,666,667,15.696879976839595,3.1269490095026637,110.74,7.144,0.632
86,686,687,4.900522204817425,0.0,207.14,42.269,0.0
87,688,689,5.617876603348142,0.0,68.83,12.252,0.0
88,722,723,5.905943856272316,0.0,866.53,146.722,0.0
89,726,727,4.819987291462224,0.2835591685072862,252.87,53.103,33.593
90,728,729,4.911067885470547,0.25913697914427974,85.98,17.695,3.293
91,736,737,4.960978472987929,0.1275884268651513,156.67,31.744,5.17
92,738,739,13.380036906984197,2.3863097634846198,99.76,7.555,0.741
93,740,741,11.887856759137161,2.538386446689049,25.29,2.166,0.081
94,742,743,4.167499657403077,21.347652222396714,39.07,20.898,108.028
95,748,749,13.453636409275255,5.015151157971068,186.97,14.282,5.351
96,750,751,13.809496659517391,2.3078014668071187,62.58,4.587,0.249
97,810,811,4.793710801798567,0.0,28.87,6.022,0.0
98,820,821,4.704451971308667,0.0,28.87,6.137,0.0
99,868,869,6.9412871082985435,1.0244288801077754,8.57,1.261,0.032
100,870,871,7.091153994961008,0.801575691013148,67.04,9.605,1.425
101,872,873,7.450957497239436,0.4241967901900187,22.1,2.989,0.067
102,874,875,7.125134159001999,0.6852779598452795,9.37,1.333,0.023
103,876,877,7.374792614500953,0.4270723145420637,69.18,9.454,0.691
104,880,881,13.479889360640318,2.101471654076807,47.81,3.588,0.145
