from_node,to_node,distance,travel_time,source_edge_id
2,1726,274.088,19.734336,258932752.0
42,2577,5.604,0.67248,35952612.0
44,45,4.6,2.3657142857142857,176200973.0
45,44,4.6,2.3657142857142857,176200973.0
55,58,14.444,7.428342857142858,272083841.0
58,55,14.444,7.428342857142858,272083841.0
82,1526,211.066,15.196752,151883472.0
88,2758,16.362,1.96344,304216798.0
108,1376,15.002,1.80024,357244856.0
162,1815,17.881,9.195942857142857,13044780.0
162,739,14.817,1.066824,107225103.0
164,1961,11.72,0.84384,143090442.0
164,1354,13.285,0.95652,258932734.0
169,2187,11.153,0.803016,258942641.0
175,2269,12.287,0.884664,258932746.0
191,1854,9.42,4.844571428571428,75068684.0
196,2715,61.469,4.425768,258932725.0
199,197,15.322,1.103184,152579191.0
200,202,63.554,4.575888,165636093.0
200,1384,52.504,3.780288,258932770.0
201,199,49.8,3.5856,152579191.0
202,196,14.619,1.052568,165636093.0
213,1014,13.352,0.961344,37416407.0
219,2679,204.099,12.24594,45667817.0
228,1012,11.353,0.68118,116862296.0
286,516,44.001,22.62908571428571,255834328.0
288,2182,55.331,3.983832,4080260.0
289,1138,69.346,4.992912,143090440.0
289,288,13.653,0.983016,42740486.0
291,294,45.971,3.309912,258942642.0
294,1861,12.176,0.876672,258942642.0
324,1532,150.169,10.812168,151883469.0
338,513,45.346,23.3208,255834336.0
354,994,25.032,12.8736,158193265.0
359,375,119.386,61.39851428571429,23389687.0
363,366,19.515,1.40508,258949953.0
365,2239,22.688,11.668114285714283,270084497.0
366,2314,15.901,1.144872,258949953.0
370,361,34.682,2.497104,28606956.0
372,370,7.589,3.9029142857142864,265849958.0
375,359,119.386,61.39851428571429,23389687.0
383,384,22.403,11.521542857142856,266915476.0
384,383,22.403,11.521542857142856,266915476.0
431,2818,8.731,4.490228571428572,4083288.0
455,454,18.771,9.653657142857142,165499417.0
462,1904,132.351,9.529272,10633006.0
475,476,24.719,12.712628571428572,226310015.0
476,475,24.719,12.712628571428572,226310015.0
504,1720,10.845,0.78084,258932765.0
513,338,45.346,23.3208,255834336.0
515,2270,11.977,0.862344,258932764.0
516,286,44.001,22.62908571428571,28142000.0
518,1822,11.494,0.827568,258932759.0
545,1957,10.782,0.776304,4080259.0
591,2205,33.625,2.421,11527686.0
591,585,182.934,13.171248,247441050.0
621,2493,9.697,0.698184,303512839.0
628,657,25.156,1.811232,37743290.0
636,1954,8.482,0.610704,35218416.0
665,1940,12.428,0.894816,4061608.0
665,666,12.071,0.869112,247441064.0
666,1885,13.692,0.985824,37743291.0
666,1148,20.136,1.449792,142968337.0
668,1415,8.737,0.629064,163235456.0
668,2230,82.705,5.95476,34340980.0
681,1675,26.33,1.89576,4080258.0
