node_index,is_stop_only,pos_x,pos_y
0,False,11.6399686,48.1170082
1,False,11.6415966,48.1201019
2,False,11.6419574,48.1208956
3,False,11.6422984,48.121675
4,False,11.6436477,48.1214084
5,False,11.644657,48.1212066
6,False,11.6451355,48.1201916
7,False,11.6410788,48.1165941
8,False,11.6421304,48.1180932
9,False,11.6429751,48.1197803
10,False,11.6413379,48.119521
11,False,11.6457595,48.1209735
12,False,11.6500067,48.119877
13,False,11.6511099,48.119175
14,False,11.6327611,48.1183962
15,False,11.6242693,48.1200952
16,False,11.6220778,48.1203017
17,False,11.6130209,48.1208805
18,False,11.6087549,48.1210465
19,False,11.6061841,48.1208735
20,False,11.6047977,48.1204787
21,False,11.6001304,48.1195329
22,False,11.5875401,48.1174309
23,False,11.5887776,48.1172502
24,False,11.5900722,48.1170891
25,False,11.5913094,48.1174588
26,False,11.5941592,48.1181203
27,False,11.7159516,48.0664371
28,False,11.6608983,48.0652097
29,False,11.7239456,48.1723796
30,False,11.5897286,48.1372443
31,False,11.6024663,48.1358049
32,False,11.6149835,48.1369588
33,False,11.6171997,48.1371376
34,False,11.7216456,48.1574316
35,False,11.7078319,48.144587
36,False,11.7080999,48.1433062
37,False,11.7101086,48.141456
38,False,11.7147584,48.1376958
39,False,11.6970477,48.1334888
40,False,11.6942308,48.1334646
41,False,11.6904785,48.1333945
42,False,11.6904749,48.1334729
43,False,11.6902629,48.135492
44,False,11.6899428,48.1377497
45,False,11.688983,48.1387675
46,False,11.672178,48.1366694
47,False,11.6705293,48.1351012
48,False,11.6679063,48.1359585
49,False,11.6663341,48.1350967
50,False,11.6603284,48.1331059
51,False,11.6555708,48.1271825
52,False,11.6547515,48.1259775
53,False,11.6541117,48.124882
54,False,11.6512345,48.1252066
55,False,11.6419388,48.1264995
56,False,11.6366908,48.1270083
57,False,11.6346558,48.127419
58,False,11.630497,48.1284004
59,False,11.6228728,48.1298224
60,False,11.6204421,48.1302299
61,False,11.6170422,48.1308124
62,False,11.6159103,48.1310225
63,False,11.6101691,48.1323657
64,False,11.6099427,48.1325366
65,False,11.5994407,48.1252798
66,False,11.5950781,48.1278625
67,False,11.5895066,48.1316844
68,False,11.5877684,48.131473
69,False,11.6236206,48.1382686
70,False,11.6266996,48.1384908
71,False,11.6456726,48.139188
72,False,11.674494,48.1373644
73,False,11.7038938,48.1422832
74,False,11.7124129,48.1419942
75,False,11.6136936,48.1028781
76,False,11.6150821,48.1121453
77,False,11.5962117,48.1067031
78,False,11.5902635,48.1050921
79,False,11.5997363,48.1706655
80,False,11.5973652,48.162396
81,False,11.6029347,48.1579397
82,False,11.6106015,48.1527636
83,False,11.6138786,48.1526731
84,False,11.6144214,48.1522933
85,False,11.6159945,48.1507233
86,False,11.61631,48.1488854
87,False,11.6146501,48.1381691
88,False,11.6159073,48.1381238
89,False,11.6184604,48.1380857
90,False,11.6254465,48.1382874
91,False,11.6806193,48.1373946
92,False,11.6890515,48.1386902
93,False,11.6874636,48.1404994
94,False,11.6954496,48.1405572
95,False,11.6088607,48.1366948
96,False,11.6076575,48.1389695
97,False,11.6044545,48.1398547
98,False,11.6014314,48.140441
99,False,11.5986344,48.1410791
100,False,11.5921614,48.1423293
101,False,11.5885034,48.1430748
102,False,11.5871804,48.1433627
103,False,11.6654277,48.0668136
104,False,11.6739691,48.0685538
105,False,11.6773151,48.0690952
106,False,11.6831664,48.0703895
107,False,11.6865369,48.0678984
108,False,11.687315,48.0674942
109,False,11.6897719,48.0662766
110,False,11.6908983,48.0650306
111,False,11.6000974,48.1437351
112,False,11.601327,48.1436398
113,False,11.602474,48.1455457
114,False,11.6033661,48.1461726
115,False,11.6043988,48.1454371
116,False,11.6056427,48.1450613
117,False,11.6064593,48.1448697
118,False,11.6073056,48.1449549
119,False,11.6077129,48.1461712
120,False,11.6061898,48.1465442
121,False,11.6080064,48.1472101
122,False,11.6155478,48.1350636
123,False,11.616365,48.1331532
124,False,11.6224826,48.1437418
125,False,11.624774,48.1430122
126,False,11.6251211,48.1444983
127,False,11.6080922,48.1484282
128,False,11.6100212,48.1485442
129,False,11.6128701,48.1485623
130,False,11.613059,48.1492452
131,False,11.6224944,48.1484851
132,False,11.6046461,48.1474436
133,False,11.6066729,48.1431216
134,False,11.6178061,48.1521688
135,False,11.6214649,48.1521567
136,False,11.6283176,48.1474689
137,False,11.6277389,48.1442928
138,False,11.6173879,48.1269572
139,False,11.6156045,48.1123854
140,False,11.6163061,48.1131134
141,False,11.7185083,48.1712954
142,False,11.7216543,48.1719412
143,False,11.7146338,48.1705541
144,False,11.7119746,48.1669502
145,False,11.713594,48.1673673
146,False,11.7175983,48.1696266
147,False,11.719291,48.1700373
148,False,11.7222094,48.1590321
149,False,11.7234358,48.1567978
150,False,11.7216855,48.1571088
151,False,11.7249836,48.1539955
152,False,11.7248581,48.1538217
153,False,11.7251236,48.1537461
154,False,11.7261259,48.1520135
155,False,11.7240006,48.158585
156,False,11.7197735,48.1709857
157,False,11.7219476,48.1712833
158,False,11.721181,48.1572541
159,False,11.7244717,48.1584922
160,False,11.6926269,48.1547062
161,False,11.6885807,48.1525052
162,False,11.6870691,48.1513014
163,False,11.6837151,48.1524465
164,False,11.6827768,48.151166
165,False,11.6818827,48.1483694
166,False,11.6850504,48.1474431
167,False,11.685284,48.1475605
168,False,11.6859356,48.1500337
169,False,11.6859452,48.1501136
170,False,11.6860773,48.1501894
171,False,11.6862324,48.1501712
172,False,11.686309,48.1501031
173,False,11.6861038,48.1499351
174,False,11.6854542,48.1474095
175,False,11.685822,48.1495519
176,False,11.685114,48.1468513
177,False,11.6857755,48.1424881
178,False,11.6846327,48.1406407
179,False,11.6825728,48.1407574
180,False,11.6804467,48.1404851
181,False,11.6873376,48.1380909
182,False,11.6874228,48.1354776
183,False,11.688905,48.1354886
184,False,11.6874256,48.134315
185,False,11.6851881,48.1354625
186,False,11.6852049,48.1342916
187,False,11.6891621,48.1334614
188,False,11.6889266,48.13306
189,False,11.6889514,48.1333636
190,False,11.7044562,48.1333976
191,False,11.7046815,48.1335688
192,False,11.7071453,48.1334118
193,False,11.7041121,48.1335421
194,False,11.7136236,48.1391281
195,False,11.7095972,48.141153
196,False,11.7068811,48.1420991
197,False,11.7134589,48.1389871
198,False,11.6836259,48.1184828
199,False,11.6911362,48.1179326
200,False,11.6977169,48.1177303
201,False,11.6952376,48.1155715
202,False,11.700224,48.1135898
203,False,11.7092841,48.1113908
204,False,11.7076623,48.108511
205,False,11.7086584,48.1211585
206,False,11.7237527,48.1084914
207,False,11.7262426,48.1096271
208,False,11.7268726,48.1094872
209,False,11.6103816,48.1500456
210,False,11.6094362,48.1510279
211,False,11.5932276,48.1465401
212,False,11.5957509,48.1464602
213,False,11.5936378,48.1453829
214,False,11.5932287,48.144096
215,False,11.595486,48.1452688
216,False,11.6057302,48.1484674
217,False,11.5944693,48.1418543
218,False,11.592829,48.1465865
219,False,11.6085306,48.1507675
220,False,11.6117286,48.1516567
221,False,11.6157894,48.1537672
222,False,11.617799,48.1534911
223,False,11.6214094,48.1536336
224,False,11.6293354,48.153408
225,False,11.6291654,48.1604535
226,False,11.6290895,48.1590546
227,False,11.6330912,48.158561
228,False,11.6385474,48.1577868
229,False,11.637679,48.1596797
230,False,11.6389595,48.1594247
231,False,11.6404677,48.1589089
232,False,11.6403626,48.1603046
233,False,11.6383717,48.1610262
234,False,11.6370981,48.1612891
235,False,11.6391166,48.1559019
236,False,11.6418074,48.1566692
237,False,11.6415042,48.1550827
238,False,11.6371519,48.1549683
239,False,11.6386382,48.1616205
240,False,11.6401647,48.1613278
241,False,11.6402739,48.1627629
242,False,11.6389002,48.1591908
243,False,11.6363258,48.1484933
244,False,11.6377087,48.1482371
245,False,11.6400263,48.1463869
246,False,11.6480588,48.1483658
247,False,11.6566975,48.1516771
248,False,11.6565628,48.1525789
249,False,11.6564908,48.1541759
250,False,11.658763,48.1536727
251,False,11.6584631,48.1522146
252,False,11.6741913,48.1567458
253,False,11.6632261,48.1693794
254,False,11.6536563,48.1396914
255,False,11.6481229,48.1387891
256,False,11.6459798,48.1386814
257,False,11.6464179,48.1399052
258,False,11.657919,48.1505
259,False,11.6481737,48.1395629
260,False,11.6269808,48.1393054
261,False,11.6317652,48.1306038
262,False,11.6470414,48.1303928
263,False,11.6348566,48.1379428
264,False,11.6261677,48.1381764
265,False,11.6283992,48.1390835
266,False,11.6244272,48.1366684
267,False,11.6332632,48.1303508
268,False,11.6342106,48.1302472
269,False,11.6397013,48.1296071
