from_node,to_node,source_edge_id,number_of_usable_lanes,travel_time,distance,connecting_edges
0,1,-100280204#0,1,10.107,84.19,
2,3,-100280204#1,1,2.274,18.94,
4,5,-10039481,1,17.855,148.73,
6,7,-10039819,1,24.453,203.69,
8,9,-100405260,1,9.654,80.42,
10,11,-100541440#2,1,7.215,100.22,
12,13,-100541440#3,1,10.537,146.36,
14,15,-10058489#0,1,15.401,213.92,
16,17,-10081209,1,4.727,39.38,
18,19,-10081218,1,54.809,456.56,
20,21,-10081229,1,1.701,23.62,
22,23,-10081232#0,1,2.239,31.1,
24,25,-10081232#1,1,2.301,31.96,
26,27,-100832885,1,118.357,985.91,
28,29,-10098785#10,1,14.609,121.69,
30,31,-10098785#3,1,10.306,85.85,
32,33,-10098785#4,1,11.078,92.28,
34,35,-10098785#9,1,14.682,122.3,
36,37,-10099393,1,13.319,110.95,
38,39,-101290089#2,1,13.216,110.09,
40,41,-101290089#3,1,11.966,99.68,
42,43,-101290089#4,1,8.579,71.46,
44,45,-101290091,1,7.605,63.35,
46,47,-101290092,1,35.838,298.53,
48,49,-101290094#0,1,11.372,94.73,
50,51,-101290094#1,1,6.922,57.66,
52,53,-101290094#2,1,9.785,81.51,
54,55,-101290094#3,1,11.761,97.97,
56,57,-101290094#4,1,21.268,177.16,
58,59,-101290094#5,1,24.002,199.94,
60,61,-101290096#0,1,11.309,94.2,
62,63,-101290096#1,1,24.389,203.16,
64,65,-101290099,1,28.421,236.75,
66,67,-101345892#0,1,10.541,87.81,
68,69,-101345892#1,1,21.816,181.73,
70,71,-101345893,1,60.376,335.69,
72,73,-101345894,1,27.14,150.9,
74,75,-101702340#0,1,3.174,26.44,
76,77,-101702340#1,1,18.945,157.81,
78,79,-10195357,1,1.339,18.6,
80,81,-10210930#0,1,4.724,39.35,
82,83,-10210930#1,1,23.466,195.47,
84,85,-102486174#1,1,6.616,91.9,
86,87,-102486193#2,1,27.17,226.33,
88,89,-102486193#3,1,9.86,82.13,
90,91,-102486193#4,1,23.397,194.9,
92,93,-102486193#5,1,4.543,37.84,
94,95,-102486231#0,1,181.047,1508.12,
96,97,-102486254#0,1,0.462,3.85,
98,99,-102486254#2,1,11.14,92.8,
100,101,-102486254#3,1,22.689,189.0,
102,103,-102486268,1,23.247,193.65,
104,105,-102527800,1,15.473,128.89,
106,107,-102532387#0,1,7.241,100.58,
108,109,-102532387#1,1,16.156,224.4,
110,111,-10258782,1,24.687,205.64,
112,113,-10258813#0,1,5.035,41.94,
114,115,-10258813#1,1,15.247,127.01,
116,117,-10258834#0,1,47.754,397.79,
118,119,-10258834#1,1,11.768,98.03,
120,121,-10258856#2,1,28.127,234.3,
122,123,-10258856#3,1,36.571,304.64,
124,125,-10266792#0,1,11.875,98.92,
126,127,-10266792#1,1,28.304,235.77,
128,129,-10266792#2,1,24.557,204.56,
130,131,-10266792#3,1,5.942,49.5,
132,133,-10266792#4,1,1.976,16.46,
134,135,-10266792#5,1,0.911,7.59,
136,137,-102684769,1,5.741,79.74,
138,139,-10271170#0,1,15.101,125.79,
140,141,-10271170#1,1,11.528,96.03,
142,143,-10271173,1,11.647,97.02,
144,145,-10272054,1,77.073,642.02,
146,147,-10272252,1,25.078,208.9,
148,149,-10272494#0,1,3.204,26.69,
150,151,-10272517#0,1,4.094,34.1,
152,153,-10274921,1,8.04,66.97,
154,155,-10274922,1,27.837,231.88,
156,157,-10275794,1,9.522,79.32,
158,159,-102945288#2,2,15.559,216.12,
160,161,-102945288#3,2,18.569,257.92,
162,163,-102947002,1,12.926,107.67,
164,165,-102947004,1,6.629,55.22,
166,167,-102984483,1,4.454,61.87,
168,169,-103012039#0,1,12.206,101.68,
