node_index,source_node_id,pos_x,pos_y,is_stop_only
0,59851632,35311.66,19453.31,False
1,59851065,35220.51,19490.87,False
2,4618686265,35344.11,19441.05,False
3,59851632,35311.66,19453.31,False
4,31390428,17773.11,15453.28,False
5,31390429,17664.3,15347.46,False
6,31390436,18156.09,15373.98,False
7,27434860,18139.56,15582.07,False
8,26848761,16069.91,14902.17,False
9,26848718,16119.75,14983.03,False
10,27409693,16780.17,20789.4,False
11,cluster_1316823342_26908924_277697697_5964778576_5964778577_5964778578_5964778579_5964778580_6171090110,16841.9,20900.01,False
12,cluster_26938187_364309968_802800009,16702.9,20641.11,False
13,27409693,16780.17,20789.4,False
14,cluster_414106630_82657906,39291.69,20919.32,False
15,82657995,39507.62,20838.99,False
16,2433525865,41829.64,3962.96,False
17,21509123,41852.59,4007.86,False
18,4337593777,41303.71,3821.94,False
19,82896083,41535.07,4228.71,False
20,82896133,42059.26,4032.57,False
21,82896128,42032.05,4017.81,False
22,82896128,42032.05,4017.81,False
23,1242393639,42047.02,3978.73,False
24,82896135,42007.58,4047.95,False
25,82896128,42032.05,4017.81,False
26,29787483,24964.28,18285.75,False
27,cluster_122087860_29276773,24102.87,18786.92,False
28,cluster_26682572_26682573_3079820928_5074018654_5074018655_5074018656_5074018657_5074018658_5074018659_5074018660_5074018661_5074018662,17215.37,17985.41,False
29,26682576,17064.65,17999.62,False
30,26731174,16805.14,18053.29,False
31,cluster_2184060054_5971361611_5971361612_5971361613_5971361614_5971361615_5971361616_5971361617_5971361618_5971361619_5971361620_606727855,16695.35,18076.86,False
32,cluster_26682571_6146213707_6146213708_6146213709_6146213710_6146213711_6146213712_6146213713_6146213714,16918.99,18028.59,False
33,26731174,16805.14,18053.29,False
34,26682576,17064.65,17999.62,False
35,cluster_26682571_6146213707_6146213708_6146213709_6146213710_6146213711_6146213712_6146213713_6146213714,16918.99,18028.59,False
36,27784967,18504.9,18380.78,False
37,27784976,18386.71,18366.41,False
38,26852225,17606.99,15823.58,False
39,cluster_26852165_26852183_300140024_4728082995_4728082996_4728082998_4728082999_4728083000,17477.09,15842.85,False
40,26852163,17720.93,15817.32,False
41,26852225,17606.99,15823.58,False
42,cluster_1474201771_1474201772,17807.06,15817.65,False
43,26852163,17720.93,15817.32,False
44,26848785,16029.52,14835.75,False
45,26848761,16069.91,14902.17,False
46,26729627,15900.23,14550.84,False
47,26848785,16029.52,14835.75,False
48,26840983,15675.7,15250.22,False
49,26840980,15735.05,15336.02,False
50,1474201711,15666.77,15178.55,False
51,26840983,15675.7,15250.22,False
52,1474201686,15655.15,15082.19,False
53,1474201711,15666.77,15178.55,False
54,1474201664,15641.53,14970.46,False
55,1474201686,15655.15,15082.19,False
56,26848697,15618.53,14780.26,False
57,1474201664,15641.53,14970.46,False
58,26729631,15595.8,14565.63,False
59,26848697,15618.53,14780.26,False
60,26848710,16299.12,15279.61,False
61,1096352283,16215.96,15336.82,False
62,27422467,16486.96,15198.27,False
63,26848710,16299.12,15279.61,False
64,30320243,16284.37,14771.37,False
65,26848761,16069.91,14902.17,False
66,1170230929,26797.73,9065.12,False
67,1170230931,26888.08,9109.19,False
68,1665587950,26731.24,8899.09,False
69,1170230929,26797.73,9065.12,False
70,1665587950,26731.24,8899.09,False
71,cluster_1170230935_1665587952,26864.55,8909.92,False
72,cluster_1170230935_1665587952,26864.55,8909.92,False
73,1170230929,26797.73,9065.12,False
74,296080416,17584.27,10775.9,False
75,cluster_1611929731_2321009971,17621.65,10797.73,False
76,148781099,17441.85,10678.96,False
77,296080416,17584.27,10775.9,False
78,486432010,30393.01,20210.73,False
79,486432642,30371.52,20191.82,False
80,59955112,32584.82,24009.63,False
81,cluster_29885347_29885364,32612.58,24062.2,False
82,220449291,32486.25,23830.69,False
83,59955112,32584.82,24009.63,False
84,cluster_30739787_88592452,18123.61,11285.12,False
85,cluster_30739798_5484447108_6595252386_6595252413_6595252415_6595252416_6595252418,18116.71,11413.36,False
86,524692341,18890.34,12017.36,False
87,cluster_4551270569_524692378_574273053_6064664512_6064664513_6064664514,18663.45,12121.93,False
88,524692343,18977.95,11976.17,False
89,524692341,18890.34,12017.36,False
90,524692379,19180.38,11919.7,False
91,524692343,18977.95,11976.17,False
92,30738626,19228.52,11906.47,False
93,524692379,19180.38,11919.7,False
94,cluster_27433677_27433678_4832623833_4832623836_5748078056_5748078057_5748078058_5748078059,18757.31,14384.36,False
95,76470548,18874.31,15902.17,False
96,cluster_6167442067_6167442068,18482.69,12346.84,False
97,524692350,18489.81,12336.27,False
98,30738354,18431.96,12434.36,False
99,cluster_6167442067_6167442068,18482.69,12346.84,False
100,30738210,18326.03,12608.38,False
101,30738354,18431.96,12434.36,False
102,30738156,18008.97,12970.74,False
103,30738370,18149.58,12848.74,False
104,29490319,20689.0,26979.7,False
105,29490317,20558.87,26945.7,False
106,1843589625,20626.53,27475.61,False
107,704047916,20560.89,27571.14,False
108,cluster_21540762_5799377300_5799377301_5799377302_5799377303_5799377304,20765.94,27271.68,False
109,1843589625,20626.53,27475.61,False
110,85456830,33433.44,26234.91,False
111,29858548,33241.03,26341.86,False
112,85457424,33507.44,26251.63,False
113,85457051,33458.1,26279.17,False
114,85457427,33590.56,26348.18,False
115,85457424,33507.44,26251.63,False
116,80411649,33694.59,26159.67,False
117,85457424,33507.44,26251.63,False
118,51595492,33747.55,26258.73,False
119,80411649,33694.59,26159.67,False
