from_node,to_node,source_edge_id,number_of_usable_lanes,travel_time,distance,connecting_edges
0,1,-1000268922,1,4.68,26.02,
2,3,-1000764646#0,1,2.367,13.16,
4,5,-1000764646#1,1,0.408,2.27,
6,7,-10047682#0,1,0.511,2.84,
8,9,-10047682#1,1,6.335,35.22,
10,11,-10047682#2,1,5.216,29.0,
12,13,-10047682#3,1,0.514,2.86,
14,15,-10047682#4,1,3.982,22.14,
16,17,-10047682#5,1,7.076,39.34,
18,19,-10047682#6,1,0.223,1.24,
20,21,-1005803659#0,1,0.18,1.0,
22,23,-1005803659#1,1,38.849,216.0,
24,25,-1006474087,1,24.64,137.0,
26,27,-1006817039#0,1,1.097,9.14,
28,29,-1006817039#1,1,5.573,46.42,
30,31,-1006817039#2,1,6.92,57.64,
32,33,-1006817039#4,1,6.066,50.53,
34,35,-1007105107#1,1,0.07,0.58,
36,37,-1007105107#2,1,1.457,12.14,
38,39,-1007105107#3,1,0.457,3.81,
40,41,-1007105126#0,1,0.024,0.2,
42,43,-1007105126#1,1,0.631,5.26,
44,45,-1007105130,1,5.305,44.19,
46,47,-1007696317#1,1,11.211,93.39,
48,49,-1007696318#0,1,0.371,3.09,
50,51,-1007696318#1,1,9.663,80.49,
52,53,-1008190003,1,6.764,37.61,
54,55,-1008190004,1,3.969,22.07,
56,57,-1008934735,1,3.525,19.6,
58,59,-100893572#1,1,4.176,23.22,
60,61,-1009654122,1,4.709,26.18,
62,63,-1009654124,1,11.273,62.68,
64,65,-1011220009,1,12.493,69.46,
66,67,-1011220010#0,1,0.565,3.14,
68,69,-1011221532#0,1,1.459,8.11,
70,71,-1011223374#0,1,5.779,32.13,
72,73,-1011223374#1,1,7.252,40.32,
74,75,-1011223375,1,0.881,4.9,
76,77,-1011311387,1,6.083,16.91,
78,79,-1011311392,1,0.874,4.86,
80,81,-1011311394,1,0.036,0.2,
82,83,-1011311395,1,10.674,59.35,
84,85,-1011311396#0,1,2.147,11.94,
86,87,-1011311396#1,1,2.198,12.22,
88,89,-1011311397,1,1.55,8.62,
90,91,-1011550312#1,1,0.515,7.16,
92,93,-1011550312#2,1,0.014,0.2,
94,95,-1011550313#0,1,4.063,56.44,
96,97,-1011550313#1,1,0.714,9.92,
98,99,-1011550313#2,1,1.9,26.39,
100,101,-1012099189,1,38.471,213.9,
102,103,-1013075714#0,1,0.036,0.2,
104,105,-1013075714#1,1,0.036,0.2,
106,107,-1013082455#0,1,0.482,2.68,
108,109,-1013145724,1,0.318,1.77,
110,111,-1013145727#0,1,16.23,90.24,
112,113,-1013866703,1,8.486,23.59,
114,115,-1017077688,1,2.117,11.77,
116,117,-1017575457,1,0.96,5.34,
118,119,-1018199013,1,4.11,22.85,
120,121,-1018200867,1,3.142,26.17,
122,123,-1018511003,1,2.089,29.01,
124,125,-1018778397#0,1,8.514,47.34,
126,127,-1018778397#1,1,0.036,0.2,
