,from_node,to_node,edge_tt,edge_var,distance
0,0,1,4.8,0.7,43.86
1,14,15,4.03,0.379,50.99
2,16,17,8.343,1.136,101.05
3,42,43,5.685,0.522,42.99
4,44,45,3.108,0.155,18.6
5,52,53,2.667,0.273,32.59
6,54,55,16.667,1.333,94.21
7,56,57,2.0,0.0,11.5
8,66,67,15.0,0.0,94.31
9,78,79,1.5,0.5,6.15
10,82,83,3.891,0.321,48.69
11,94,95,4.386,18.103,13.91
12,98,99,8.213,0.886,128.51
13,100,101,9.6,0.3,68.52
14,104,105,1.112,0.1,22.63
15,108,109,18.54,164.675,30.71
16,110,111,9.5,5.963,100.46
17,112,113,4.929,0.439,62.66
18,114,115,9.279,60.891,40.52
19,118,119,1.5,0.254,19.0
20,120,121,3.0,0.765,21.47
21,122,123,4.855,0.743,58.42
22,124,125,2.478,0.253,31.48
23,126,127,4.348,0.377,54.49
24,128,129,15.0,0.0,66.07
25,130,131,33.0,0.0,183.52
26,134,135,23.0,0.0,112.05
27,136,137,10.0,0.0,28.17
28,138,139,9.25,0.25,68.83
29,144,145,13.0,0.0,144.65
30,146,147,10.0,0.0,115.78
31,150,151,3.0,0.0,28.86
32,154,155,3.0,0.0,17.94
33,156,157,6.0,0.0,25.74
34,160,161,4.586,0.878,80.97
35,162,163,13.83,1.275,250.33
36,168,169,11.0,0.0,52.02
37,176,177,9.571,0.286,71.63
38,182,183,8.5,2.455,19.19
39,184,185,22.667,0.333,101.6
40,186,187,15.0,0.0,71.74
41,194,195,5.333,0.333,38.67
42,196,197,1.429,0.286,9.98
43,200,201,7.438,0.663,159.67
44,202,203,10.077,0.744,77.67
45,206,207,11.824,40.998,56.26
46,208,209,29.75,0.917,146.58
47,216,217,6.0,0.0,29.17
48,224,225,5.3,0.456,36.69
49,228,229,4.3,0.233,21.62
50,230,231,1.5,0.333,6.4
51,232,233,5.5,0.5,30.91
52,246,247,6.333,0.333,34.85
53,252,253,13.0,0.0,68.87
54,254,255,3.0,0.0,11.68
55,256,257,4.333,0.333,21.4
56,258,259,6.0,0.0,34.09
57,260,261,26.0,196.0,28.02
58,264,265,14.69,236.779,6.31
59,266,267,2.0,1.0,4.23
60,280,281,7.75,0.25,19.73
61,284,285,31.0,0.0,230.28
62,288,289,3.333,0.333,21.26
63,290,291,15.667,0.333,108.36
64,292,293,3.333,0.333,26.21
65,294,295,9.667,0.333,68.01
66,296,297,11.0,0.0,123.9
67,300,301,13.0,0.0,102.96
68,302,303,2.0,0.0,19.16
69,304,305,3.0,0.0,20.18
70,306,307,5.5,0.333,36.83
71,310,311,1.667,0.333,9.19
72,312,313,6.0,0.0,46.08
73,332,333,11.057,6.04,133.91
74,344,345,45.0,0.0,82.16
75,346,347,5.0,0.0,35.57
76,348,349,12.0,0.0,8.82
77,360,361,3.5,0.5,41.81
78,362,363,2.0,0.0,21.87
79,364,365,3.0,0.0,13.51
80,370,371,12.0,0.0,57.72
81,374,375,17.0,2.0,88.29
82,390,391,3.0,0.0,12.42
83,392,393,3.0,0.0,12.57
84,398,399,3.0,0.0,12.15
85,402,403,14.5,0.5,170.52
86,404,405,24.0,0.0,281.09
87,406,407,35.5,0.5,416.58
88,408,409,16.0,0.0,182.01
89,432,433,10.0,0.0,124.22
90,462,463,20.0,3.0,106.27
91,466,467,89.0,128.0,460.6
92,480,481,68.0,30.0,327.89
93,494,495,3.81,1.162,54.03
94,496,497,2.421,0.257,48.35
95,498,499,6.526,0.374,126.35
96,500,501,1.211,0.287,20.69
97,502,503,5.25,0.2,60.86
98,506,507,226.583,568.992,1088.11
99,516,517,9.5,4.5,47.21
100,518,519,13.25,0.917,68.43
101,520,521,19.5,12.5,96.21
102,522,523,2.0,0.0,11.45
103,524,525,28.333,17.333,148.14
104,530,531,20.0,2.0,100.58
105,532,533,66.0,16.0,270.05
106,538,539,4.0,0.0,19.91
107,540,541,25.0,0.0,117.01
108,542,543,14.0,0.0,61.67
109,548,549,30.04,9.707,146.71
110,554,555,4.714,0.238,22.08
111,558,559,8.0,3.0,36.12
112,560,561,10.667,2.333,79.06
113,564,565,5.0,0.0,29.15
114,566,567,5.0,0.0,40.12
115,568,569,11.5,41.667,111.17
116,570,571,20.345,8.734,95.94
117,572,573,15.5,9.0,92.3
118,590,591,4.0,0.0,19.26
119,592,593,7.356,0.813,157.69
120,596,597,3.4,0.3,43.68
121,600,601,11.5,0.5,27.29
122,622,623,12.0,0.0,56.67
123,628,629,6.809,0.724,85.11
124,630,631,1.62,0.237,10.81
125,634,635,42.0,0.0,196.59
126,636,637,62.5,51.0,327.35
127,638,639,138.239,1474.821,689.29
128,640,641,21.5,2.3,117.06
129,642,643,22.0,0.0,100.7
130,644,645,26.0,2.0,114.83
131,646,647,14.667,0.333,73.46
132,648,649,34.333,5.067,180.04
133,654,655,20.778,10.444,94.66
134,656,657,21.536,7.295,102.28
135,658,659,22.927,16.67,105.41
136,660,661,3.914,0.782,17.58
137,664,665,10.9,2.989,50.36
138,666,667,7.129,0.848,110.74
139,674,675,4.5,0.5,21.77
140,676,677,5.0,0.0,29.18
141,680,681,16.0,0.0,69.2
142,682,683,12.0,0.0,55.99
143,686,687,46.0,0.0,207.14
144,688,689,15.0,0.0,68.83
145,692,693,66.0,0.0,303.08
146,702,703,141.0,0.0,795.49
147,720,721,3.0,0.0,12.01
148,726,727,53.277,101.074,252.87
149,728,729,18.125,4.195,85.98
150,732,733,215.0,0.0,764.24
151,736,737,33.222,11.694,156.67
152,738,739,7.091,0.658,99.76
153,740,741,1.948,0.167,25.29
154,742,743,12.791,111.547,39.07
155,748,749,17.335,44.199,186.97
156,750,751,4.914,0.486,62.58
157,788,789,2.333,0.333,9.07
158,792,793,6.0,2.0,28.86
159,812,813,5.833,0.567,28.88
160,814,815,8.0,0.0,34.95
161,826,827,6.333,0.333,28.87
162,832,833,6.0,0.0,30.46
163,842,843,7.5,0.5,34.95
164,852,853,6.0,0.0,30.46
165,860,861,8.0,0.0,34.94
166,868,869,1.107,0.099,8.57
167,870,871,8.929,0.735,67.04
168,872,873,2.88,0.193,22.1
169,874,875,1.12,0.11,9.37
170,876,877,8.96,0.79,69.18
171,878,879,5.5,0.5,67.59
172,880,881,3.997,0.531,47.81
173,884,885,4.0,0.0,32.4
174,886,887,5.5,0.5,37.32
175,890,891,6.5,0.5,48.33
176,894,895,6.0,0.0,46.02
177,898,899,29.0,0.0,133.84
178,902,903,17.0,0.0,81.61
179,904,905,3.5,0.5,15.89
180,906,907,17.5,84.5,117.26
181,908,909,1.5,0.333,9.06
182,912,913,5.125,0.125,25.08
183,914,915,6.222,0.944,32.21
184,916,917,2.25,0.214,11.34
185,918,919,1.154,0.141,6.09
186,924,925,2.5,0.3,13.98
187,934,935,15.333,2.333,75.39
188,946,947,6.667,0.333,35.33
189,958,959,14.5,0.5,75.76
190,964,965,10.5,0.5,55.39
191,966,967,14.0,0.0,71.94
192,974,975,9.0,0.667,42.97
193,980,981,9.0,0.0,40.68
194,984,985,14.111,3.361,67.56
195,986,987,14.0,0.0,78.12
196,988,989,1.4,0.358,6.85
197,990,991,9.25,1.357,45.22
198,1000,1001,8.5,0.5,42.5
199,1020,1021,22.0,0.0,110.47
200,1024,1025,12.0,0.0,51.99
201,1042,1043,1.9,8.1,3.68
202,1044,1045,1.231,0.192,7.49
203,1046,1047,1.5,0.286,8.13
204,1048,1049,1.243,0.185,17.09
205,1050,1051,1.362,0.232,17.3
206,1052,1053,2.843,0.263,35.82
207,1054,1055,3.098,13.892,29.69
208,1056,1057,7.223,55.625,22.2
209,1058,1059,1.571,0.286,5.71
210,1078,1079,17.5,4.5,80.58
211,1082,1083,18.0,0.0,80.44
212,1092,1093,18.0,0.0,80.43
213,1104,1105,1.299,0.962,3.45
214,1128,1129,14.5,2.265,73.51
215,1132,1133,2.5,9.0,1.92
216,1134,1135,2.909,10.691,3.2
217,1166,1167,9.19,1.662,45.02
218,1170,1171,2.0,0.0,10.52
219,1188,1189,13.0,2.0,66.8
220,1190,1191,10.0,0.0,64.47
221,1200,1201,22.0,5.2,108.87
222,1202,1203,21.333,6.267,108.53
223,1204,1205,34.286,17.905,75.27
224,1210,1211,6.333,0.333,45.15
225,1212,1213,9.25,0.917,75.46
226,1214,1215,9.2,0.7,69.67
227,1216,1217,5.078,20.102,50.47
228,1218,1219,16.172,141.858,29.15
229,1220,1221,2.41,0.265,31.44
230,1222,1223,5.045,0.513,65.62
231,1224,1225,3.423,0.275,39.29
232,1226,1227,2.0,0.0,4.29
233,1230,1231,59.5,40.5,143.4
234,1232,1233,1.25,0.25,2.95
235,1234,1235,15.2,1.2,72.74
236,1236,1237,14.833,2.167,71.93
237,1238,1239,49.294,92.471,83.74
238,1240,1241,76.357,100.863,162.24
239,1246,1247,13.5,4.333,31.59
240,1254,1255,24.0,3.5,118.28
241,1256,1257,11.0,0.0,48.11
242,1258,1259,7.6,0.8,33.89
243,1262,1263,7.0,0.0,28.79
244,1286,1287,2.667,0.333,12.46
245,1288,1289,3.0,0.0,16.78
246,1294,1295,11.5,17.667,33.71
247,1298,1299,4.5,9.0,13.52
248,1300,1301,5.0,0.0,25.92
249,1316,1317,3.0,0.0,19.07
250,1318,1319,2.0,0.0,12.65
251,1322,1323,5.0,0.0,21.62
252,1326,1327,3.0,0.0,13.25
253,1332,1333,5.0,0.0,24.86
254,1334,1335,10.0,0.0,56.25
255,1346,1347,13.0,0.0,65.3
256,1348,1349,10.0,0.0,49.14
257,1352,1353,25.0,0.0,260.94
258,1356,1357,4.0,0.0,30.44
259,1358,1359,1.5,0.333,11.65
260,1360,1361,9.2,14.7,34.75
261,1362,1363,7.6,0.3,37.47
262,1366,1367,4.5,0.5,22.87
263,1370,1371,10.0,243.0,0.39
264,1372,1373,3.0,0.0,15.15
265,1374,1375,6.0,0.0,33.46
266,1376,1377,2.0,0.0,0.2
267,1378,1379,10.0,10.4,37.64
268,1380,1381,4.667,0.333,21.45
269,1382,1383,13.0,0.0,62.93
270,1386,1387,2.0,0.0,10.51
271,1388,1389,3.0,0.0,15.89
272,1398,1399,22.0,8.0,111.1
273,1406,1407,14.0,1.0,74.72
274,1408,1409,4.0,3.0,13.65
275,1416,1417,4.6,0.489,32.93
276,1420,1421,12.857,30.143,96.84
277,1422,1423,7.0,0.0,56.78
278,1424,1425,3.6,0.3,25.73
279,1426,1427,43.0,0.0,217.33
280,1428,1429,17.082,4.462,216.65
281,1430,1431,12.965,3.26,139.44
282,1432,1433,5.758,0.498,70.26
283,1434,1435,4.879,0.405,61.02
284,1436,1437,5.0,0.382,61.49
285,1438,1439,4.279,0.327,51.93
286,1440,1441,3.713,0.31,45.48
287,1444,1445,1.299,0.21,16.04
288,1458,1459,19.125,12.125,39.29
289,1470,1471,3.556,1.028,28.5
290,1472,1473,7.6,42.8,18.08
291,1482,1483,1.667,0.333,8.14
292,1484,1485,8.667,2.333,36.93
293,1500,1501,7.325,2.149,154.58
294,1502,1503,2.248,0.212,50.04
295,1506,1507,1.267,0.2,9.86
296,1508,1509,1.167,0.152,5.38
297,1510,1511,2.267,0.21,10.13
298,1516,1517,3.0,0.0,19.83
299,1526,1527,2.093,0.182,25.81
300,1528,1529,1.381,0.242,15.45
301,1530,1531,1.929,12.071,1.18
302,1534,1535,5.333,0.333,29.76
303,1554,1555,4.0,0.0,16.76
304,1556,1557,5.0,0.0,27.75
305,1560,1561,10.333,1.333,51.18
306,1568,1569,2.0,0.0,7.75
307,1576,1577,14.0,0.0,66.29
308,1578,1579,3.0,0.0,12.57
309,1580,1581,8.667,0.333,40.29
310,1582,1583,11.0,1.0,54.23
311,1586,1587,2.417,0.265,14.24
312,1588,1589,4.077,0.577,44.45
313,1590,1591,3.429,0.286,43.15
314,1592,1593,7.125,0.696,87.25
315,1594,1595,11.0,0.0,76.85
316,1596,1597,8.0,0.0,54.44
317,1600,1601,4.23,0.439,54.16
318,1602,1603,8.029,0.825,104.49
319,1604,1605,3.17,10.113,7.84
320,1606,1607,8.27,0.976,96.18
321,1608,1609,8.06,5.948,90.09
322,1610,1611,6.348,0.707,76.59
323,1612,1613,14.0,0.0,63.48
324,1616,1617,6.781,0.839,89.18
325,1620,1621,1.674,0.237,21.93
326,1626,1627,7.0,0.0,28.4
327,1642,1643,41.333,16.333,201.51
328,1644,1645,46.0,334.667,268.29
329,1646,1647,1.581,0.44,18.51
330,1648,1649,11.125,2.676,145.56
331,1650,1651,6.186,1.441,81.08
332,1656,1657,1.429,0.286,17.18
333,1658,1659,2.429,0.952,24.53
334,1662,1663,9.4,0.3,121.31
335,1664,1665,7.5,0.5,85.38
336,1666,1667,2.222,3.444,7.52
337,1668,1669,4.9,0.989,34.72
338,1670,1671,6.286,0.238,50.69
339,1672,1673,27.0,19.0,194.98
340,1678,1679,9.0,0.0,52.26
341,1686,1687,32.0,32.0,129.93
342,1694,1695,2.688,0.459,54.28
343,1704,1705,19.611,263.488,16.48
344,1706,1707,1.847,13.61,14.72
345,1708,1709,19.667,5.152,97.69
346,1734,1735,2.0,0.0,6.99
347,1738,1739,8.444,2.278,40.48
348,1794,1795,5.0,0.0,23.8
349,1796,1797,4.0,0.0,19.43
350,1808,1809,14.667,0.333,74.71
351,1862,1863,11.0,0.0,77.99
352,1868,1869,7.0,0.0,51.06
353,1870,1871,3.5,0.333,22.69
354,1872,1873,5.0,0.667,35.81
355,1880,1881,4.0,0.0,26.13
356,1886,1887,6.0,0.0,43.41
357,1888,1889,7.5,0.5,53.57
358,1890,1891,5.714,0.571,62.0
359,1892,1893,20.0,0.0,149.4
360,1908,1909,9.0,0.0,20.1
361,1912,1913,8.5,0.333,108.21
362,1918,1919,14.75,0.917,191.19
363,1920,1921,6.8,0.2,80.37
364,1922,1923,5.0,0.0,67.0
365,1924,1925,10.0,0.0,66.4
366,1938,1939,8.364,0.719,102.05
367,1940,1941,10.613,1.445,131.49
368,1942,1943,3.414,0.251,43.62
369,1944,1945,1.677,0.292,20.15
370,1946,1947,1.034,0.034,11.68
371,1952,1953,20.0,0.0,91.84
372,1960,1961,6.5,0.5,37.44
373,1962,1963,3.0,0.0,17.66
374,1964,1965,2.0,0.0,10.47
375,1968,1969,5.0,0.0,18.09
376,1970,1971,2.0,0.0,5.28
377,1978,1979,2.8,0.2,13.7
378,1982,1983,1.2,0.2,5.93
379,1984,1985,1.143,0.143,5.25
380,1986,1987,1.556,0.278,6.34
381,1988,1989,3.364,0.655,15.48
382,1990,1991,26.0,0.0,181.87
383,1992,1993,40.889,92.111,184.39
384,2000,2001,4.0,0.0,23.08
385,2004,2005,14.0,0.0,78.72
386,2006,2007,80.0,8.0,383.7
387,2010,2011,7.429,0.739,95.45
388,2012,2013,10.78,1.526,138.42
389,2016,2017,8.556,0.795,97.1
390,2018,2019,3.37,0.319,45.29
391,2020,2021,1.346,0.235,18.69
392,2022,2023,5.423,0.574,71.13
393,2024,2025,1.962,0.118,23.9
394,2030,2031,4.0,0.0,31.72
395,2034,2035,10.0,0.0,85.76
396,2038,2039,3.0,0.0,15.6
397,2040,2041,5.0,0.0,38.78
398,2042,2043,5.0,0.0,36.67
399,2044,2045,1.5,0.5,10.77
400,2046,2047,2.0,0.0,15.25
401,2048,2049,2.0,0.0,15.6
402,2050,2051,2.0,0.0,22.5
403,2052,2053,3.0,0.0,22.3
404,2054,2055,3.0,0.0,11.9
405,2060,2061,4.034,0.463,9.38
406,2062,2063,14.5,4.957,31.6
407,2064,2065,11.538,2.769,26.51
408,2066,2067,2.333,0.333,14.64
409,2068,2069,3.0,0.0,20.08
410,2070,2071,4.0,0.0,28.16
411,2072,2073,2.0,0.0,18.89
412,2074,2075,4.0,0.0,27.67
413,2076,2077,3.0,0.0,17.72
414,2078,2079,4.0,0.0,25.65
415,2080,2081,19.333,369.333,8.44
416,2082,2083,4.667,1.333,22.47
417,2084,2085,2.667,0.333,13.98
418,2086,2087,11.233,55.745,27.41
419,2088,2089,2.176,0.184,28.15
420,2090,2091,3.312,1.064,40.76
421,2092,2093,2.814,0.331,33.11
422,2094,2095,2.25,0.25,15.16
423,2096,2097,1.5,0.333,6.59
424,2100,2101,2.0,0.0,11.54
425,2104,2105,3.333,0.267,16.2
426,2118,2119,2.0,0.0,16.83
427,2122,2123,2.333,0.788,11.92
428,2124,2125,2.083,0.083,13.32
429,2126,2127,9.909,0.891,70.98
430,2130,2131,2.138,0.337,15.04
431,2134,2135,70.0,242.0,295.21
432,2142,2143,14.0,0.0,181.3
433,2146,2147,26.75,4.917,288.54
434,2148,2149,3.6,0.253,46.21
435,2150,2151,17.385,156.55,92.59
436,2158,2159,1.699,0.213,21.71
437,2162,2163,2.28,0.206,31.1
438,2164,2165,2.116,0.104,27.68
439,2168,2169,2.208,0.168,29.55
440,2170,2171,4.915,0.427,65.18
441,2172,2173,1.64,0.257,21.11
442,2174,2175,1.733,0.198,22.19
443,2176,2177,1.171,0.143,14.56
444,2182,2183,7.0,0.0,74.04
445,2184,2185,13.0,0.0,145.3
446,2188,2189,5.0,0.0,53.01
447,2190,2191,3.934,0.297,48.33
448,2192,2193,13.124,104.439,19.48
449,2194,2195,9.133,81.566,10.69
450,2196,2197,6.325,25.165,50.72
451,2198,2199,5.25,0.25,24.48
452,2200,2201,79.667,21.333,407.94
453,2202,2203,2.444,0.261,26.36
454,2204,2205,8.667,0.25,116.77
455,2206,2207,3.25,0.25,40.25
456,2208,2209,4.4,0.3,48.29
457,2218,2219,5.0,0.25,68.34
458,2220,2221,3.222,0.194,43.48
459,2222,2223,3.222,0.194,46.99
460,2224,2225,5.0,0.0,68.07
461,2226,2227,2.545,0.473,27.2
462,2228,2229,7.25,0.25,101.41
463,2230,2231,2.25,0.25,31.24
464,2232,2233,18.0,0.0,95.88
465,2234,2235,5.5,0.5,39.06
466,2238,2239,5.0,0.0,38.39
467,2250,2251,3.0,0.0,26.6
468,2252,2253,7.5,0.5,75.92
469,2254,2255,2.0,0.0,8.11
470,2268,2269,24.0,0.0,119.47
471,2270,2271,14.0,2.0,108.74
472,2272,2273,10.0,0.0,65.56
473,2274,2275,8.941,16.934,46.82
474,2276,2277,5.0,0.5,36.92
475,2284,2285,6.8,0.7,51.86
476,2286,2287,16.0,3.0,122.69
477,2294,2295,13.0,2.0,100.05
478,2296,2297,12.0,1.5,94.44
479,2298,2299,9.0,0.0,66.9
480,2300,2301,4.9,0.322,36.5
481,2302,2303,15.667,4.333,119.45
482,2304,2305,3.667,0.333,21.8
483,2306,2307,8.333,0.333,62.71
484,2308,2309,2.0,0.0,13.85
485,2326,2327,6.698,0.739,106.64
486,2352,2353,9.667,14.333,74.86
487,2366,2367,5.81,21.816,41.32
488,2368,2369,5.846,0.607,71.95
489,2370,2371,7.333,0.439,91.9
490,2372,2373,12.538,1.729,159.06
491,2374,2375,4.923,0.389,61.75
492,2376,2377,4.205,0.378,51.09
493,2378,2379,10.436,1.516,133.02
494,2380,2381,16.513,2.941,209.65
495,2382,2383,2.436,0.305,30.62
496,2384,2385,22.7,6.233,166.04
497,2386,2387,12.5,4.5,84.93
498,2388,2389,29.0,0.0,177.71
499,2390,2391,14.0,0.0,84.61
500,2392,2393,6.597,0.665,101.2
501,2394,2395,2.338,0.227,36.53
502,2396,2397,18.936,3.404,270.15
503,2412,2413,3.0,0.0,23.31
504,2428,2429,9.0,0.0,68.45
505,2430,2431,5.0,0.0,41.23
506,2432,2433,4.0,0.0,31.28
507,2436,2437,2.889,0.361,19.87
508,2438,2439,2.556,0.278,21.52
509,2440,2441,4.75,0.917,35.04
510,2444,2445,4.0,0.0,25.83
511,2446,2447,10.333,0.333,74.71
512,2448,2449,5.667,0.333,39.52
513,2450,2451,11.0,0.0,78.34
514,2452,2453,7.0,2.0,53.1
515,2458,2459,4.5,0.5,32.43
516,2460,2461,3.5,0.5,23.74
517,2462,2463,11.0,2.0,69.86
518,2466,2467,16.091,6.085,197.5
519,2468,2469,2.121,0.235,27.78
520,2470,2471,21.0,5.25,270.5
521,2472,2473,2.5,0.581,26.27
522,2474,2475,21.429,226.619,12.55
523,2476,2477,25.0,4.333,127.86
524,2478,2479,4.235,0.191,21.09
525,2484,2485,2.667,0.353,21.69
526,2488,2489,3.0,0.0,22.63
527,2490,2491,12.0,0.0,96.76
528,2492,2493,14.5,0.5,115.63
529,2494,2495,10.0,0.0,77.28
530,2496,2497,7.857,0.729,60.69
