,from_node,to_node,edge_tt,edge_var,distance
0,0,1,4.127,0.638,43.86
1,4,5,1.102,0.012,1.56
2,6,7,1.285,0.477,3.01
3,10,11,9.039,2.497,60.57
4,14,15,8.484,392.423,50.99
5,16,17,11.746,255.323,101.05
6,18,19,6.99,0.71,41.6
7,20,21,1.248,1.567,3.7
8,24,25,1.004,0.012,3.21
9,26,27,5.278,0.0,22.81
10,32,33,1.086,0.0,0.2
11,36,37,7.455,0.743,41.75
12,40,41,257.68,27513.616,41.93
13,42,43,5.804,1.436,42.99
14,44,45,3.164,0.753,18.6
15,46,47,48.369,700.051,160.59
16,50,51,5.054,0.218,23.07
17,52,53,347.408,30808.031,32.59
18,54,55,20.087,0.0,94.21
19,56,57,3.1,0.0,11.5
20,58,59,1.046,0.003,2.46
21,68,69,1.017,0.0,2.34
22,70,71,1.103,0.0,4.07
23,72,73,1.079,0.0,1.96
24,74,75,1.093,0.006,3.02
25,76,77,1.042,0.003,3.63
26,78,79,1.566,0.539,6.15
27,80,81,1.338,0.432,5.22
28,82,83,867.128,150696.421,48.69
29,88,89,1.088,0.0,0.2
30,90,91,39.606,1858.5,177.86
31,92,93,1.067,0.01,0.2
32,94,95,12.323,342.291,13.91
33,98,99,8.459,2.32,128.51
34,100,101,10.399,10.053,68.52
35,104,105,1.136,0.133,22.63
36,108,109,22.962,594.564,30.71
37,110,111,12.228,57.452,100.46
38,112,113,4.942,0.623,62.66
39,114,115,25.784,380.268,40.52
40,116,117,1.79,18.558,9.82
41,118,119,2.525,25.929,19.0
42,120,121,4.604,36.416,21.47
43,122,123,9.277,61.744,58.42
44,124,125,3.229,6.494,31.48
45,126,127,4.729,1.224,54.49
46,128,129,15.591,9.984,66.07
47,134,135,20.393,0.0,112.05
48,136,137,20.451,597.35,28.17
49,138,139,9.696,2.51,68.83
50,142,143,8.424,6.441,36.62
51,144,145,10.481,5.113,144.65
52,146,147,9.292,0.115,115.78
53,148,149,21.373,555.691,13.2
54,150,151,3.072,0.891,28.86
55,154,155,3.618,0.728,17.94
56,160,161,4.504,1.101,80.97
57,162,163,13.74,3.299,250.33
58,176,177,9.428,1.845,71.63
59,178,179,1.52,0.25,5.18
60,180,181,9.273,3.732,19.08
61,182,183,30.907,1805.455,19.19
62,184,185,23.394,0.0,101.6
63,186,187,15.379,0.061,71.74
64,188,189,36.162,47.811,165.88
65,192,193,1.321,0.252,7.88
66,194,195,5.633,0.466,38.67
67,196,197,1.268,0.173,9.98
68,200,201,7.922,1.594,159.67
69,202,203,9.819,4.425,77.67
70,204,205,6.389,0.817,45.69
71,206,207,24.381,488.373,56.26
72,208,209,31.479,31.388,146.58
73,210,211,39.284,95.329,87.48
74,214,215,21.402,0.0,96.05
75,218,219,1.046,0.006,9.27
76,224,225,5.658,1.382,36.69
77,226,227,18.959,0.185,90.42
78,228,229,4.387,0.779,21.62
79,230,231,1.322,0.252,6.4
80,232,233,5.146,0.679,30.91
81,236,237,2.936,0.0,15.07
82,242,243,2.824,16.85,2.26
83,244,245,6.461,0.0,31.47
84,246,247,7.519,2.383,34.85
85,250,251,4.314,1.389,21.65
86,254,255,3.31,0.0,11.68
87,256,257,4.799,2.812,21.4
88,258,259,6.206,0.0,34.09
89,260,261,23.842,225.756,28.02
90,262,263,42.233,0.0,97.68
91,264,265,12.188,494.776,6.31
92,266,267,1.869,0.501,4.23
93,270,271,12.498,9.681,26.52
94,272,273,14.78,24.63,27.63
95,274,275,9.565,0.858,26.7
96,276,277,16.968,6.436,41.42
97,278,279,1.06,0.0,0.37
98,280,281,9.551,2.87,19.73
99,286,287,10.294,9.891,72.84
100,288,289,3.541,2.826,21.26
101,290,291,15.573,0.166,108.36
102,292,293,3.446,1.385,26.21
103,294,295,10.655,11.065,68.01
104,296,297,11.223,2.122,123.9
105,298,299,1.597,0.263,11.25
106,300,301,13.104,2.155,102.96
107,302,303,2.713,0.242,19.16
108,304,305,2.598,0.78,20.18
109,306,307,4.591,0.201,36.83
110,308,309,1.164,0.0,4.27
111,310,311,1.421,0.296,9.19
112,312,313,6.201,0.609,46.08
113,316,317,12.306,7.825,69.25
114,318,319,3.406,0.695,19.18
