,from_node,to_node,general_mean,general_var,distance,edge_tt,edge_var
0,0,1,10.046641692471754,5.148725501222185,43.86,4.588,0.972
1,4,5,1.5713351080754256,4.053762499780707,1.56,2.623,1.618
2,6,7,1.5650659609240458,3.768935501773382,3.01,4.883,5.691
3,8,9,4.687068599622805,0.8404356650328229,20.95,4.641,0.764
4,10,11,6.690180953702666,3.310354952867366,60.57,9.723,6.062
5,12,13,4.502377761553521,0.7092775239233511,126.31,29.036,27.537
6,14,15,6.6223854130562065,36.16213052590303,50.99,14.049,48.884
7,16,17,11.865504118777206,4.29570917045109,101.05,8.776,2.213
8,18,19,5.099011532375156,0.06571326856839922,41.6,8.179,0.168
9,20,21,4.264396262401508,1.3646649324325446,3.7,0.933,0.056
10,24,25,4.4632006965814615,0.5262757845622822,3.21,0.738,0.014
11,26,27,4.743189260843985,0.2878801720613657,22.81,4.871,0.296
12,30,31,5.135101259731641,0.24006844936769883,1.01,0.198,0.0
13,32,33,5.939191999999999,0.0006732982079999697,0.2,0.034,0.0
14,34,35,4.132616883829103,1.2254992948259573,8.85,2.295,0.329
15,36,37,4.72870939120669,0.18449467439645587,41.75,8.902,0.643
16,38,39,3.3579576560254214,0.7713871860188798,9.08,2.889,0.5
17,42,43,7.645193179515407,1.011808644992168,42.99,5.72,0.547
18,44,45,6.588162089729616,2.137092829160184,18.6,2.962,0.392
19,50,51,4.211217560561421,1.4780819129716853,23.07,5.935,2.501
20,52,53,11.16708019732305,3.726789854224319,32.59,3.006,0.255
21,60,61,4.584995507940154,0.7754099433487082,2.47,0.559,0.011
22,66,67,5.876038948056161,0.15943346540638897,94.31,16.124,1.189
23,70,71,5.263786834356524,1.3442555609385922,4.07,0.811,0.029
24,72,73,5.210301266181985,0.27881914648482875,1.96,0.38,0.001
25,76,77,4.489359555471128,0.0,3.63,0.809,0.0
26,78,79,4.486429797336347,0.0,6.15,1.371,0.0
27,80,81,4.972911423205458,0.2930808279113469,5.22,1.062,0.013
28,82,83,13.818661007985087,0.7421865709304647,48.69,3.537,0.048
29,90,91,1.939958762595388,0.21096743662581152,177.86,96.822,471.196
30,92,93,2.5649780365854613,0.14958262812909975,0.2,0.08,0.0
31,94,95,2.6211975077995464,15.116422161774622,13.91,16.982,61.959
32,98,99,15.686459134568427,2.576331715289425,128.51,8.278,0.703
33,100,101,6.224957207992425,1.6121413035509822,68.52,11.465,5.041
34,102,103,7.67294773754584,0.2567882028549605,3.18,0.416,0.001
35,104,105,19.4592091182668,2.2601223785492945,22.63,1.17,0.008
36,106,107,16.396601511479734,2.0855119445835317,11.41,0.701,0.004
37,108,109,1.513069102656101,10.535517618772213,30.71,113.699,1895.747
38,110,111,8.556944629577165,33.52835168464125,100.46,17.116,63.114
39,112,113,12.703739941309465,2.259913117545479,62.66,5.001,0.341
40,114,115,1.5752910929808406,10.962946104595982,40.52,139.358,2922.96
41,116,117,7.103497794556758,35.772169415741566,9.82,2.362,1.355
42,118,119,7.362500529179414,24.845762553202263,19.0,3.763,3.053
43,120,121,6.937392770779912,10.888990309016979,21.47,3.795,2.167
44,122,123,7.781045800250544,16.149067228525787,58.42,9.511,15.036
45,124,125,11.065891760118411,6.778144856147107,31.48,3.002,0.448
46,126,127,11.618870239019992,2.8719509313618072,54.49,4.79,0.468
47,128,129,4.011456392920614,0.23049894948353558,66.07,16.706,3.886
