,from_node,to_node,edge_tt,edge_var,distance
0,14,15,4.2,0.2,50.99
1,16,17,9.2,1.2,101.05
2,42,43,7.0,0.0,42.99
3,44,45,3.0,0.0,18.6
4,50,51,4.0,0.0,23.07
5,82,83,4.0,0.0,48.69
6,90,91,82.0,0.0,177.86
7,94,95,1.5,0.5,13.91
8,98,99,8.733,1.352,128.51
9,104,105,1.125,0.125,22.63
10,108,109,29.6,252.8,30.71
11,110,111,10.714,11.905,100.46
12,112,113,4.857,0.476,62.66
13,114,115,21.333,24.333,40.52
14,118,119,2.0,0.0,19.0
15,120,121,2.667,0.333,21.47
16,122,123,5.333,2.333,58.42
17,124,125,2.667,0.333,31.48
18,126,127,4.333,0.333,54.49
19,160,161,4.0,1.0,80.97
20,162,163,14.0,7.0,250.33
21,182,183,8.5,0.5,19.19
22,200,201,7.5,0.5,159.67
23,206,207,9.0,37.0,56.26
24,246,247,8.0,0.0,34.85
25,256,257,5.0,0.0,21.4
26,264,265,17.667,569.333,6.31
27,332,333,11.462,10.769,133.91
28,360,361,3.0,0.0,41.81
29,362,363,2.0,0.0,21.87
30,402,403,13.0,0.0,170.52
31,404,405,22.0,0.0,281.09
32,406,407,31.0,0.0,416.58
33,408,409,15.0,0.0,182.01
34,432,433,10.0,0.0,124.22
35,494,495,4.0,0.0,54.03
36,496,497,2.0,0.0,48.35
37,498,499,6.0,0.0,126.35
38,502,503,5.0,0.0,60.86
39,506,507,238.0,0.0,1088.11
40,542,543,10.0,0.0,61.67
41,568,569,15.333,1.333,111.17
42,592,593,7.562,0.929,157.69
43,594,595,1.5,0.5,14.03
44,596,597,3.5,0.5,43.68
45,628,629,7.429,0.619,85.11
46,630,631,1.25,0.214,10.81
47,638,639,25.0,0.0,689.29
48,656,657,26.0,0.0,102.28
49,658,659,26.0,0.0,105.41
50,660,661,4.0,0.0,17.58
51,666,667,7.2,0.6,110.74
52,690,691,132.0,0.0,520.75
53,728,729,17.0,0.0,85.98
54,738,739,6.75,0.25,99.76
55,740,741,1.667,0.333,25.29
56,742,743,19.667,32.333,39.07
57,748,749,23.429,130.952,186.97
58,750,751,5.429,0.619,62.58
59,838,839,5.0,0.0,30.86
60,870,871,9.0,0.0,67.04
61,872,873,2.0,0.0,22.1
62,876,877,8.0,0.0,69.18
63,880,881,3.75,0.5,47.81
64,912,913,5.0,0.0,25.08
65,914,915,6.0,0.0,32.21
66,916,917,2.0,0.0,11.34
67,918,919,2.0,0.0,6.09
68,964,965,11.0,0.0,55.39
69,984,985,16.0,0.0,67.56
70,988,989,2.667,4.333,6.85
71,990,991,10.0,8.0,45.22
72,1000,1001,9.0,0.0,42.5
73,1048,1049,1.125,0.125,17.09
74,1050,1051,1.375,0.268,17.3
75,1052,1053,2.75,0.214,35.82
76,1054,1055,5.25,45.659,29.69
77,1056,1057,8.5,95.727,22.2
78,1128,1129,13.0,0.0,73.51
79,1216,1217,7.571,43.952,50.47
80,1218,1219,11.571,67.619,29.15
81,1220,1221,2.286,0.238,31.44
82,1222,1223,5.0,0.333,65.62
83,1224,1225,3.571,0.286,39.29
84,1332,1333,5.0,0.0,24.86
85,1428,1429,17.714,0.571,216.65
86,1430,1431,13.857,1.476,139.44
87,1432,1433,5.571,0.286,70.26
88,1434,1435,5.571,0.619,61.02
89,1436,1437,4.875,0.411,61.49
90,1438,1439,4.25,0.5,51.93
91,1440,1441,3.75,0.214,45.48
92,1444,1445,1.375,0.268,16.04
93,1500,1501,11.5,24.5,154.58
94,1502,1503,2.5,0.5,50.04
95,1526,1527,2.0,0.0,25.81
96,1528,1529,1.333,0.333,15.45
97,1554,1555,5.0,0.0,16.76
98,1586,1587,2.5,0.333,14.24
99,1588,1589,3.75,0.25,44.45
100,1590,1591,3.0,0.0,43.15
101,1592,1593,7.0,0.0,87.25
102,1600,1601,4.273,0.218,54.16
103,1602,1603,7.75,3.841,104.49
104,1606,1607,8.2,0.7,96.18
105,1608,1609,11.4,42.3,90.09
106,1610,1611,6.6,0.8,76.59
107,1616,1617,7.333,0.75,89.18
108,1620,1621,1.5,0.333,21.93
109,1646,1647,2.333,0.333,18.51
110,1648,1649,14.0,19.0,145.56
111,1650,1651,6.667,1.333,81.08
112,1694,1695,2.722,0.448,54.28
113,1704,1705,33.0,625.6,16.48
114,1706,1707,1.333,0.267,14.72
115,1738,1739,9.0,0.0,40.48
116,1938,1939,7.0,0.0,102.05
117,1940,1941,10.0,0.0,131.49
118,1942,1943,3.0,0.0,43.62
119,1964,1965,3.0,0.0,10.47
120,1978,1979,3.0,0.0,13.7
121,1986,1987,2.0,0.0,6.34
122,1988,1989,3.0,0.0,15.48
123,2010,2011,8.0,1.0,95.45
124,2012,2013,11.0,3.0,138.42
125,2016,2017,10.0,0.0,97.1
126,2018,2019,4.5,0.5,45.29
127,2020,2021,1.5,0.5,18.69
128,2022,2023,6.0,0.0,71.13
129,2024,2025,2.5,0.5,23.9
130,2030,2031,5.0,0.0,31.72
131,2086,2087,29.667,226.333,27.41
132,2088,2089,5.6,48.3,28.15
133,2090,2091,3.4,0.3,40.76
134,2092,2093,2.4,0.3,33.11
135,2148,2149,3.5,0.333,46.21
136,2150,2151,21.6,509.3,92.59
137,2158,2159,2.0,0.0,21.71
138,2162,2163,2.5,0.333,31.1
139,2164,2165,2.4,0.3,27.68
140,2168,2169,2.25,0.25,29.55
141,2170,2171,5.5,0.333,65.18
142,2172,2173,1.8,0.2,21.11
143,2174,2175,1.8,0.2,22.19
144,2176,2177,1.4,0.3,14.56
145,2178,2179,7.0,0.0,76.27
146,2180,2181,6.5,0.5,81.11
147,2182,2183,5.5,0.5,74.04
148,2184,2185,11.333,1.333,145.3
149,2188,2189,4.667,0.333,53.01
150,2190,2191,6.067,32.067,48.33
151,2192,2193,9.733,134.067,19.48
152,2194,2195,4.133,69.267,10.69
153,2196,2197,12.467,96.124,50.72
154,2202,2203,3.0,0.0,26.36
155,2326,2327,6.444,0.528,106.64
156,2384,2385,21.0,0.0,166.04
157,2392,2393,6.636,0.455,101.2
158,2394,2395,2.273,0.218,36.53
159,2396,2397,17.267,11.21,270.15
160,2466,2467,17.333,4.333,197.5
161,2468,2469,2.333,0.333,27.78
162,2470,2471,22.333,8.333,270.5
163,2472,2473,2.0,0.0,26.27
164,2478,2479,5.0,0.0,21.09
165,2484,2485,2.667,0.333,21.69
166,2496,2497,10.0,0.0,60.69
167,2498,2499,9.0,0.0,59.32
168,2500,2501,5.0,0.0,33.17
169,2538,2539,5.0,0.0,30.08
170,2558,2559,3.6,0.8,36.94
171,2560,2561,5.8,0.7,74.12
172,2598,2599,7.0,0.0,43.87
173,2602,2603,5.0,0.0,32.63
174,2604,2605,4.0,0.0,27.94
175,2606,2607,6.0,0.0,40.39
176,2614,2615,38.0,0.0,134.84
177,2618,2619,9.667,4.333,47.63
178,2620,2621,9.0,0.0,30.74
179,2652,2653,4.0,0.0,17.27
180,2654,2655,15.0,0.0,71.79
181,2656,2657,14.0,0.0,62.2
182,2664,2665,2.8,0.2,35.7
183,2666,2667,8.4,14.3,114.09
184,2668,2669,1.25,0.25,14.3
185,2670,2671,1.25,0.25,11.8
186,2676,2677,19.0,0.0,133.12
187,2678,2679,6.0,0.0,43.36
188,2680,2681,3.0,0.0,18.95
189,2682,2683,2.0,0.0,14.41
190,2684,2685,7.0,0.0,51.37
191,2742,2743,2.0,0.0,14.07
192,2760,2761,3.0,0.0,13.28
193,2762,2763,14.0,0.0,82.0
194,2782,2783,13.0,0.0,62.79
195,2818,2819,7.5,0.5,53.52
196,2820,2821,5.0,0.0,36.9
