,from_node,to_node,time_spec_mean,time_spec_var,distance,edge_tt,edge_var
0,0,1,11.137140533753731,4.925320209819003,43.86,4.095,0.616
1,2,3,6.987286023739968,0.08363503571669868,25.49,3.654,0.023
2,4,5,4.111144916643501,0.22984740220373753,1.56,0.385,0.002
3,6,7,2.6335058510295433,4.19577241937346,3.01,1.834,0.79
4,8,9,5.15059215883643,0.5682217348008904,20.95,4.155,0.354
5,10,11,8.531959474519569,0.17753103940815448,60.57,7.117,0.123
6,12,13,4.738730039339171,0.33603164169664307,126.31,27.054,10.632
7,14,15,5.204781879748798,35.57769595496903,50.99,22.663,126.049
8,16,17,6.578488430845572,32.176451551202966,101.05,26.781,175.431
9,18,19,4.68027568096026,0.17069645781662024,41.6,8.958,0.616
10,20,21,3.8817847392823266,2.149760403297449,3.7,1.089,0.13
11,22,23,4.429939676979334,0.0,0.28,0.063,0.0
12,24,25,4.538309538453889,0.7576328752884893,3.21,0.733,0.018
13,28,29,5.720683999999999,0.24405328878399996,6.06,1.067,0.008
14,30,31,5.5092186666666665,0.07763837290133321,1.01,0.184,0.0
15,36,37,4.394082681815372,0.2563750509992993,41.75,9.628,1.199
16,38,39,5.348568100491304,2.2745707585903476,9.08,1.833,0.229
17,40,41,1.0787021091536246,4.043594279485614,41.93,173.95,5250.627
18,42,43,2.1766008633414864,10.395105870920862,42.99,63.088,855.95
19,44,45,1.4523472584463206,7.013096569333529,18.6,55.387,545.323
20,46,47,5.286739487686778,2.2475303556552597,160.59,32.819,74.198
21,50,51,4.891976691975549,0.7934924953621961,23.07,4.872,0.737
22,52,53,9.951184493141088,0.7946019758491161,32.59,3.301,0.086
23,54,55,4.83297804220959,0.595803418478105,94.21,19.99,9.693
24,56,57,5.238266806748573,0.24299345563573435,11.5,2.215,0.043
25,58,59,4.565072135183674,1.0943683590640376,2.46,0.567,0.015
26,60,61,5.4543599999999985,0.2374761112479997,2.47,0.456,0.002
27,62,63,3.2997979711228975,0.0,3.1,0.939,0.0
28,66,67,5.269916211269311,0.2611799949039055,94.31,18.064,3.012
29,70,71,3.162101146135609,1.3561544839645205,4.07,1.462,0.225
30,72,73,5.30146,0.0,1.96,0.37,0.0
31,74,75,4.122530668205063,0.00178590514260263,3.02,0.733,0.0
32,76,77,4.467287257995138,0.5063272113316305,3.63,0.833,0.017
33,78,79,4.4334275034927035,0.6621333674558497,6.15,1.434,0.065
