node_index,source_node_id,pos_x,pos_y,is_stop_only
0,25579778,7331.1,5374.29,False
1,279014957,7310.71,5310.68,False
2,cluster_267380184_267408879,5401.28,4343.85,False
3,376510027,5368.89,4365.32,False
4,7628677263,7440.92,2684.96,False
5,1174664646,7449.48,2699.29,False
6,7628677255,7431.75,2670.37,False
7,7628677263,7440.92,2684.96,False
8,7628677264,7416.88,2646.75,False
9,7628677255,7431.75,2670.37,False
10,1174664088,7409.51,2594.68,False
11,865007985,7345.82,2591.59,False
12,cluster_1211777284_292226065,2614.66,5702.08,False
13,1183322529,2708.18,5593.56,False
14,cluster_2053244661_377117817,5775.42,3726.51,False
15,277739043,5728.04,3683.76,False
16,89129103,5846.58,3824.61,False
17,cluster_2053244661_377117817,5775.42,3726.51,False
18,287963642,5471.77,4099.16,False
19,cluster_1189883653_287963641,5441.25,4052.03,False
20,659379987,5570.41,4009.05,False
21,1839751525,5580.85,4024.14,False
22,659379985,5563.1,3996.75,False
23,659379987,5570.41,4009.05,False
24,442337359,5553.36,3980.8,False
25,659379985,5563.1,3996.75,False
26,1189883501,5574.79,3952.07,False
27,442337359,5553.36,3980.8,False
28,659379978,5597.03,3958.15,False
29,1189883501,5574.79,3952.07,False
30,659379976,5610.05,3966.72,False
31,659379978,5597.03,3958.15,False
32,1189883795,5620.99,3971.07,False
33,659379976,5610.05,3966.72,False
34,1691647138,5621.33,3953.6,False
35,1189883795,5620.99,3971.07,False
36,287963639,5409.28,4072.99,False
37,288781774,5440.56,4119.77,False
38,cluster_89129121_89129122,5348.73,4416.8,False
39,1168659850,5354.09,4393.85,False
40,1387938805,4895.68,4511.09,False
41,667791925,4949.11,4498.56,False
42,cluster_89129121_89129122,5348.73,4416.8,False
43,cluster_1195228815_267380165,5292.01,4434.86,False
44,267408878,5384.83,4407.08,False
45,cluster_89129121_89129122,5348.73,4416.8,False
46,1195228784,5066.57,4397.06,False
47,7616444537,5157.89,4457.7,False
48,339222628,5785.55,4319.63,False
49,1196936357,5796.07,4300.46,False
50,1196936347,5965.89,5141.06,False
51,cluster_1196936250_271787328,5954.36,5114.61,False
52,1501871753,5850.46,6285.48,False
53,276184126,5889.86,6287.79,False
54,1196936367,5771.79,5230.66,False
55,1196936363,5767.53,5136.33,False
56,1196936319,5769.68,5251.75,False
57,1196936367,5771.79,5230.66,False
58,703495363,5626.32,5237.51,False
59,703495364,5643.16,5239.18,False
60,703495362,5609.53,5235.84,False
61,703495363,5626.32,5237.51,False
62,703495361,5592.11,5234.12,False
63,703495362,5609.53,5235.84,False
64,703495360,5574.54,5232.37,False
65,703495361,5592.11,5234.12,False
66,cluster_289881755_289881758_703495347,5575.23,5137.57,False
67,703495360,5574.54,5232.37,False
68,271780148,5753.03,5250.1,False
69,1196936319,5769.68,5251.75,False
70,969209293,5734.64,5248.27,False
71,271780148,5753.03,5250.1,False
72,969209318,5718.41,5246.66,False
73,969209293,5734.64,5248.27,False
74,969209305,5701.08,5244.94,False
75,969209318,5718.41,5246.66,False
76,969209258,5683.16,5243.16,False
77,969209305,5701.08,5244.94,False
78,cluster_1637111620_289881753,5664.2,5241.27,False
79,969209258,5683.16,5243.16,False
80,703495364,5643.16,5239.18,False
81,cluster_1637111620_289881753,5664.2,5241.27,False
82,276184126,5889.86,6287.79,False
83,442327627,5948.14,6305.56,False
84,1393740659,5325.42,4134.37,False
85,417797169,5330.57,4126.75,False
86,1393740659,5325.42,4134.37,False
87,1196960056,5322.0,4128.44,False
88,370925063,5331.5,4144.15,False
89,1393740659,5325.42,4134.37,False
90,1197035348,5905.53,3594.54,False
91,cluster_266359527_293187815,6046.31,3723.37,False
92,267397016,5872.73,4353.7,False
93,1196936303,5867.07,4352.01,False
94,434404883,6642.75,3505.63,False
95,gneJ8,6621.35,3551.25,False
96,1200363969,4787.04,4711.84,False
97,305559050,4773.83,4714.88,False
98,100184,4034.16,7647.31,False
99,100183,4045.44,7768.2,False
100,1834001565,5702.8,4742.06,False
101,cluster_267289886_361444651_7658158464,5619.08,4724.97,False
102,4959722733,5628.25,4700.7,False
103,cluster_267289886_361444651_7658158464,5619.08,4724.97,False
104,100044,4559.51,7857.3,False
105,100102,4594.1,7857.32,False
106,100055,4510.06,7855.1,False
107,100044,4559.51,7857.3,False
108,cluster_269095126_452402576,5806.26,3853.63,False
109,89129103,5846.58,3824.61,False
110,cluster_1742723593_310442384,6910.77,4583.45,False
111,cluster_1834036285_26288876,6791.91,4574.56,False
112,cluster_1834036309_274591089_274591093,6942.21,4643.03,False
113,cluster_1742723593_310442384,6910.77,4583.45,False
114,cluster_1804327775_89173755,3577.17,5041.77,False
115,cluster_1423242652_1815670962_1815670964_89173763,3548.1,4982.9,False
116,cluster_1804327779_89173751,3580.21,5069.05,False
117,cluster_1804327775_89173755,3577.17,5041.77,False
118,cluster_1804327782_1804327785_2247460531_344963236,3597.03,5092.21,False
119,cluster_1804327779_89173751,3580.21,5069.05,False
120,cluster_1423242663_267783904,3629.84,5107.88,False
121,cluster_1804327782_1804327785_2247460531_344963236,3597.03,5092.21,False
122,249179921,3683.99,5151.12,False
123,cluster_1423242663_267783904,3629.84,5107.88,False
124,1423242716,3694.78,5186.22,False
125,249179921,3683.99,5151.12,False
126,cluster_1602381793_1782978609_1804327788_313321254,3692.38,5255.35,False
127,1423242716,3694.78,5186.22,False
128,2108878044,7532.78,1964.25,False
129,1209218742,7588.94,1956.09,False
130,1183322529,2708.18,5593.56,False
131,cluster_1211777284_292226065,2614.66,5702.08,False
132,1617626350,2717.3,5581.46,False
133,1183322529,2708.18,5593.56,False
134,1617626288,2754.3,5478.07,False
135,1617626346,2708.33,5574.39,False
136,315993628,2782.12,5446.23,False
137,1617626288,2754.3,5478.07,False
138,912506384,5781.11,4750.59,False
139,1834001565,5702.8,4742.06,False
140,1246262926,5832.56,4756.9,False
141,912506384,5781.11,4750.59,False
142,461956083,5964.81,1361.82,False
143,288771074,6009.93,1369.11,False
144,7294444485,9416.97,1410.63,False
145,414267408,9547.88,1403.96,False
146,92629193,9358.9,1523.63,False
147,7294444485,9416.97,1410.63,False
148,472442946,6569.61,2232.82,False
149,cluster_1795399122_1852723938_1852723941_1852723942_21532605_2337351260_975729494,6531.74,2227.17,False
150,472442969,6606.07,2243.24,False
151,472442946,6569.61,2232.82,False
152,2110354475,6674.12,2336.49,False
153,975729496,6674.69,2334.34,False
154,cluster_1496557396_699711095,6674.9,2368.46,False
155,2110354475,6674.12,2336.49,False
156,861273046,5801.5,7636.62,False
157,1221374623,5794.52,7671.92,False
158,1223385994,2639.6,6360.58,False
159,1223385992,2756.33,6312.47,False
