,index,from_node,to_node,source_edge_id,edge_tt,edge_var,distance
0,0,0,1,--153692837#1,7.0,0.4,43.86
1,4,4,5,-101731827#0,2.3333333333333335,2.2380952380952377,1.56
2,8,6,7,-101731827#1,1.2857142857142858,0.2380952380952381,3.01
3,15,14,15,-102818928#0,6.5,0.5714285714285714,50.99
4,19,16,17,-102818928#1,13.0,0.0,101.05
5,29,38,39,-103396186,6.0,0.0,9.08
6,34,42,43,-103512667#0,9.0,0.0,42.99
7,38,44,45,-103512667#2,4.5,0.5,18.6
8,49,52,53,-103671264,3.2222222222222223,0.4444444444444444,32.59
9,59,72,73,-103671267#4,2.0,2.0,1.96
10,62,74,75,-103671267#5,3.5,0.5,3.02
11,65,76,77,-103671267#6,3.5,0.5,3.63
12,67,78,79,-103671267#7,3.5,0.5,6.15
13,69,82,83,-103671270,6.296296296296297,1.1396011396011398,48.69
14,77,92,93,-103687101,1.0,0.0,0.2
15,81,94,95,-103718186,40.666666666666664,1370.3333333333335,13.91
16,87,98,99,-1040258009,9.05,2.6815789473684206,128.51
17,96,104,105,-1042557946,3.375,1.5489130434782612,22.63
18,100,106,107,-1042557947,1.4285714285714286,0.5714285714285714,11.41
19,104,108,109,-10425610#1,22.0,73.0,30.71
20,108,110,111,-10425611#0,10.8,15.957894736842107,100.46
21,112,112,113,-10425611#1,7.0,0.8421052631578947,62.66
22,116,114,115,-10427692#1,4.0,0.0,40.52
23,120,116,117,-10427692#2,2.0,0.0,9.82
24,124,118,119,-10427692#3,3.0,0.0,19.0
25,128,120,121,-10427692#4,4.0,0.0,21.47
26,132,122,123,-10427692#5,5.0,0.0,58.42
27,136,124,125,-10427692#6,3.0,0.0,31.48
28,140,126,127,-10427692#7,6.5,0.5,54.49
29,144,128,129,-104847200,14.0,0.49999999999999967,66.07
30,148,134,135,-105143683#0,26.0,0.0,112.05
31,151,136,137,-105143683#1,8.166666666666666,15.366666666666665,28.17
32,159,142,143,-105540411,7.4,0.3,36.62
33,169,152,153,-10597455#0,1.0,0.0,0.2
34,172,154,155,-10597455#1,6.0,0.0,17.94
35,175,160,161,-107431496#0,5.3,2.2333333333333325,80.97
36,179,162,163,-107431496#1,16.375,1.1250000000000004,250.33
37,187,176,177,-108239938,9.0,1.3333333333333333,71.63
38,191,180,181,-108240279#1,13.5,0.5,19.08
39,195,182,183,-108240279#2,15.666666666666666,35.75,19.19
40,206,196,197,-108310253,2.75,0.25000000000000006,9.98
41,210,200,201,-10941814,7.444444444444445,0.5277777777777777,159.67
42,216,206,207,-11014139#1,14.5,12.5,56.26
43,236,234,235,-113796178#0,1.0,0.0,0.73
44,238,238,239,-113796181#1,3.0,0.0,0.55
45,241,240,241,-113796181#2,3.0,2.0,0.14
46,244,242,243,-113796181#3,2.0,0.0,2.26
47,247,244,245,-113796181#4,8.0,0.0,31.47
48,251,256,257,-113796197,8.0,0.0,21.4
49,286,332,333,-116765451#1,11.533333333333333,2.1238095238095243,133.91
50,290,334,335,-116765451#2,1.6,0.6857142857142856,4.02
51,301,346,347,-118004640#1,6.0,0.0,35.57
52,305,348,349,-118004640#1.47,9.0,72.0,8.82
53,309,350,351,-118004640#2,2.5,0.5,0.13
54,313,352,353,-118004640#4,2.0,0.0,2.5
55,319,360,361,-118604348#0,4.0,0.0,41.81
56,321,362,363,-118604348#1,2.0,0.0,21.87
57,327,372,373,-118604351#3,2.0,0.0,2.56
58,330,374,375,-118604351#4,20.0,0.0,88.29
59,342,402,403,-118607469#0,14.0,0.0,170.52
60,344,404,405,-118607469#1,22.0,0.0,281.09
61,346,406,407,-118607469#2,32.0,0.0,416.58
62,347,408,409,-118607469#3,16.0,2.0,182.01
63,348,410,411,-118607469#4,12.0,0.0,116.33
64,351,422,423,-118607480,6.0,0.0,18.85
65,354,430,431,-118607487#0,1.0,0.0,1.99
66,358,432,433,-118607487#1,10.0,0.0,124.22
67,362,434,435,-118607487#10,1.5,0.5,8.9
68,366,436,437,-118607487#11,1.5,0.5,10.15
69,370,438,439,-118607487#12,1.5,0.5,6.32
70,374,440,441,-118607487#13,1.5,0.5,10.56
71,376,442,443,-118607487#14,1.5,0.5,9.02
72,378,444,445,-118607487#15,1.0,0.0,9.3
73,380,446,447,-118607487#2,2.0,0.0,7.63
74,384,448,449,-118607487#3,0.5,0.5,6.8
75,388,450,451,-118607487#4,1.5,0.5,5.94
76,392,452,453,-118607487#5,1.0,0.0,8.89
77,396,454,455,-118607487#6,1.5,0.5,8.38
78,400,456,457,-118607487#7,1.5,0.5,7.45
79,404,458,459,-118607487#8,1.5,0.5,8.78
80,408,460,461,-118607487#9,1.0,0.0,5.68
81,412,462,463,-118607492,22.0,0.0,106.27
82,413,464,465,-118607497#0,3.0,0.0,0.2
83,421,494,495,-11940927#0,4.5,1.9,54.03
84,425,496,497,-11940927#1,2.4,0.29999999999999993,48.35
85,429,498,499,-11940927#2,6.4,0.7999999999999998,126.35
86,433,500,501,-11940927#3,2.4,0.8,20.69
87,437,502,503,-11940927#4,7.0,0.0,60.86
88,441,508,509,-119621360#0,4.0,0.0,0.2
89,453,538,539,-120033098#3,8.0,0.0,19.91
90,455,540,541,-120033098#4,27.0,0.0,117.01
91,456,542,543,-120033098#5,14.0,0.0,61.67
92,458,544,545,-120033098#6,1.0,0.0,1.67
93,462,546,547,-120033098#7,2.0,0.0,0.2
