,index,from_node,to_node,source_edge_id,edge_tt,edge_var,distance
0,2,0,1,--153692837#1,8.0,2.545454545454545,43.86
1,6,2,3,-101238042,5.5,0.3333333333333333,25.49
2,9,4,5,-101731827#0,2.3636363636363638,0.4545454545454545,1.56
3,13,6,7,-101731827#1,2.142857142857143,0.14285714285714293,3.01
4,16,10,11,-101731858,10.75,2.2499999999999996,60.57
5,20,14,15,-102818928#0,5.757009345794392,12.336624933874097,50.99
6,24,16,17,-102818928#1,14.851851851851851,821.9404638283144,101.05
7,27,18,19,-103053747,11.0,0.0,41.6
8,30,20,21,-103053774#0,3.2666666666666666,0.6160919540229886,3.7
9,34,22,23,-103053774#1,3.0,3.2,0.28
10,38,24,25,-103053774#2,3.75,3.477272727272727,3.21
11,40,26,27,-103053774#3,7.0,2.6666666666666665,22.81
12,42,28,29,-103053774#4,2.8333333333333335,2.5666666666666673,6.06
13,45,30,31,-103053774#5,1.7142857142857142,0.5714285714285714,1.01
14,47,32,33,-103053774#6,2.0,0.8,0.2
15,49,34,35,-103053774#7,2.25,0.25000000000000006,8.85
16,52,36,37,-103053803,12.5,1.6666666666666667,41.75
17,56,38,39,-103396186,5.928571428571429,5.456043956043955,9.08
18,60,40,41,-103512657,13.384615384615385,57.0897435897436,41.93
19,64,42,43,-103512667#0,8.54368932038835,3.270131353512279,42.99
20,68,44,45,-103512667#2,4.6455696202531644,2.077896786757548,18.6
21,70,46,47,-103512672,48.57142857142857,720.6190476190476,160.59
22,73,48,49,-103671248,4.033333333333333,0.1712643678160922,4.61
23,75,50,51,-103671254,6.0,3.2,23.07
24,78,52,53,-103671264,3.6666666666666665,0.24999999999999997,32.59
25,80,54,55,-103671267#0,19.857142857142858,2.476190476190476,94.21
26,83,56,57,-103671267#1,2.8333333333333335,0.9666666666666666,11.5
27,91,64,65,-103671267#13,1.75,0.7857142857142857,3.26
28,94,66,67,-103671267#14,21.4,10.8,94.31
29,97,68,69,-103671267#2,2.2,1.7000000000000002,2.34
30,99,70,71,-103671267#3,2.75,1.5833333333333333,4.07
31,101,72,73,-103671267#4,2.5,0.5714285714285714,1.96
32,105,74,75,-103671267#5,3.0,0.3333333333333333,3.02
33,109,76,77,-103671267#6,3.111111111111111,1.111111111111111,3.63
34,111,78,79,-103671267#7,3.4,0.3,6.15
35,113,80,81,-103671267#9,2.4444444444444446,1.5277777777777775,5.22
36,117,82,83,-103671270,5.0,0.0,48.69
37,119,84,85,-103678452,1.5,0.3333333333333333,0.2
38,123,86,87,-103678458#0,3.0,0.0,0.2
39,127,88,89,-103678458#1,3.0,1.0,0.2
40,131,90,91,-103686129#1,78.4,58.80000000000003,177.86
41,134,92,93,-103687101,4.153846153846154,10.14102564102564,0.2
42,138,94,95,-103718186,34.732394366197184,557.6273641851109,13.91
43,141,96,97,-104010328,1.5,0.5,1.95
44,144,98,99,-1040258009,8.429718875502008,0.9135616914337442,128.51
45,148,100,101,-104236368#0,10.555555555555555,2.2777777777777772,68.52
46,152,102,103,-104236369,0.9444444444444444,0.09119496855345913,3.18
47,156,104,105,-1042557946,1.9781931464174456,0.11514797507788158,22.63
48,160,106,107,-1042557947,1.1401869158878504,0.12091121495327098,11.41
