,from_node,to_node,edge_tt,edge_var,distance
0,10,11,8.5,0.5,60.57
1,14,15,4.0,0.2,50.99
2,16,17,7.818,1.164,101.05
3,42,43,5.5,0.5,42.99
4,44,45,3.0,0.0,18.6
5,52,53,4.0,0.0,32.59
6,82,83,3.0,0.0,48.69
7,94,95,15.5,106.7,13.91
8,98,99,7.903,0.757,128.51
9,100,101,9.0,0.0,68.52
10,104,105,1.042,0.042,22.63
11,108,109,20.25,119.133,30.71
12,110,111,11.286,15.905,100.46
13,112,113,4.714,0.905,62.66
14,114,115,23.0,135.667,40.52
15,118,119,1.571,0.619,19.0
16,120,121,3.2,0.2,21.47
17,122,123,4.2,0.2,58.42
18,124,125,2.4,0.3,31.48
19,126,127,4.0,0.5,54.49
20,128,129,15.0,0.0,66.07
21,148,149,4.75,22.214,13.2
22,150,151,3.125,0.411,28.86
23,160,161,4.5,1.167,80.97
24,162,163,13.25,0.786,250.33
25,176,177,9.667,4.333,71.63
26,182,183,7.0,0.0,19.19
27,184,185,25.0,0.0,101.6
28,186,187,16.0,0.0,71.74
29,194,195,4.0,0.0,38.67
30,200,201,7.81,0.562,159.67
31,202,203,11.0,1.429,77.67
32,206,207,11.545,51.473,56.26
33,210,211,47.0,0.0,87.48
34,246,247,7.0,0.0,34.85
35,248,249,6.0,0.0,24.97
36,260,261,6.0,0.0,28.02
37,264,265,12.4,100.257,6.31
38,266,267,2.2,0.2,4.23
39,296,297,11.0,0.0,123.9
40,302,303,3.0,0.0,19.16
41,304,305,2.0,0.0,20.18
42,306,307,5.0,0.0,36.83
43,312,313,6.0,0.0,46.08
44,332,333,10.673,2.46,133.91
45,360,361,2.5,0.5,41.81
46,362,363,2.0,0.0,21.87
47,374,375,20.0,0.0,88.29
48,380,381,3.0,0.0,13.05
49,382,383,3.0,0.0,15.08
50,394,395,3.0,0.0,15.87
51,398,399,2.0,0.0,12.15
52,402,403,12.5,4.5,170.52
53,404,405,21.0,8.0,281.09
54,406,407,30.5,12.5,416.58
55,408,409,14.5,4.5,182.01
56,416,417,58.0,0.0,299.99
57,418,419,25.0,0.0,125.95
58,426,427,5.0,0.0,19.27
59,432,433,9.5,1.9,124.22
60,440,441,1.25,0.25,10.56
61,442,443,1.25,0.25,9.02
62,480,481,78.0,0.0,327.89
63,494,495,4.0,0.0,54.03
64,496,497,3.0,0.0,48.35
65,498,499,6.0,0.0,126.35
66,502,503,5.0,0.0,60.86
67,506,507,214.0,0.0,1088.11
68,512,513,22.667,12.333,100.79
69,538,539,4.333,0.333,19.91
70,540,541,24.333,6.333,117.01
71,568,569,14.0,0.0,111.17
72,570,571,21.0,9.667,95.94
73,572,573,18.5,0.5,92.3
74,592,593,7.344,0.684,157.69
75,594,595,1.25,0.25,14.03
76,596,597,3.0,0.0,43.68
77,628,629,6.938,0.462,85.11
78,630,631,1.5,0.259,10.81
79,638,639,138.0,454.5,689.29
80,640,641,22.667,2.333,117.06
81,642,643,21.5,0.5,100.7
82,654,655,18.0,0.0,94.66
83,656,657,20.0,1.5,102.28
84,658,659,20.571,3.619,105.41
85,660,661,3.375,0.268,17.58
86,664,665,10.5,0.5,50.36
87,666,667,6.806,0.428,110.74
88,674,675,11.0,0.0,21.77
89,688,689,12.0,0.0,68.83
90,700,701,8.0,0.0,39.19
91,702,703,169.0,0.0,795.49
92,710,711,2.0,0.0,16.38
93,726,727,51.0,12.0,252.87
94,728,729,18.1,3.211,85.98
95,736,737,36.0,32.0,156.67
96,738,739,6.965,0.784,99.76
97,740,741,1.926,0.145,25.29
98,742,743,21.833,202.292,39.07
99,748,749,14.952,3.412,186.97
100,750,751,4.929,0.605,62.58
101,856,857,9.0,0.0,45.22
102,868,869,1.2,0.2,8.57
103,870,871,8.4,0.3,67.04
104,872,873,3.0,0.0,22.1
