,from_node,to_node,edge_tt,edge_var,distance
0,0,1,4.667,0.333,43.86
1,6,7,1.5,1.0,3.01
2,8,9,6.0,0.0,20.95
3,12,13,28.0,2.0,126.31
4,14,15,4.713,33.539,50.99
5,16,17,8.483,1.154,101.05
6,18,19,8.5,4.5,41.6
7,26,27,4.0,0.0,22.81
8,34,35,1.5,0.333,8.85
9,38,39,2.0,0.0,9.08
10,40,41,10.0,0.0,41.93
11,42,43,5.817,0.552,42.99
12,44,45,3.429,4.5,18.6
13,50,51,5.0,0.667,23.07
14,52,53,2.667,0.333,32.59
15,54,55,21.0,4.8,94.21
16,56,57,2.333,0.267,11.5
17,66,67,20.667,4.333,94.31
18,82,83,4.5,0.571,48.69
19,94,95,31.693,629.181,13.91
20,98,99,8.242,0.961,128.51
21,100,101,10.8,3.7,68.52
22,104,105,1.107,0.096,22.63
23,108,109,11.012,105.814,30.71
24,110,111,10.94,31.919,100.46
25,112,113,4.871,0.514,62.66
26,114,115,22.5,413.916,40.52
27,116,117,1.012,0.012,9.82
28,118,119,1.579,0.246,19.0
29,120,121,3.122,0.266,21.47
30,122,123,4.862,1.303,58.42
31,124,125,2.549,0.303,31.48
32,126,127,4.384,0.509,54.49
33,128,129,15.0,0.0,66.07
34,130,131,36.0,0.0,183.52
35,136,137,6.0,2.0,28.17
36,138,139,9.8,0.2,68.83
37,142,143,8.333,2.333,36.62
38,144,145,13.333,1.333,144.65
39,146,147,9.5,0.333,115.78
40,148,149,17.0,263.152,13.2
41,150,151,5.147,54.311,28.86
42,154,155,4.0,0.0,17.94
43,160,161,4.571,0.75,80.97
44,162,163,13.881,1.508,250.33
45,168,169,9.0,0.0,52.02
46,170,171,1.75,0.25,6.04
47,174,175,8.0,0.0,85.57
48,176,177,9.267,1.21,71.63
49,178,179,2.0,0.0,5.18
50,180,181,8.0,0.0,19.08
51,182,183,8.357,1.016,19.19
52,184,185,24.0,50.0,101.6
53,192,193,1.133,0.124,7.88
54,194,195,5.0,0.5,38.67
55,196,197,1.467,0.267,9.98
56,198,199,14.0,0.0,60.83
57,200,201,7.723,0.8,159.67
58,202,203,10.37,1.26,77.67
59,204,205,7.0,0.0,45.69
60,206,207,12.873,47.676,56.26
61,208,209,29.143,45.143,146.58
62,210,211,45.5,0.5,87.48
63,216,217,6.333,0.333,29.17
64,222,223,7.5,0.333,36.97
65,224,225,5.217,0.36,36.69
66,226,227,17.5,0.5,90.42
67,228,229,4.217,0.269,21.62
68,230,231,1.438,0.262,6.4
