,index,from_node,to_node,source_edge_id,edge_tt,edge_var,distance
0,0,0,1,--153692837#1,9.0,2.0,43.86
1,7,4,5,-101731827#0,2.0,0.0,1.56
2,14,10,11,-101731858,8.5,0.5,60.57
3,18,14,15,-102818928#0,5.368421052631579,0.34708392603129423,50.99
4,22,16,17,-102818928#1,12.289473684210526,1.8328591749644372,101.05
5,28,20,21,-103053774#0,3.0,0.0,3.7
6,35,24,25,-103053774#2,2.0,0.0,3.21
7,40,30,31,-103053774#5,2.5,0.5,1.01
8,50,40,41,-103512657,11.0,0.0,41.93
9,53,42,43,-103512667#0,7.5,4.5,42.99
10,65,52,53,-103671264,3.36,0.3233333333333332,32.59
11,70,58,59,-103671267#10,3.0,0.0,2.46
12,77,64,65,-103671267#13,2.0,0.0,3.26
13,81,66,67,-103671267#14,23.666666666666668,0.33333333333333304,94.31
14,85,70,71,-103671267#3,3.0,0.0,4.07
15,89,76,77,-103671267#6,2.0,0.0,3.63
16,94,82,83,-103671270,4.608695652173913,0.521739130434783,48.69
17,96,84,85,-103678452,1.0,0.0,0.2
18,104,92,93,-103687101,6.25,1.583333333333333,0.2
19,108,94,95,-103718186,42.87323943661972,724.1408450704225,13.91
20,112,96,97,-104010328,2.0,0.0,1.95
21,116,98,99,-1040258009,8.350746268656716,0.9664458257341724,128.51
22,120,100,101,-104236368#0,10.0,1.3333333333333333,68.52
23,124,102,103,-104236369,1.0,0.0,3.18
24,128,104,105,-1042557946,2.0123456790123457,0.11130222069334555,22.63
25,132,106,107,-1042557947,1.1604938271604939,0.14134464702060157,11.41
26,136,108,109,-10425610#1,18.805555555555557,168.9039682539683,30.71
27,140,110,111,-10425611#0,11.06060606060606,34.30871212121212,100.46
28,144,112,113,-10425611#1,6.2727272727272725,0.32954545454545453,62.66
29,148,114,115,-10427692#1,20.5,270.7926829268293,40.52
30,152,116,117,-10427692#2,1.575,0.25064102564102564,9.82
31,156,118,119,-10427692#3,3.5853658536585367,0.248780487804878,19.0
32,160,120,121,-10427692#4,4.2682926829268295,0.251219512195122,21.47
33,164,122,123,-10427692#5,5.097560975609756,0.2902439024390243,58.42
34,168,124,125,-10427692#6,2.8780487804878048,0.15975609756097567,31.48
35,172,126,127,-10427692#7,6.414634146341464,0.4487804878048781,54.49
36,176,128,129,-104847200,13.0,2.0,66.07
37,185,138,139,-105467137,9.8,0.7000000000000004,68.83
38,192,144,145,-10597452#0,13.0,0.0,144.65
39,196,146,147,-10597452#1,12.75,4.25,115.78
40,200,148,149,-10597454#1,37.54545454545455,1456.4727272727273,13.2
41,204,150,151,-10597454#2,3.8181818181818183,0.5636363636363637,28.86
42,208,152,153,-10597455#0,0.6666666666666666,0.33333333333333337,0.2
43,212,154,155,-10597455#1,4.333333333333333,5.333333333333333,17.94
44,216,156,157,-106083637,8.0,0.0,25.74
45,218,160,161,-107431496#0,5.237288135593221,2.1841028638223263,80.97
46,222,162,163,-107431496#1,16.551020408163264,1.7942176870748299,250.33
47,226,166,167,-108237964#0,3.0,0.0,3.79
48,229,168,169,-108237964#1,13.0,0.0,52.02
49,231,170,171,-108237964#2,3.0,0.0,6.04
50,234,176,177,-108239938,9.166666666666666,0.5666666666666667,71.63
51,238,178,179,-108240279#0,1.0,0.0,5.18
52,242,180,181,-108240279#1,15.5,0.5,19.08
53,246,182,183,-108240279#2,18.970588235294116,82.09001782531195,19.19
54,250,184,185,-1082935356#0,21.75,10.916666666666666,101.6
55,254,190,191,-108310250,1.0,0.0,2.67
56,258,192,193,-108310251,1.0,0.0,7.88
57,262,194,195,-108310252,6.0,0.0,38.67
58,266,196,197,-108310253,3.8333333333333335,0.5666666666666667,9.98
59,270,200,201,-10941814,7.461538461538462,0.7813765182186236,159.67
60,274,202,203,-10941825,10.2,2.1999999999999993,77.67
61,280,206,207,-11014139#1,13.06060606060606,43.05871212121214,56.26
62,284,208,209,-110212545,30.625,2.2678571428571437,146.58
63,288,210,211,-110750652,37.0,0.0,87.48
64,298,224,225,-112979077,6.0,0.0,36.69
65,304,228,229,-112979094#0,4.0,0.0,21.62
66,311,232,233,-112979110,7.666666666666667,4.333333333333334,30.91
67,315,234,235,-113796178#0,1.3333333333333333,0.3333333333333333,0.73
68,319,238,239,-113796181#1,3.1818181818181817,1.563636363636364,0.55
69,323,240,241,-113796181#2,2.6666666666666665,0.6666666666666666,0.14
70,326,242,243,-113796181#3,1.0,0.0,2.26
71,328,246,247,-113796181#5,9.6,5.3,34.85
72,329,248,249,-113796182,5.8,2.7,24.97
73,332,252,253,-113796194#0,18.75,5.583333333333335,68.87
74,336,254,255,-113796195,2.0,0.0,11.68
75,339,256,257,-113796197,5.571428571428571,2.9523809523809526,21.4
76,343,260,261,-114198606#1,33.0,112.0,28.02
77,350,264,265,-115082348,37.16438356164384,481.7503805175038,6.31
78,357,268,269,-115881035#0,10.5,4.5,25.01
79,360,270,271,-115881035#1,13.666666666666666,1.333333333333333,26.52
80,371,286,287,-115881041#0,14.6,9.3,72.84
81,382,296,297,-115881043#0,13.25,0.9166666666666666,123.9
82,388,300,301,-115881043#11,14.0,0.0,102.96
83,405,312,313,-115881043#9,6.5,0.5,46.08
84,408,316,317,-115881047,11.5,3.6666666666666665,69.25
85,415,332,333,-116765451#1,11.223826714801444,1.6091403756605438,133.91
86,419,334,335,-116765451#2,1.3992673992673992,0.2554406377935789,4.02
87,423,336,337,-116765457#1,4.612903225806452,1.2115082824760237,2.04
88,427,338,339,-117070809,70.0,0.0,268.44
89,430,340,341,-117560677,11.666666666666666,4.333333333333332,42.31
90,434,344,345,-118004624#1,44.6,10.299999999999999,82.16
91,441,358,359,-118004649,14.0,0.0,48.47
92,443,360,361,-118604348#0,4.25,0.25000000000000006,41.81
93,447,362,363,-118604348#1,1.75,0.25,21.87
94,452,368,369,-118604351#1,8.0,0.0,31.8
95,454,370,371,-118604351#2,11.0,0.0,57.72
96,458,372,373,-118604351#3,2.0,0.0,2.56
97,462,374,375,-118604351#4,17.0,0.0,88.29
98,467,380,381,-118604354,2.0,0.0,13.05
99,475,388,389,-118604358,4.5,0.5,12.61
100,477,392,393,-118604360,4.0,0.0,12.57
101,484,400,401,-118607467,21.0,0.0,87.72
102,485,402,403,-118607469#0,13.25,0.24999999999999986,170.52
103,489,404,405,-118607469#1,22.0,2.0000000000000004,281.09
104,493,406,407,-118607469#2,32.0,4.666666666666668,416.58
105,497,408,409,-118607469#3,16.0,4.0,182.01
106,501,410,411,-118607469#4,11.0,0.0,116.33
107,504,412,413,-118607471,7.0,0.0,23.27
108,512,426,427,-118607484,6.0,0.0,19.27
109,514,428,429,-118607485,19.0,0.0,88.72
110,517,430,431,-118607487#0,1.1,0.09999999999999999,1.99
111,521,432,433,-118607487#1,10.7,3.1222222222222222,124.22
112,525,434,435,-118607487#10,1.5,0.3333333333333333,8.9
113,529,436,437,-118607487#11,1.25,0.25,10.15
114,533,438,439,-118607487#12,1.5,0.3333333333333333,6.32
115,537,440,441,-118607487#13,1.25,0.25,10.56
116,541,442,443,-118607487#14,1.75,0.25,9.02
117,545,444,445,-118607487#15,1.0,0.0,9.3
118,549,446,447,-118607487#2,1.375,0.26785714285714285,7.63
119,553,448,449,-118607487#3,0.75,0.21428571428571427,6.8
120,557,450,451,-118607487#4,1.625,0.26785714285714285,5.94
121,561,452,453,-118607487#5,1.5714285714285714,0.2857142857142857,8.89
122,565,454,455,-118607487#6,1.5,0.3,8.38
123,569,456,457,-118607487#7,1.5,0.3,7.45
124,573,458,459,-118607487#8,1.5,0.3333333333333333,8.78
125,577,460,461,-118607487#9,1.25,0.25,5.68
126,583,464,465,-118607497#0,2.0,2.0,0.2
127,590,468,469,-118607504#5,23.0,0.0,115.47
128,606,494,495,-11940927#0,4.5,0.3333333333333333,54.03
129,610,496,497,-11940927#1,2.5,0.3333333333333333,48.35
130,614,498,499,-11940927#2,6.0,0.0,126.35
131,618,500,501,-11940927#3,2.0,0.0,20.69
132,622,502,503,-11940927#4,7.5,0.3333333333333333,60.86
133,626,506,507,-119621356#0,241.25,515.5833333333334,1088.11
134,630,508,509,-119621360#0,2.625,3.1250000000000004,0.2
135,634,512,513,-120033060#0,26.0,8.0,100.79
136,637,514,515,-120033060#1,41.0,0.0,150.9
137,640,516,517,-120033065,11.5,4.5,47.21
138,644,518,519,-120033067,17.25,2.25,68.43
139,647,520,521,-120033068#0,21.5,12.5,96.21
140,651,522,523,-120033068#1,5.5,0.5,11.45
141,656,530,531,-120033091#0,21.0,3.333333333333334,100.58
142,658,532,533,-120033091#1,53.0,0.0,270.05
143,659,534,535,-120033097,3.0,0.0,5.05
144,660,536,537,-120033098#0,1.0,0.0,0.2
145,661,538,539,-120033098#3,7.857142857142857,0.8095238095238092,19.91
146,664,540,541,-120033098#4,24.0,2.0,117.01
147,665,542,543,-120033098#5,16.4,5.8000000000000025,61.67
148,668,544,545,-120033098#6,1.3333333333333333,0.23333333333333345,1.67
149,672,546,547,-120033098#7,2.3157894736842106,0.4502923976608186,0.2
150,676,548,549,-120033100#0,32.666666666666664,5.333333333333336,146.71
151,680,550,551,-120033100#1,2.3333333333333335,0.33333333333333337,0.2
152,684,552,553,-120033103,20.8,1.6999999999999997,91.05
153,687,554,555,-120033104#0,8.0,0.0,22.08
154,691,556,557,-120033104#1,2.6,0.30000000000000004,3.85
155,697,560,561,-120365432,10.428571428571429,0.2857142857142856,79.06
156,700,566,567,-120416766#0,7.5,0.5,40.12
157,704,568,569,-120416766#1,17.5,4.133333333333335,111.17
158,708,570,571,-120416786,25.0,12.0,95.94
159,712,572,573,-120416814#0,24.0,0.0,92.3
160,722,580,581,-121460647,2.3333333333333335,0.33333333333333326,0.2
161,724,584,585,-121460649#1,14.0,0.0,77.22
162,727,588,589,-124194339#0,7.5,0.5,56.97
163,730,590,591,-124194339#1,4.0,0.0,19.26
164,731,592,593,-125002584,8.624454148471616,0.9089849311534314,157.69
165,735,594,595,-125002604#0,2.087719298245614,0.4028822055137846,14.03
166,739,596,597,-125002604#1,3.754385964912281,0.1885964912280702,43.68
167,743,600,601,-125014858#0,16.0,2.0,27.29
168,746,610,611,-125014865,2.0,0.0,9.76
169,750,628,629,-126446062#0,16.676156583629894,203.5840366039653,85.11
170,754,630,631,-126446062#1,2.0164835164835164,0.5024892234836983,10.81
171,758,632,633,-126446062#2,1.9161676646706587,0.6555804054541519,3.75
172,762,634,635,-126446076,38.5,40.5,196.59
173,766,636,637,-126446078,64.85714285714286,34.809523809523775,327.35
174,770,638,639,-126446083,141.67567567567568,166.61411411411407,689.29
175,774,640,641,-126446095,25.0,0.0,117.06
176,778,642,643,-126446099,26.0,50.0,100.7
177,781,644,645,-126446100,24.0,22.0,114.83
178,785,648,649,-126446106,38.25,15.266666666666667,180.04
179,792,654,655,-126446115,22.666666666666668,6.333333333333331,94.66
180,796,656,657,-126446127#0,24.142857142857142,50.74725274725275,102.28
181,800,658,659,-126446127#1,23.0,8.857142857142856,105.41
182,804,660,661,-126446127#2,6.08,0.8266666666666665,17.58
183,808,664,665,-126446130#1,12.142857142857142,4.80952380952381,50.36
184,812,666,667,-126909938,7.197530864197531,0.7727661655054402,110.74
185,818,674,675,-126909971#0,6.0,0.0,21.77
186,823,680,681,-126954023,18.0,0.0,69.2
187,826,682,683,-126954029#0,11.0,2.0,55.99
188,837,712,713,-127076894#2,1.0,0.0,0.3
189,851,726,727,-127076905#0,57.9,63.83589743589746,252.87
190,855,728,729,-127076905#1,19.883333333333333,6.986158192090396,85.98
191,859,730,731,-127076905#2,1.2394366197183098,0.18470824949698192,0.2
192,865,734,735,-127076908#1,24.0,0.0,120.42
193,869,736,737,-127076909,34.111111111111114,17.111111111111107,156.67
194,873,738,739,-128070665#1,10.320359281437126,2.3505151858445266,99.76
195,877,740,741,-128070666#0,5.189473684210526,1.6676134781397949,25.29
196,881,742,743,-128070667#1,21.046153846153846,246.7452815226014,39.07
197,885,744,745,-128070698#0,2.823529411764706,0.6544117647058825,0.2
198,889,748,749,-128361102#0,15.803030303030303,2.510525098311357,186.97
199,893,750,751,-128361102#1,6.098484848484849,0.5322114272495948,62.58
200,908,778,779,-128361115#5,3.5,0.5,3.46
201,910,790,791,-128361135,4.0,0.0,9.04
202,925,816,817,-128361146#0,9.333333333333334,0.3333333333333335,34.94
203,928,818,819,-128361146#1,6.0,0.0,28.87
204,935,824,825,-128361149#0,9.0,0.0,34.94
205,938,826,827,-128361149#1,9.2,0.20000000000000007,28.87
206,946,842,843,-128361155#1,9.5,0.5,34.95
207,947,844,845,-128361157#0,8.0,2.0,30.46
208,949,852,853,-128361161#0,5.0,0.0,30.46
209,958,868,869,-128668758#0,3.1578947368421053,0.24466571834992887,8.57
210,962,870,871,-128668758#0.24,9.763157894736842,0.9423897581792325,67.04
211,966,872,873,-128668758#1,5.588235294117647,0.43137254901960775,22.1
212,970,874,875,-128668758#1.44,4.424242424242424,0.2518939393939395,9.37
213,974,876,877,-128668758#3,10.647058823529411,0.9625668449197865,69.18
214,978,878,879,-128668759#1,6.0,0.0,67.59
215,980,880,881,-128906555,4.502222222222223,0.6261111111111111,47.81
216,984,882,883,-129130803#0,12.0,0.0,76.51
217,990,886,887,-129130803#2,5.5,0.5,37.32
218,992,888,889,-129130803#3,1.0,0.0,3.7
219,1001,900,901,-129130805#1,12.5,0.5,62.7
220,1003,902,903,-129130810#0,18.0,0.0,81.61
221,1007,904,905,-129130810#1,6.0,0.0,15.89
222,1011,906,907,-129130810#2,29.0,0.0,117.26
223,1015,908,909,-129130810#3,4.333333333333333,0.33333333333333326,9.06
224,1019,910,911,-129130810#4,0.4166666666666667,0.26515151515151514,2.15
225,1023,912,913,-129130810#5,5.416666666666667,0.9924242424242422,25.08
226,1027,914,915,-129130810#6,9.916666666666666,1.5378787878787876,32.21
227,1031,916,917,-129130810#60,3.5,0.2727272727272727,11.34
228,1035,918,919,-129130810#7,4.92,0.32666666666666666,6.09
229,1041,924,925,-129323704#2,4.666666666666667,0.33333333333333326,13.98
230,1045,926,927,-129323704#3,37.5,28.333333333333343,156.47
231,1047,928,929,-129323704#4,3.5,0.29999999999999993,0.2
232,1059,940,941,-129323706#5,2.0,0.0,2.06
233,1071,950,951,-129323707#2,3.0,0.0,3.71
234,1074,960,961,-129323711,14.666666666666666,4.333333333333332,68.08
235,1077,964,965,-129323715,15.0,2.0,55.39
236,1079,966,967,-129323718,17.333333333333332,0.33333333333333304,71.94
237,1085,970,971,-129323720,8.0,0.0,30.07
238,1093,984,985,-129323730,15.0,0.0,67.56
239,1097,986,987,-129323739#0,17.333333333333332,5.333333333333332,78.12
240,1101,988,989,-129323739#1,4.6,0.3,6.85
241,1105,990,991,-129323739#2,11.666666666666666,5.0666666666666655,45.22
242,1109,992,993,-129323741#0,3.0,0.2857142857142859,0.95
243,1112,994,995,-129323741#1,3.375,0.26785714285714285,1.44
244,1116,998,999,-129323741#3,2.5,0.3333333333333333,4.02
245,1121,1002,1003,-129323742#0,23.5,0.5,107.87
246,1124,1004,1005,-129323742#1,4.0,0.0,7.21
247,1125,1008,1009,-129323743#0,4.0,0.0,0.78
248,1138,1022,1023,-129323744#1,6.0,0.0,10.91
249,1142,1024,1025,-129323744#2,11.75,2.25,51.99
250,1146,1026,1027,-129323745#0,2.0,0.0,0.77
251,1150,1032,1033,-129323745#3,2.0,0.0,1.65
252,1155,1036,1037,-129323746#0,3.5,0.5,2.2
253,1159,1038,1039,-129323746#1,3.1666666666666665,0.1666666666666667,1.05
254,1163,1040,1041,-129323746#2,3.1666666666666665,0.1666666666666667,2.38
255,1167,1042,1043,-129323746#3,2.5,0.2586206896551723,3.68
256,1171,1044,1045,-129323746#4,3.6,0.9379310344827586,7.49
257,1175,1046,1047,-129323746#5,3.8823529411764706,0.6524064171122995,8.13
258,1179,1048,1049,-129379920#1,2.0170212765957447,0.18774322604109836,17.09
259,1183,1050,1051,-129379920#1.28,1.3148936170212766,0.24229859974540835,17.3
260,1187,1052,1053,-129379922,2.883817427385892,0.32811203319502075,35.82
261,1191,1054,1055,-129379925,6.956140350877193,110.42097534585363,29.69
262,1195,1056,1057,-129379925.33,15.635555555555555,254.90230158730157,22.2
263,1199,1058,1059,-129379930#0,3.2,0.2,5.71
264,1206,1062,1063,-129379930#11,2.0,0.0,0.2
265,1210,1064,1065,-129379930#2,3.0,1.0,0.1
266,1214,1066,1067,-129379930#4,2.0,0.0,0.16
267,1219,1070,1071,-129379930#6,4.0,0.0,0.44
268,1225,1076,1077,-129379931,17.666666666666668,1.3333333333333321,72.11
269,1227,1078,1079,-129379932,16.0,8.0,80.58
270,1233,1082,1083,-129379938,14.75,1.5833333333333333,80.44
271,1239,1086,1087,-129379940,15.333333333333334,2.3333333333333326,72.83
272,1248,1092,1093,-129379943,18.25,22.91666666666666,80.43
273,1250,1094,1095,-129379944,15.0,0.0,73.06
274,1252,1096,1097,-129379945,16.7,3.3444444444444437,74.2
275,1255,1098,1099,-129379947,19.833333333333332,6.166666666666667,80.27
276,1262,1102,1103,-129379951#0,5.0,0.0,12.71
277,1265,1104,1105,-129379952#1,5.2105263157894735,10.440967283072547,3.45
278,1271,1108,1109,-129379952#11,2.25,2.25,4.13
279,1274,1110,1111,-129379952#12,3.0,0.0,2.46
280,1276,1112,1113,-129379952#13,3.5,0.5,5.0
281,1286,1120,1121,-129379952#17,2.3333333333333335,1.0666666666666669,3.1
282,1288,1122,1123,-129379952#18,1.8,0.2,1.81
283,1291,1124,1125,-129379952#19,2.6666666666666665,0.33333333333333326,3.76
284,1294,1126,1127,-129379952#2,2.9761904761904763,0.511614401858304,0.62
285,1298,1128,1129,-129379952#20,12.0,0.0,73.51
286,1301,1130,1131,-129379952#21,1.0,0.0,2.91
287,1305,1132,1133,-129379952#22,3.6666666666666665,0.33333333333333326,1.92
288,1309,1134,1135,-129379952#23,3.111111111111111,1.8611111111111112,3.2
289,1313,1136,1137,-129379952#24,3.75,0.21428571428571433,4.04
290,1317,1138,1139,-129379952#25,3.7142857142857144,1.296703296703297,1.64
291,1321,1140,1141,-129379952#26,4.125,0.25,3.66
292,1325,1142,1143,-129379952#27,3.736842105263158,0.4269005847953215,3.22
293,1329,1144,1145,-129379952#28,4.380952380952381,6.547619047619048,1.06
294,1333,1146,1147,-129379952#29,3.5714285714285716,0.7724867724867723,3.24
295,1337,1148,1149,-129379952#3,3.2162162162162162,0.3408408408408407,0.83
296,1341,1150,1151,-129379952#30,3.0,0.3333333333333334,0.2
297,1345,1152,1153,-129379952#4,3.1578947368421053,0.35277382645803707,1.22
298,1349,1154,1155,-129379952#5,3.135135135135135,0.397897897897898,0.5
299,1353,1156,1157,-129379952#6,3.0,0.342857142857143,0.2
300,1357,1158,1159,-129379952#7,3.2162162162162162,0.5630630630630632,1.58
301,1361,1160,1161,-129379952#8,1.8846153846153846,0.10615384615384613,0.2
302,1367,1164,1165,-129379953#0,1.2,0.17777777777777776,0.4
