,from_node,to_node,edge_tt,edge_var,distance
0,0,1,3.5,0.5,43.86
1,2,3,3.0,0.0,25.49
2,10,11,9.0,0.0,60.57
3,14,15,5.421,23.48,50.99
4,16,17,8.474,1.263,101.05
5,42,43,5.5,0.278,42.99
6,44,45,3.556,1.778,18.6
7,46,47,60.0,0.0,160.59
8,90,91,99.0,0.0,177.86
9,94,95,20.778,663.477,13.91
10,98,99,8.241,0.69,128.51
11,100,101,11.0,2.0,68.52
12,104,105,1.111,0.111,22.63
13,108,109,18.575,436.199,30.71
14,110,111,10.182,20.278,100.46
15,112,113,4.818,0.528,62.66
16,114,115,56.333,1755.524,40.52
17,116,117,1.154,0.141,9.82
18,118,119,2.062,5.929,19.0
19,120,121,7.312,133.962,21.47
20,122,123,7.375,102.25,58.42
21,124,125,2.5,0.267,31.48
22,126,127,4.062,0.196,54.49
23,128,129,15.0,0.0,66.07
24,136,137,6.0,0.0,28.17
25,138,139,10.5,4.5,68.83
26,148,149,18.75,567.583,13.2
27,150,151,3.0,0.0,28.86
28,154,155,3.5,0.5,17.94
29,160,161,4.606,0.559,80.97
30,162,163,13.839,1.073,250.33
31,176,177,11.0,3.0,71.63
32,182,183,9.0,0.0,19.19
33,194,195,5.0,0.0,38.67
34,196,197,1.333,0.333,9.98
35,200,201,7.808,0.802,159.67
36,202,203,10.375,1.982,77.67
37,206,207,12.684,68.784,56.26
38,208,209,29.5,0.5,146.58
39,210,211,40.0,0.0,87.48
40,214,215,18.0,0.0,96.05
41,216,217,6.5,0.5,29.17
42,224,225,5.0,0.667,36.69
43,228,229,4.0,0.667,21.62
44,252,253,31.0,0.0,68.87
45,254,255,3.0,0.0,11.68
46,260,261,17.333,372.333,28.02
47,262,263,47.5,0.5,97.68
48,264,265,14.111,524.73,6.31
49,266,267,2.0,0.0,4.23
50,284,285,30.0,0.0,230.28
51,296,297,11.0,0.0,123.9
52,302,303,2.0,0.0,19.16
53,304,305,3.0,0.0,20.18
54,332,333,10.74,2.723,133.91
55,340,341,8.0,0.0,42.31
56,360,361,4.0,0.0,41.81
57,364,365,3.0,0.0,13.51
