,from_node,to_node,edge_tt,edge_std,edge_cfv
0,0,1,5.0,0.0,5.0
1,2,3,4.0,0.0,4.0
2,8,9,5.0,0.0,5.0
3,12,13,25.8,4.658,35.116
4,14,15,3.961,0.552,5.0649999999999995
5,16,17,8.247,1.015,10.277
6,18,19,7.0,0.0,7.0
7,42,43,5.429,0.535,6.4990000000000006
8,44,45,3.0,0.0,3.0
9,52,53,2.784,0.417,3.618
10,82,83,3.795,0.656,5.107
11,90,91,92.333,9.018,110.369
12,94,95,4.463,3.4,11.263
13,98,99,8.306,1.025,10.355999999999998
14,100,101,9.4,0.548,10.496
15,104,105,1.127,0.333,1.7930000000000001
16,108,109,16.59,10.894,38.378
17,110,111,8.431,1.847,12.125
18,112,113,4.863,0.722,6.307
19,114,115,11.735,8.882,29.499
20,118,119,1.471,0.503,2.4770000000000003
21,120,121,2.855,0.43,3.715
22,122,123,4.812,0.791,6.394
23,124,125,2.478,0.532,3.5420000000000003
24,126,127,4.406,0.577,5.56
25,130,131,40.0,10.551,61.102000000000004
26,134,135,21.0,0.0,21.0
27,138,139,9.333,0.577,10.487
28,142,143,8.333,1.155,10.643
29,144,145,12.333,0.577,13.487
30,146,147,8.667,1.155,10.977
31,160,161,4.659,0.849,6.356999999999999
32,162,163,13.955,1.143,16.241
33,172,173,7.333,1.528,10.389
34,174,175,7.0,1.0,9.0
35,176,177,9.0,0.816,10.632
36,178,179,2.75,0.957,4.664
37,180,181,9.235,1.3,11.834999999999999
38,182,183,8.792,1.148,11.088
39,186,187,17.0,0.0,17.0
40,188,189,31.0,0.0,31.0
41,192,193,1.5,0.707,2.9139999999999997
42,196,197,1.75,0.5,2.75
43,200,201,7.578,0.839,9.256
44,202,203,9.8,0.837,11.474
45,206,207,10.579,6.475,23.529
46,208,209,29.143,2.61,34.363
47,210,211,48.0,0.0,48.0
48,214,215,20.0,1.414,22.828
49,222,223,8.0,0.0,8.0
50,224,225,5.0,0.0,5.0
51,228,229,4.0,0.0,4.0
52,230,231,2.0,0.0,2.0
53,232,233,5.2,0.447,6.094
54,240,241,10.0,0.0,10.0
55,244,245,6.0,0.0,6.0
56,248,249,5.8,0.837,7.474
57,260,261,15.867,12.529,40.925
58,262,263,41.0,0.0,41.0
