trip_id,arrival_time,departure_time,stop_id,stop_sequence
196-0-0,0:00:00,0:00:00,1-0,1
196-0-0,0:02:00,0:02:00,2-0,2
196-0-0,0:03:30,0:03:30,3-0,3
196-0-0,0:04:30,0:04:30,4-0,4
196-0-0,0:05:30,0:05:30,5-0,5
196-0-0,0:06:30,0:06:30,6-0,6
196-0-0,0:07:30,0:07:30,7-0,7
196-0-0,0:09:30,0:09:30,8-0,8
196-0-0,0:10:30,0:10:30,9-0,9
196-0-0,0:12:30,0:12:30,10-0,10
196-0-0,0:14:30,0:14:30,11-0,11
196-0-0,0:15:30,0:15:30,12-0,12
196-0-0,0:17:00,0:17:00,13-0,13
196-0-0,0:18:00,0:18:00,14-0,14
196-0-0,0:20:00,0:20:00,15-0,15
196-1-0,0:20:00,0:20:00,1-0,1
196-1-0,0:22:00,0:22:00,2-0,2
196-1-0,0:23:30,0:23:30,3-0,3
196-1-0,0:24:30,0:24:30,4-0,4
196-1-0,0:25:30,0:25:30,5-0,5
196-1-0,0:26:30,0:26:30,6-0,6
196-1-0,0:27:30,0:27:30,7-0,7
196-1-0,0:29:30,0:29:30,8-0,8
196-1-0,0:30:30,0:30:30,9-0,9
196-1-0,0:32:30,0:32:30,10-0,10
196-1-0,0:34:30,0:34:30,11-0,11
196-1-0,0:35:30,0:35:30,12-0,12
196-1-0,0:37:00,0:37:00,13-0,13
196-1-0,0:38:00,0:38:00,14-0,14
196-1-0,0:40:00,0:40:00,15-0,15
196-2-0,0:40:00,0:40:00,1-0,1
196-2-0,0:42:00,0:42:00,2-0,2
196-2-0,0:43:30,0:43:30,3-0,3
196-2-0,0:44:30,0:44:30,4-0,4
196-2-0,0:45:30,0:45:30,5-0,5
196-2-0,0:46:30,0:46:30,6-0,6
196-2-0,0:47:30,0:47:30,7-0,7
196-2-0,0:49:30,0:49:30,8-0,8
196-2-0,0:50:30,0:50:30,9-0,9
196-2-0,0:52:30,0:52:30,10-0,10
196-2-0,0:54:30,0:54:30,11-0,11
196-2-0,0:55:30,0:55:30,12-0,12
196-2-0,0:57:00,0:57:00,13-0,13
196-2-0,0:58:00,0:58:00,14-0,14
196-2-0,1:00:00,1:00:00,15-0,15
196-3-0,1:00:00,1:00:00,1-0,1
196-3-0,1:02:00,1:02:00,2-0,2
196-3-0,1:03:30,1:03:30,3-0,3
196-3-0,1:04:30,1:04:30,4-0,4
196-3-0,1:05:30,1:05:30,5-0,5
196-3-0,1:06:30,1:06:30,6-0,6
196-3-0,1:07:30,1:07:30,7-0,7
196-3-0,1:09:30,1:09:30,8-0,8
196-3-0,1:10:30,1:10:30,9-0,9
196-3-0,1:12:30,1:12:30,10-0,10
196-3-0,1:14:30,1:14:30,11-0,11
196-3-0,1:15:30,1:15:30,12-0,12
196-3-0,1:17:00,1:17:00,13-0,13
196-3-0,1:18:00,1:18:00,14-0,14
196-3-0,1:20:00,1:20:00,15-0,15
196-4-0,1:20:00,1:20:00,1-0,1
196-4-0,1:22:00,1:22:00,2-0,2
196-4-0,1:23:30,1:23:30,3-0,3
196-4-0,1:24:30,1:24:30,4-0,4
196-4-0,1:25:30,1:25:30,5-0,5
196-4-0,1:26:30,1:26:30,6-0,6
196-4-0,1:27:30,1:27:30,7-0,7
196-4-0,1:29:30,1:29:30,8-0,8
196-4-0,1:30:30,1:30:30,9-0,9
196-4-0,1:32:30,1:32:30,10-0,10
196-4-0,1:34:30,1:34:30,11-0,11
196-4-0,1:35:30,1:35:30,12-0,12
196-4-0,1:37:00,1:37:00,13-0,13
196-4-0,1:38:00,1:38:00,14-0,14
196-4-0,1:40:00,1:40:00,15-0,15
196-5-0,1:40:00,1:40:00,1-0,1
196-5-0,1:42:00,1:42:00,2-0,2
196-5-0,1:43:30,1:43:30,3-0,3
196-5-0,1:44:30,1:44:30,4-0,4
196-5-0,1:45:30,1:45:30,5-0,5
196-5-0,1:46:30,1:46:30,6-0,6
196-5-0,1:47:30,1:47:30,7-0,7
196-5-0,1:49:30,1:49:30,8-0,8
196-5-0,1:50:30,1:50:30,9-0,9
196-5-0,1:52:30,1:52:30,10-0,10
196-5-0,1:54:30,1:54:30,11-0,11
196-5-0,1:55:30,1:55:30,12-0,12
196-5-0,1:57:00,1:57:00,13-0,13
196-5-0,1:58:00,1:58:00,14-0,14
196-5-0,2:00:00,2:00:00,15-0,15
196-6-0,2:00:00,2:00:00,1-0,1
196-6-0,2:02:00,2:02:00,2-0,2
196-6-0,2:03:30,2:03:30,3-0,3
196-6-0,2:04:30,2:04:30,4-0,4
196-6-0,2:05:30,2:05:30,5-0,5
196-6-0,2:06:30,2:06:30,6-0,6
196-6-0,2:07:30,2:07:30,7-0,7
196-6-0,2:09:30,2:09:30,8-0,8
196-6-0,2:10:30,2:10:30,9-0,9
196-6-0,2:12:30,2:12:30,10-0,10
196-6-0,2:14:30,2:14:30,11-0,11
196-6-0,2:15:30,2:15:30,12-0,12
196-6-0,2:17:00,2:17:00,13-0,13
196-6-0,2:18:00,2:18:00,14-0,14
196-6-0,2:20:00,2:20:00,15-0,15
196-7-0,2:20:00,2:20:00,1-0,1
196-7-0,2:22:00,2:22:00,2-0,2
