from_stop_id,to_stop_id,min_transfer_time
1-0,1-1,3
1-0,1-2,3
1-0,1-3,3
1-1,1-0,3
1-1,1-2,3
1-1,1-3,3
1-2,1-0,3
1-2,1-1,3
1-2,1-3,3
1-3,1-0,3
1-3,1-1,3
1-3,1-2,3
2-0,2-1,3
2-1,2-0,3
3-0,3-1,3
3-1,3-0,3
4-0,4-1,3
4-1,4-0,3
5-0,5-1,3
5-1,5-0,3
6-0,6-1,3
6-1,6-0,3
7-0,7-1,3
7-1,7-0,3
8-0,8-1,3
8-1,8-0,3
9-0,9-1,3
9-1,9-0,3
10-0,10-1,3
10-1,10-0,3
11-0,11-1,3
11-1,11-0,3
12-0,12-1,3
12-1,12-0,3
13-0,13-1,3
13-1,13-0,3
14-0,14-1,3
14-1,14-0,3
15-0,15-1,3
15-0,15-2,3
15-0,15-3,3
15-1,15-0,3
15-1,15-2,3
15-1,15-3,3
15-2,15-0,3
15-2,15-1,3
15-2,15-3,3
15-3,15-0,3
15-3,15-1,3
15-3,15-2,3
16-2,16-3,3
16-3,16-2,3
17-2,17-3,3
17-3,17-2,3
