trip_id,arrival_time,departure_time,stop_id,stop_sequence
IE-0-0,0:00:00,0:00:00,A-0,1
IE-0-0,0:30:00,0:30:00,B-0,2
IE-1-0,0:10:00,0:10:00,A-0,1
IE-1-0,0:40:00,0:40:00,B-0,2
IE-2-0,0:20:00,0:20:00,A-0,1
IE-2-0,0:50:00,0:50:00,B-0,2
IE-3-0,0:30:00,0:30:00,A-0,1
IE-3-0,1:00:00,1:00:00,B-0,2
IE-4-0,0:40:00,0:40:00,A-0,1
IE-4-0,1:10:00,1:10:00,B-0,2
IE-5-0,0:50:00,0:50:00,A-0,1
IE-5-0,1:20:00,1:20:00,B-0,2
IE-6-0,1:00:00,1:00:00,A-0,1
IE-6-0,1:30:00,1:30:00,B-0,2
IE-7-0,1:10:00,1:10:00,A-0,1
IE-7-0,1:40:00,1:40:00,B-0,2
IE-8-0,1:20:00,1:20:00,A-0,1
IE-8-0,1:50:00,1:50:00,B-0,2
IE-9-0,1:30:00,1:30:00,A-0,1
IE-9-0,2:00:00,2:00:00,B-0,2
IE-10-0,1:40:00,1:40:00,A-0,1
IE-10-0,2:10:00,2:10:00,B-0,2
IE-11-0,1:50:00,1:50:00,A-0,1
IE-11-0,2:20:00,2:20:00,B-0,2
IE-12-0,2:00:00,2:00:00,A-0,1
IE-12-0,2:30:00,2:30:00,B-0,2
IE-13-0,2:10:00,2:10:00,A-0,1
IE-13-0,2:40:00,2:40:00,B-0,2
IE-14-0,2:20:00,2:20:00,A-0,1
IE-14-0,2:50:00,2:50:00,B-0,2
IE-15-0,2:30:00,2:30:00,A-0,1
IE-15-0,3:00:00,3:00:00,B-0,2
IE-16-0,2:40:00,2:40:00,A-0,1
IE-16-0,3:10:00,3:10:00,B-0,2
IE-17-0,2:50:00,2:50:00,A-0,1
IE-17-0,3:20:00,3:20:00,B-0,2
IE-18-0,3:00:00,3:00:00,A-0,1
IE-18-0,3:30:00,3:30:00,B-0,2
IE-19-0,3:10:00,3:10:00,A-0,1
IE-19-0,3:40:00,3:40:00,B-0,2
IE-20-0,3:20:00,3:20:00,A-0,1
IE-20-0,3:50:00,3:50:00,B-0,2
IE-21-0,3:30:00,3:30:00,A-0,1
IE-21-0,4:00:00,4:00:00,B-0,2
IE-22-0,3:40:00,3:40:00,A-0,1
IE-22-0,4:10:00,4:10:00,B-0,2
IE-23-0,3:50:00,3:50:00,A-0,1
IE-23-0,4:20:00,4:20:00,B-0,2
IE-24-0,4:00:00,4:00:00,A-0,1
IE-24-0,4:30:00,4:30:00,B-0,2
IE-25-0,4:10:00,4:10:00,A-0,1
IE-25-0,4:40:00,4:40:00,B-0,2
IE-26-0,4:20:00,4:20:00,A-0,1
IE-26-0,4:50:00,4:50:00,B-0,2
IE-27-0,4:30:00,4:30:00,A-0,1
IE-27-0,5:00:00,5:00:00,B-0,2
IE-28-0,4:40:00,4:40:00,A-0,1
IE-28-0,5:10:00,5:10:00,B-0,2
IE-29-0,4:50:00,4:50:00,A-0,1
IE-29-0,5:20:00,5:20:00,B-0,2
IE-30-0,5:00:00,5:00:00,A-0,1
IE-30-0,5:30:00,5:30:00,B-0,2
IE-31-0,5:10:00,5:10:00,A-0,1
IE-31-0,5:40:00,5:40:00,B-0,2
IE-32-0,5:20:00,5:20:00,A-0,1
IE-32-0,5:50:00,5:50:00,B-0,2
IE-33-0,5:30:00,5:30:00,A-0,1
IE-33-0,6:00:00,6:00:00,B-0,2
IE-34-0,5:40:00,5:40:00,A-0,1
IE-34-0,6:10:00,6:10:00,B-0,2
IE-35-0,5:50:00,5:50:00,A-0,1
IE-35-0,6:20:00,6:20:00,B-0,2
IE-0-1,0:00:00,0:00:00,B-0,1
IE-0-1,0:30:00,0:30:00,A-0,2
IE-1-1,0:10:00,0:10:00,B-0,1
