Input_Parameter_Name,Parameter_Value
##1,FleetSimulation
initial_state_scenario,
sim_env,ImmediateDecisionsSimulation
network_type,NetworkBasicWithStore
network_name,example_network
demand_name,example_demand
parcel_demand_name,example_parcel_demand
rq_file,d_50_s_1.csv
parcel_rq_file,
random_seed,0
start_time,0
end_time,7200
time_step,60
route_output_flag,True
replay_flag,True
nr_mod_operators,1
rq_type,BasicRequest
parcel_rq_type,BasicParcelRequest
user_max_decision_time,0
##2,FleetControl
op_module,RPPFleetControlFullInsertion
op_fleet_composition,default_parcel_veh:8
op_min_wait_time,0
op_max_wait_time,300
op_max_wait_time_2,
op_max_detour_time_factor,40
op_const_boarding_time,30
op_add_boarding_time,0
op_base_fare,0
op_distance_fare,0.1
op_time_fare,0
op_min_standard_fare,100
op_vr_control_func_dict,func_key:total_distance
op_reoptimisation_timestep,60
##RPP Parameters
op_parcel_assignment_threshold,0.9
op_parcel_passenger_ob_assignment,True
op_parcel_earliest_pickup_time,0
op_parcel_latest_pickup_time,7200
op_parcel_earliest_dropoff_time,0
op_parcel_latest_dropoff_time,7200
op_parcel_const_boarding_time,60
op_parcel_add_boarding_time,0
