simulation_index,SAV_demand_ratio,vot,vor,fleet_size,network_name,vehtype,objective_function,evaluation_int_start,evaluation_int_end,random_seed,start_time,end_time,op_module,simulation_network,network_type,sim_env,sumo_statistics_interval,sumo_fco_vehicles,op_routing_mode
1,0.02,1,0,150,sumo_in_1.00,default_vehtype,user_vot_vor,21600,28800,0,18000,32400,PoolingIRSOnly,sumo_in,NetworkBasicReliabilityWithStoreCppSumoCoupling,SUMOcontrolledSim,,,edge_cfv
2,0.02,1,0,150,sumo_in_1.00,default_vehtype,user_vot_vor,21600,28800,0,18000,32400,PoolingIRSOnly,sumo_in,NetworkBasicReliabilityWithStoreCppSumoCoupling,SUMOcontrolledSim,,,edge_tt
3,0.02,1,0,150,sumo_in_1.00,default_vehtype,probabilistic_dt,21600,28800,0,18000,32400,PoolingIRSOnly,sumo_in,NetworkBasicReliabilityWithStoreCppSumoCoupling,SUMOcontrolledSim,,,edge_tt
4,0.02,1,0.5,150,sumo_in_1.00,default_vehtype,user_vot_vor,21600,28800,0,18000,32400,PoolingIRSOnly,sumo_in,NetworkBasicReliabilityWithStoreCppSumoCoupling,SUMOcontrolledSim,,,edge_cfv
5,0.02,1,1,150,sumo_in_1.00,default_vehtype,user_vot_vor,21600,28800,0,18000,32400,PoolingIRSOnly,sumo_in,NetworkBasicReliabilityWithStoreCppSumoCoupling,SUMOcontrolledSim,,,edge_cfv
6,0.02,1,2,150,sumo_in_1.00,default_vehtype,user_vot_vor,21600,28800,0,18000,32400,PoolingIRSOnly,sumo_in,NetworkBasicReliabilityWithStoreCppSumoCoupling,SUMOcontrolledSim,,,edge_cfv
7,0.02,1,0.5,150,sumo_in_1.00,default_vehtype,user_vot_vor,21600,28800,0,18000,32400,PoolingIRSOnly,sumo_in,NetworkBasicReliabilityWithStoreCppSumoCoupling,SUMOcontrolledSim,,,edge_tt
8,0.02,1,1,150,sumo_in_1.00,default_vehtype,user_vot_vor,21600,28800,0,18000,32400,PoolingIRSOnly,sumo_in,NetworkBasicReliabilityWithStoreCppSumoCoupling,SUMOcontrolledSim,,,edge_tt
9,0.02,1,2,150,sumo_in_1.00,default_vehtype,user_vot_vor,21600,28800,0,18000,32400,PoolingIRSOnly,sumo_in,NetworkBasicReliabilityWithStoreCppSumoCoupling,SUMOcontrolledSim,,,edge_tt
10,0.2,1,0,1500,sumo_in_1.00,default_vehtype,probabilistic_dt,21600,28800,0,18000,32400,PoolingIRSOnly,sumo_in,NetworkBasicReliabilityWithStoreCppSumoCoupling,SUMOcontrolledSim,,,edge_tt
